holdout,seed,seed_group,support_method,selected_attack_row_id,in_attack_train_pool,overlaps_attack_eval,selection_uses_attack_eval,selection_uses_final_ood_eval
chrono_late_train_early_eval,42,main_42_46,kcenter_32shot,7278,True,False,False,False
chrono_late_train_early_eval,42,main_42_46,kcenter_32shot,7413,True,False,False,False
chrono_late_train_early_eval,42,main_42_46,kcenter_32shot,7429,True,False,False,False
chrono_late_train_early_eval,42,main_42_46,kcenter_32shot,7774,True,False,False,False
chrono_late_train_early_eval,42,main_42_46,kcenter_32shot,7882,True,False,False,False
chrono_late_train_early_eval,42,main_42_46,kcenter_32shot,7927,True,False,False,False
chrono_late_train_early_eval,42,main_42_46,kcenter_32shot,7975,True,False,False,False
chrono_late_train_early_eval,42,main_42_46,kcenter_32shot,8227,True,False,False,False
chrono_late_train_early_eval,42,main_42_46,kcenter_32shot,8637,True,False,False,False
chrono_late_train_early_eval,42,main_42_46,kcenter_32shot,8664,True,False,False,False
chrono_late_train_early_eval,42,main_42_46,kcenter_32shot,8756,True,False,False,False
chrono_late_train_early_eval,42,main_42_46,kcenter_32shot,8768,True,False,False,False
chrono_late_train_early_eval,42,main_42_46,kcenter_32shot,8772,True,False,False,False
chrono_late_train_early_eval,42,main_42_46,kcenter_32shot,9042,True,False,False,False
chrono_late_train_early_eval,42,main_42_46,kcenter_32shot,9101,True,False,False,False
chrono_late_train_early_eval,42,main_42_46,kcenter_32shot,9123,True,False,False,False
chrono_late_train_early_eval,42,main_42_46,kcenter_32shot,9184,True,False,False,False
chrono_late_train_early_eval,42,main_42_46,kcenter_32shot,9245,True,False,False,False
chrono_late_train_early_eval,42,main_42_46,kcenter_32shot,9311,True,False,False,False
chrono_late_train_early_eval,42,main_42_46,kcenter_32shot,9350,True,False,False,False
chrono_late_train_early_eval,42,main_42_46,kcenter_32shot,9353,True,False,False,False
chrono_late_train_early_eval,42,main_42_46,kcenter_32shot,9429,True,False,False,False
chrono_late_train_early_eval,42,main_42_46,kcenter_32shot,9440,True,False,False,False
chrono_late_train_early_eval,42,main_42_46,kcenter_32shot,9576,True,False,False,False
chrono_late_train_early_eval,42,main_42_46,kcenter_32shot,9602,True,False,False,False
chrono_late_train_early_eval,42,main_42_46,kcenter_32shot,9605,True,False,False,False
chrono_late_train_early_eval,42,main_42_46,kcenter_32shot,9609,True,False,False,False
chrono_late_train_early_eval,42,main_42_46,kcenter_32shot,9627,True,False,False,False
chrono_late_train_early_eval,42,main_42_46,kcenter_32shot,9644,True,False,False,False
chrono_late_train_early_eval,42,main_42_46,kcenter_32shot,9647,True,False,False,False
chrono_late_train_early_eval,42,main_42_46,kcenter_32shot,9684,True,False,False,False
chrono_late_train_early_eval,42,main_42_46,kcenter_32shot,9685,True,False,False,False
chrono_late_train_early_eval,43,main_42_46,kcenter_32shot,7278,True,False,False,False
chrono_late_train_early_eval,43,main_42_46,kcenter_32shot,7413,True,False,False,False
chrono_late_train_early_eval,43,main_42_46,kcenter_32shot,7429,True,False,False,False
chrono_late_train_early_eval,43,main_42_46,kcenter_32shot,7774,True,False,False,False
chrono_late_train_early_eval,43,main_42_46,kcenter_32shot,7882,True,False,False,False
chrono_late_train_early_eval,43,main_42_46,kcenter_32shot,7927,True,False,False,False
chrono_late_train_early_eval,43,main_42_46,kcenter_32shot,7975,True,False,False,False
chrono_late_train_early_eval,43,main_42_46,kcenter_32shot,8227,True,False,False,False
chrono_late_train_early_eval,43,main_42_46,kcenter_32shot,8637,True,False,False,False
chrono_late_train_early_eval,43,main_42_46,kcenter_32shot,8664,True,False,False,False
