held_value,role,phase,episodes,label_for_model
iotsim-stream-consumer,support_train,fit,42,1
iotsim-stream-consumer,id_calib,fit,410,0
iotsim-stream-consumer,ood_val,fit,1696,0
iotsim-stream-consumer,ood_stress,fit,0,0
iotsim-hydraulic-system,support_train,fit,42,1
iotsim-hydraulic-system,id_calib,fit,410,0
iotsim-hydraulic-system,ood_val,fit,760,0
iotsim-hydraulic-system,ood_stress,fit,48,0
domotic-monitor,support_train,fit,42,1
domotic-monitor,id_calib,fit,410,0
domotic-monitor,ood_val,fit,1696,0
domotic-monitor,ood_stress,fit,48,0
combined-cycle,support_train,fit,38,1
combined-cycle,id_calib,fit,410,0
combined-cycle,ood_val,fit,1696,0
combined-cycle,ood_stress,fit,48,0
iotsim-ip-camera-street,support_train,fit,42,1
iotsim-ip-camera-street,id_calib,fit,410,0
iotsim-ip-camera-street,ood_val,fit,1696,0
iotsim-ip-camera-street,ood_stress,fit,48,0
