role,phase,held_value,include_held,episode_id,member_rows,first_frame_index,last_frame_index
support_train,fit,iotsim-stream-consumer,False,018801cb13ce76edc0a3,4,33,58
support_train,fit,iotsim-stream-consumer,False,06a7532a826a56b7e7cd,2,197,200
support_train,fit,iotsim-stream-consumer,False,14503ebf4be872343274,1,196,196
support_train,fit,iotsim-stream-consumer,False,18bb754e596d64916c01,1,15,15
support_train,fit,iotsim-stream-consumer,False,27d35cf114666c0b86bb,9,63,98
support_train,fit,iotsim-stream-consumer,False,2a6cefa7f0abcb2ddf33,1,57,57
support_train,fit,iotsim-stream-consumer,False,2b5ac3c0011e5b1fe45f,1,37,37
support_train,fit,iotsim-stream-consumer,False,312c776a5ef7bd8d88c7,2,42,47
support_train,fit,iotsim-stream-consumer,False,33104526d0eedf025d91,19,109,165
support_train,fit,iotsim-stream-consumer,False,46b418b4c74946ad7039,4,43,53
support_train,fit,iotsim-stream-consumer,False,485ee91288c4ecedf332,12,113,151
support_train,fit,iotsim-stream-consumer,False,4ba4662cd4b935a5646a,9,70,102
support_train,fit,iotsim-stream-consumer,False,4e97b872e0667a6d1867,1,49,49
support_train,fit,iotsim-stream-consumer,False,551151d385e59f0c6d5d,2,40,48
support_train,fit,iotsim-stream-consumer,False,55a15ab4312cb4b86dc0,12,168,187
support_train,fit,iotsim-stream-consumer,False,5f7001c2778df51ae5fb,11,266,319
support_train,fit,iotsim-stream-consumer,False,66004c964fe7f8530d07,17,106,162
support_train,fit,iotsim-stream-consumer,False,66a526ea757d0240c693,4,67,103
support_train,fit,iotsim-stream-consumer,False,69777d4e7bdb38839ebf,20,267,324
support_train,fit,iotsim-stream-consumer,False,6b98f978184b6a273158,4,35,59
support_train,fit,iotsim-stream-consumer,False,6e628c6508b71569c6f3,19,329,380
support_train,fit,iotsim-stream-consumer,False,757f3385b1402c38dd30,16,269,323
support_train,fit,iotsim-stream-consumer,False,79790d64f8ff4cf7dcc9,1,198,198
support_train,fit,iotsim-stream-consumer,False,7bc884073ec06866ad10,1,60,60
support_train,fit,iotsim-stream-consumer,False,7d084177841e2daf219d,18,166,195
support_train,fit,iotsim-stream-consumer,False,8526a0a85cb8d4717b4c,30,209,261
support_train,fit,iotsim-stream-consumer,False,8ce75e88cfcbc6d39d37,1,61,61
support_train,fit,iotsim-stream-consumer,False,9116c6f06ba1006e5eb7,15,2,30
support_train,fit,iotsim-stream-consumer,False,952db255bf2a364c7f6c,3,201,204
support_train,fit,iotsim-stream-consumer,False,b92dfac9e228da23d1ed,12,111,156
support_train,fit,iotsim-stream-consumer,False,bc53240457efdd51a0ee,1,199,199
support_train,fit,iotsim-stream-consumer,False,ca48ec2366b5ea61cf7b,2,54,56
support_train,fit,iotsim-stream-consumer,False,cf005e07b91bb3b1f97d,30,205,264
support_train,fit,iotsim-stream-consumer,False,da3d7b7d0040c55ec7aa,1,38,38
support_train,fit,iotsim-stream-consumer,False,daad4fe304edc93b34e4,6,326,344
support_train,fit,iotsim-stream-consumer,False,dd123ec93827637c95ec,36,202,384
support_train,fit,iotsim-stream-consumer,False,e285730e6eb4821727e3,9,17,32
support_train,fit,iotsim-stream-consumer,False,e3815b77f5f8883099e9,2,39,45
support_train,fit,iotsim-stream-consumer,False,e3bb5a4788f6be3494e9,21,65,105
support_train,fit,iotsim-stream-consumer,False,e562938f1dcf75d7bf19,13,265,316
support_train,fit,iotsim-stream-consumer,False,ef98661fdd29a0babb06,8,0,14
support_train,fit,iotsim-stream-consumer,False,f25ebe83d18daac5f2d7,4,34,62
id_calib,fit,iotsim-stream-consumer,False,007da547cf47d22c8705,4,3548,3612
id_calib,fit,iotsim-stream-consumer,False,0091a7cdde1f63c7fa65,2,50174,50181
id_calib,fit,iotsim-stream-consumer,False,0091bf1108c94170d3e6,18,35381,35613
id_calib,fit,iotsim-stream-consumer,False,0155b3dcaad99cb15d5e,2,37293,37300
