record_id,dataset,role,pair_id,mechanism_family,ton_groundtruth_label,cross_dataset_mapping,conn_relative_path,groundtruth_relative_path,conn_line_index,groundtruth_line_index,exact_join_rule,key_sha256,ts,source_local_orig_node_id,source_local_resp_node_id,orig_p,resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,completed_record_lower_bound_epoch,explicit_log_emission_time_available,allowed_for_static_completed_connection_supervision,allowed_for_temporal_replay,allowed_for_Gotham_C1_fit,allowed_for_Gotham_threshold_selection,report_or_sealed,selection_allowed_within_aux_role_only
ckbt_000f0cdd6ceecddbc74f,ToN-IoT_raw_network_Bro,aux_process_fit,scanning_fit_capture_1,reconnaissance_scan,scanning,mechanism_family_only_not_exact_Gotham_label_equivalence,Network_dataset_Bro/normal_attack_Bro/normal_scanning/normal_scanning_1/conn.log,SecurityEvents_Network_datasets/GroundTruth_Network_1.csv,6420,646,floor(conn.ts)==gt.ts_and_direct_5tuple_proto_unique_both_sides,0a22882a0f2fb3c053622c9af167e4ca9e71aaeb26dbf494744f43b3ad88b3c0,1556021529.123832,9,7,62946,3168,tcp,-,0.005285,0,0,REJ,Sr,2,88,1,40,1556021529.129117,False,True,False,False,False,False,True
ckbt_0015ac14b10304d1de6c,ToN-IoT_raw_network_Bro,aux_process_fit,scanning_fit_capture_1,reconnaissance_scan,scanning,mechanism_family_only_not_exact_Gotham_label_equivalence,Network_dataset_Bro/normal_attack_Bro/normal_scanning/normal_scanning_1/conn.log,SecurityEvents_Network_datasets/GroundTruth_Network_1.csv,514,28121,floor(conn.ts)==gt.ts_and_direct_5tuple_proto_unique_both_sides,9e6de5ec7316908c355aebb6ecadc5135cf212746e8096a458a3852fd5832a0d,1556021425.355779,9,7,42908,548,tcp,-,0.007666,0,0,REJ,Sr,2,88,1,40,1556021425.363445,False,True,False,False,False,False,True
ckbt_001640197e59089ac0bd,ToN-IoT_raw_network_Bro,aux_process_fit,scanning_fit_capture_1,reconnaissance_scan,scanning,mechanism_family_only_not_exact_Gotham_label_equivalence,Network_dataset_Bro/normal_attack_Bro/normal_scanning/normal_scanning_1/conn.log,SecurityEvents_Network_datasets/GroundTruth_Network_1.csv,52890,49893,floor(conn.ts)==gt.ts_and_direct_5tuple_proto_unique_both_sides,9e548b026abfdb6cf6fa81ea9ed17bf29b4442d293cac934a3faa1d6656b6aa0,1556023690.167763,10,0,56117,53,udp,dns,0.002973,44,44,SF,Dd,2,100,2,100,1556023690.170736,False,True,False,False,False,False,True
ckbt_00185da3334a146dda72,ToN-IoT_raw_network_Bro,aux_process_fit,scanning_fit_capture_1,reconnaissance_scan,scanning,mechanism_family_only_not_exact_Gotham_label_equivalence,Network_dataset_Bro/normal_attack_Bro/normal_scanning/normal_scanning_1/conn.log,SecurityEvents_Network_datasets/GroundTruth_Network_1.csv,26138,18936,floor(conn.ts)==gt.ts_and_direct_5tuple_proto_unique_both_sides,33a95330c2aca77886b1090366018e5d22c217aa553b7673b39ca0ff32453140,1556022369.279511,9,5,49023,31337,tcp,-,-,-,-,S0,S,1,44,0,0,,False,True,False,False,False,False,True
ckbt_001920702dea50d27d25,ToN-IoT_raw_network_Bro,aux_process_fit,scanning_fit_capture_1,reconnaissance_scan,scanning,mechanism_family_only_not_exact_Gotham_label_equivalence,Network_dataset_Bro/normal_attack_Bro/normal_scanning/normal_scanning_1/conn.log,SecurityEvents_Network_datasets/GroundTruth_Network_1.csv,21140,14635,floor(conn.ts)==gt.ts_and_direct_5tuple_proto_unique_both_sides,931c9ebbbaa9b524d38ffc7a5bbe5652f5d20e4f6849ce5a95f3ff85eb4cd8eb,1556022129.196656,11,13,54777,6788,tcp,-,-,-,-,S0,S,1,44,0,0,,False,True,False,False,False,False,True
ckbt_002ce2a4b993ccd6cb9a,ToN-IoT_raw_network_Bro,aux_process_fit,scanning_fit_capture_1,reconnaissance_scan,scanning,mechanism_family_only_not_exact_Gotham_label_equivalence,Network_dataset_Bro/normal_attack_Bro/normal_scanning/normal_scanning_1/conn.log,SecurityEvents_Network_datasets/GroundTruth_Network_1.csv,55917,52682,floor(conn.ts)==gt.ts_and_direct_5tuple_proto_unique_both_sides,2c44d7cc15201a38fe2b77ddd98ce749f46b4c91ca03d3ac830408a9fd48f2ca,1556023860.373577,11,2,53921,5080,tcp,-,0.003878,0,0,REJ,Sr,1,44,1,40,1556023860.377455,False,True,False,False,False,False,True
ckbt_002d980d981ab244f057,ToN-IoT_raw_network_Bro,aux_process_fit,scanning_fit_capture_1,reconnaissance_scan,scanning,mechanism_family_only_not_exact_Gotham_label_equivalence,Network_dataset_Bro/normal_attack_Bro/normal_scanning/normal_scanning_1/conn.log,SecurityEvents_Network_datasets/GroundTruth_Network_1.csv,5698,33203,floor(conn.ts)==gt.ts_and_direct_5tuple_proto_unique_both_sides,e83d5cc701e9c8c0b4e2705f55ebe676f097c41a045760b632529031ff78b7da,1556021522.144809,9,5,62946,2047,tcp,-,-,-,-,S0,S,1,44,0,0,,False,True,False,False,False,False,True
ckbt_0031b78c78c402aaba41,ToN-IoT_raw_network_Bro,aux_process_fit,scanning_fit_capture_1,reconnaissance_scan,scanning,mechanism_family_only_not_exact_Gotham_label_equivalence,Network_dataset_Bro/normal_attack_Bro/normal_scanning/normal_scanning_1/conn.log,SecurityEvents_Network_datasets/GroundTruth_Network_1.csv,55701,52456,floor(conn.ts)==gt.ts_and_direct_5tuple_proto_unique_both_sides,6713dc86ed554adc9bafa27edc32aa131cb81e174c96c80a21bf8d39dc394c6a,1556023848.479358,9,13,49510,1248,tcp,-,-,-,-,S0,S,1,44,0,0,,False,True,False,False,False,False,True
ckbt_003c51f50c3dd54bd73d,ToN-IoT_raw_network_Bro,aux_process_fit,scanning_fit_capture_1,reconnaissance_scan,scanning,mechanism_family_only_not_exact_Gotham_label_equivalence,Network_dataset_Bro/normal_attack_Bro/normal_scanning/normal_scanning_1/conn.log,SecurityEvents_Network_datasets/GroundTruth_Network_1.csv,38367,36169,floor(conn.ts)==gt.ts_and_direct_5tuple_proto_unique_both_sides,97c75f7e1269652ce6072e6da5cccfaa123b619d05545462aa08855f66a9201f,1556023015.033261,11,2,61171,8800,tcp,-,-,-,-,S0,S,1,44,0,0,,False,True,False,False,False,False,True
ckbt_005ad203008710c6ef02,ToN-IoT_raw_network_Bro,aux_process_fit,scanning_fit_capture_1,reconnaissance_scan,scanning,mechanism_family_only_not_exact_Gotham_label_equivalence,Network_dataset_Bro/normal_attack_Bro/normal_scanning/normal_scanning_1/conn.log,SecurityEvents_Network_datasets/GroundTruth_Network_1.csv,1724,29318,floor(conn.ts)==gt.ts_and_direct_5tuple_proto_unique_both_sides,6b297e9ab21aff186ff0da12e6169265be41443073a24023a929571f695867ca,1556021455.287599,9,3,42908,49153,tcp,-,0.004476,0,0,REJ,Sr,1,44,1,40,1556021455.292075,False,True,False,False,False,False,True
