strategy,state_id,previous_state_id,role,pcap_member,state_action,packet_start,packet_end,packets_scanned,pre_record_packets,state_hash_before,state_hash_after,warmup_packets,feature_rows_emitted
reset_at_split_boundary,reset::id_benign_train,none,id_benign_train,raw/benign/iotsim-combined-cycle-3_0-0_to_OpenvSwitch-13_3-0.pcap,init_reset_per_role,0,1127,1128,0,ceb5dd345ab9e6c8443aa0ae256bb22ca7137a726f34c1cd53a149a2898102d1,5f72b7891228f06a33143d70d44eb2c914ec6facf1af8da82d43a674068fc250,100,1128
reset_at_split_boundary,reset::ood_benign_val,none,ood_benign_val,raw/benign/iotsim-building-monitor-3_0-0_to_OpenvSwitch-28_3-0.pcap,init_reset_per_role,0,1499,1501,0,ceb5dd345ab9e6c8443aa0ae256bb22ca7137a726f34c1cd53a149a2898102d1,062fc23055741d5a1d1277f51dfee33fa512597a70e5bb9d7b8fb5212ea889b3,100,1500
reset_at_split_boundary,reset::final_ood_benign_eval,none,final_ood_benign_eval,raw/benign/iotsim-hydraulic-system-8_0-0_to_OpenvSwitch-15_8-0.pcap,init_reset_per_role,0,1499,1501,0,ceb5dd345ab9e6c8443aa0ae256bb22ca7137a726f34c1cd53a149a2898102d1,66563f5511d3594599e6988a4dac3568ce4ee6f14fe935d7d2b1714f5359bb22,100,1500
reset_at_split_boundary,reset::attack_support,none,attack_support,raw/malicious/network-scanning/iotsim-air-quality-1_0-0_to_OpenvSwitch-25_1-0.pcap,init_reset_per_role,0,-1,58857,58857,ceb5dd345ab9e6c8443aa0ae256bb22ca7137a726f34c1cd53a149a2898102d1,98067e7a4593e066a4c28527eb96ff21545dafa23fcfd4fe0c231b45053e595d,0,0
reset_at_split_boundary,reset::attack_eval,none,attack_eval,raw/malicious/network-scanning/iotsim-combined-cycle-1_0-0_to_OpenvSwitch-13_1-0.pcap,init_reset_per_role,0,-1,54815,54815,ceb5dd345ab9e6c8443aa0ae256bb22ca7137a726f34c1cd53a149a2898102d1,5058f9e98dc920d3cfd87c4bb7a89f6e72e78f92246e96fd7032cfe01888fb1d,0,0
train_state_then_eval_online,B::S_train_after_id,none,id_benign_train,raw/benign/iotsim-combined-cycle-3_0-0_to_OpenvSwitch-13_3-0.pcap,init_then_train_id_benign,0,1127,1128,0,ceb5dd345ab9e6c8443aa0ae256bb22ca7137a726f34c1cd53a149a2898102d1,5f72b7891228f06a33143d70d44eb2c914ec6facf1af8da82d43a674068fc250,100,1128
train_state_then_eval_online,B::S_ood_val_branch,B::S_train_after_id,ood_benign_val,raw/benign/iotsim-building-monitor-3_0-0_to_OpenvSwitch-28_3-0.pcap,clone_train_state_then_discard_after_role,0,1499,1501,0,5f72b7891228f06a33143d70d44eb2c914ec6facf1af8da82d43a674068fc250,413742660312f5f0c6dd58d83e5db0d233facd6362d8f9fa9388eef8d48972d7,100,1500
train_state_then_eval_online,B::S_final_ood_report_only_branch,B::S_train_after_id,final_ood_benign_eval,raw/benign/iotsim-hydraulic-system-8_0-0_to_OpenvSwitch-15_8-0.pcap,clone_train_state_then_discard_after_role,0,1499,1501,0,5f72b7891228f06a33143d70d44eb2c914ec6facf1af8da82d43a674068fc250,c5599a05a619dc9a7e0c954e67aab4a843c417a2fd5e15e9bddccea526cc82e4,100,1500
train_state_then_eval_online,B::S_support_after_attack_support,B::S_train_after_id,attack_support,raw/malicious/network-scanning/iotsim-air-quality-1_0-0_to_OpenvSwitch-25_1-0.pcap,clone_train_state_then_attack_support,0,-1,58857,58857,5f72b7891228f06a33143d70d44eb2c914ec6facf1af8da82d43a674068fc250,cdb8ebee649fe111e7efe6c6cf60d9d96d696c248f8af0c0373ea9f922016e84,0,0
train_state_then_eval_online,B::S_attack_eval_report_only_after_support,B::S_support_after_attack_support,attack_eval,raw/malicious/network-scanning/iotsim-combined-cycle-1_0-0_to_OpenvSwitch-13_1-0.pcap,clone_support_state_then_report_only_attack_eval,0,-1,54815,54815,cdb8ebee649fe111e7efe6c6cf60d9d96d696c248f8af0c0373ea9f922016e84,c3d9d1b1d714413cfd914a807a1544af2d638ac8d080a24b8d84b1fc8a9e2db8,0,0
