csv_file_id,csv_archive_path,file_name,file_size,inferred_device,inferred_protocol_from_filename,observed_protocol_from_frame_protocols,pcap_counterpart_candidate,pcap_pairing_confidence,pcap_pairing_candidate_count,total_rows_estimated_or_exact,row_count_status,columns_count,has_label,has_frame_time,has_frame_number,has_frame_protocols,has_ip_src,has_ip_dst,label_values,benign_rows,attack_rows,unknown_label_rows,attack_type_values,attack_type_counts,first_timestamp,last_timestamp,duration_seconds,timestamp_parse_status,timestamp_parse_successes,timestamp_parse_failures,timestamp_monotonic_violations,label_transition_count,benign_prefix_then_attack_suffix_flag,mixed_label_flag,all_benign_flag,all_attack_flag,unknown_label_flag,sampled_rows_kept,parse_status,partial_reason,notes
1,processed/iotsim-cooler-motor-15.csv,iotsim-cooler-motor-15.csv,4915203,cooler-motor,,tls,raw/benign/iotsim-cooler-motor-15_0-0_to_OpenvSwitch-20_5-0.pcap,medium_filename_path_match,1,22468,exact,23,True,True,False,True,True,True,Benign,22468,0,0,,{},,,,missing_or_unparsed,0,22468,0,0,False,False,True,False,False,103,ok,,streamed_from_zip_no_full_extract
2,processed/iotsim-cooler-motor-14.csv,iotsim-cooler-motor-14.csv,4916759,cooler-motor,,tls,raw/benign/iotsim-cooler-motor-14_0-0_to_OpenvSwitch-20_4-0.pcap,medium_filename_path_match,1,22475,exact,23,True,True,False,True,True,True,Benign,22475,0,0,,{},,,,missing_or_unparsed,0,22475,0,0,False,False,True,False,False,103,ok,,streamed_from_zip_no_full_extract
3,processed/iotsim-cooler-motor-13.csv,iotsim-cooler-motor-13.csv,4915861,cooler-motor,,tls,raw/benign/iotsim-cooler-motor-13_0-0_to_OpenvSwitch-20_3-0.pcap,medium_filename_path_match,1,22471,exact,23,True,True,False,True,True,True,Benign,22471,0,0,,{},,,,missing_or_unparsed,0,22471,0,0,False,False,True,False,False,103,ok,,streamed_from_zip_no_full_extract
4,processed/iotsim-cooler-motor-8.csv,iotsim-cooler-motor-8.csv,4958705,cooler-motor,,mqtt,raw/benign/iotsim-cooler-motor-8_0-0_to_OpenvSwitch-18_8-0.pcap,medium_filename_path_match,1,22466,exact,23,True,True,False,True,True,True,Benign,22466,0,0,,{},,,,missing_or_unparsed,0,22466,0,0,False,False,True,False,False,103,ok,,streamed_from_zip_no_full_extract
5,processed/iotsim-cooler-motor-9.csv,iotsim-cooler-motor-9.csv,4960033,cooler-motor,,mqtt,raw/benign/iotsim-cooler-motor-9_0-0_to_OpenvSwitch-18_9-0.pcap,medium_filename_path_match,1,22472,exact,23,True,True,False,True,True,True,Benign,22472,0,0,,{},,,,missing_or_unparsed,0,22472,0,0,False,False,True,False,False,103,ok,,streamed_from_zip_no_full_extract
6,processed/iotsim-cooler-motor-12.csv,iotsim-cooler-motor-12.csv,4915445,cooler-motor,,tls,raw/benign/iotsim-cooler-motor-12_0-0_to_OpenvSwitch-20_2-0.pcap,medium_filename_path_match,1,22469,exact,23,True,True,False,True,True,True,Benign,22469,0,0,,{},,,,missing_or_unparsed,0,22469,0,0,False,False,True,False,False,103,ok,,streamed_from_zip_no_full_extract
7,processed/iotsim-cooler-motor-10.csv,iotsim-cooler-motor-10.csv,4960921,cooler-motor,,mqtt,raw/benign/iotsim-cooler-motor-10_0-0_to_OpenvSwitch-18_10-0.pcap,medium_filename_path_match,1,22476,exact,23,True,True,False,True,True,True,Benign,22476,0,0,,{},,,,missing_or_unparsed,0,22476,0,0,False,False,True,False,False,103,ok,,streamed_from_zip_no_full_extract
8,processed/iotsim-hydraulic-system-8.csv,iotsim-hydraulic-system-8.csv,529710,hydraulic-system,,mqtt,raw/benign/iotsim-hydraulic-system-8_0-0_to_OpenvSwitch-15_8-0.pcap,medium_filename_path_match,1,2522,exact,23,True,True,False,True,True,True,Benign,2522,0,0,,{},,,,missing_or_unparsed,0,2522,0,0,False,False,True,False,False,101,ok,,streamed_from_zip_no_full_extract
9,processed/iotsim-hydraulic-system-9.csv,iotsim-hydraulic-system-9.csv,526829,hydraulic-system,,mqtt,raw/benign/iotsim-hydraulic-system-9_0-0_to_OpenvSwitch-15_9-0.pcap,medium_filename_path_match,1,2509,exact,23,True,True,False,True,True,True,Benign,2509,0,0,,{},,,,missing_or_unparsed,0,2509,0,0,False,False,True,False,False,101,ok,,streamed_from_zip_no_full_extract
10,processed/iotsim-cooler-motor-11.csv,iotsim-cooler-motor-11.csv,4916083,cooler-motor,,tls,raw/benign/iotsim-cooler-motor-11_0-0_to_OpenvSwitch-20_1-0.pcap,medium_filename_path_match,1,22472,exact,23,True,True,False,True,True,True,Benign,22472,0,0,,{},,,,missing_or_unparsed,0,22472,0,0,False,False,True,False,False,103,ok,,streamed_from_zip_no_full_extract
