global_manifest_row_id,csv_file_id,csv_archive_path,row_index_within_file,frame.time,parsed_timestamp,label,binary_label,attack_type,inferred_device,inferred_protocol,frame.protocols,ip.src,ip.dst,time_bucket,row_order_bucket,is_transition_nearby,pcap_counterpart_candidate,split_eligibility_hint
1,1,processed/iotsim-cooler-motor-15.csv,1,"Jan 14, 2025 18:40:12.627200000 GMT",,Benign,benign,,cooler-motor,tls,eth:ethertype:ip:tcp:tls,192.168.19.34,192.168.0.4,,row_first_1k,false,raw/benign/iotsim-cooler-motor-15_0-0_to_OpenvSwitch-20_5-0.pcap,eligible_benign
2,1,processed/iotsim-cooler-motor-15.csv,2,"Jan 14, 2025 18:40:12.631674000 GMT",,Benign,benign,,cooler-motor,,eth:ethertype:ip:tcp,192.168.0.4,192.168.19.34,,row_first_1k,false,raw/benign/iotsim-cooler-motor-15_0-0_to_OpenvSwitch-20_5-0.pcap,eligible_benign
3,1,processed/iotsim-cooler-motor-15.csv,3,"Jan 14, 2025 18:40:13.124116000 GMT",,Benign,benign,,cooler-motor,tls,eth:ethertype:ip:tcp:tls,192.168.19.34,192.168.0.4,,row_first_1k,false,raw/benign/iotsim-cooler-motor-15_0-0_to_OpenvSwitch-20_5-0.pcap,eligible_benign
4,1,processed/iotsim-cooler-motor-15.csv,4,"Jan 14, 2025 18:40:13.128385000 GMT",,Benign,benign,,cooler-motor,,eth:ethertype:ip:tcp,192.168.0.4,192.168.19.34,,row_first_1k,false,raw/benign/iotsim-cooler-motor-15_0-0_to_OpenvSwitch-20_5-0.pcap,eligible_benign
5,1,processed/iotsim-cooler-motor-15.csv,5,"Jan 14, 2025 18:40:13.598207000 GMT",,Benign,benign,,cooler-motor,tls,eth:ethertype:ip:tcp:tls,192.168.19.34,192.168.0.4,,row_first_1k,false,raw/benign/iotsim-cooler-motor-15_0-0_to_OpenvSwitch-20_5-0.pcap,eligible_benign
6,1,processed/iotsim-cooler-motor-15.csv,6,"Jan 14, 2025 18:40:13.603694000 GMT",,Benign,benign,,cooler-motor,,eth:ethertype:ip:tcp,192.168.0.4,192.168.19.34,,row_first_1k,false,raw/benign/iotsim-cooler-motor-15_0-0_to_OpenvSwitch-20_5-0.pcap,eligible_benign
7,1,processed/iotsim-cooler-motor-15.csv,7,"Jan 14, 2025 18:40:14.095014000 GMT",,Benign,benign,,cooler-motor,tls,eth:ethertype:ip:tcp:tls,192.168.19.34,192.168.0.4,,row_first_1k,false,raw/benign/iotsim-cooler-motor-15_0-0_to_OpenvSwitch-20_5-0.pcap,eligible_benign
8,1,processed/iotsim-cooler-motor-15.csv,8,"Jan 14, 2025 18:40:14.099697000 GMT",,Benign,benign,,cooler-motor,,eth:ethertype:ip:tcp,192.168.0.4,192.168.19.34,,row_first_1k,false,raw/benign/iotsim-cooler-motor-15_0-0_to_OpenvSwitch-20_5-0.pcap,eligible_benign
9,1,processed/iotsim-cooler-motor-15.csv,9,"Jan 14, 2025 18:40:14.617734000 GMT",,Benign,benign,,cooler-motor,tls,eth:ethertype:ip:tcp:tls,192.168.19.34,192.168.0.4,,row_first_1k,false,raw/benign/iotsim-cooler-motor-15_0-0_to_OpenvSwitch-20_5-0.pcap,eligible_benign
10,1,processed/iotsim-cooler-motor-15.csv,10,"Jan 14, 2025 18:40:14.623585000 GMT",,Benign,benign,,cooler-motor,,eth:ethertype:ip:tcp,192.168.0.4,192.168.19.34,,row_first_1k,false,raw/benign/iotsim-cooler-motor-15_0-0_to_OpenvSwitch-20_5-0.pcap,eligible_benign
