dataset,row_id,computed_score,cached_score,abs_diff,passes
id,0,0.0022056498488634826,0.0022056498488634826,0.0,True
id,1,0.002115519476890564,0.002115519476890564,0.0,True
id,8000,0.0018014633020609616,0.0018014633020609616,0.0,True
id,49999,0.0015708622446507215,0.0015708622446507215,0.0,True
ood,0,0.0021852410787940027,0.0021852410787940027,0.0,True
ood,1,0.002098324235364795,0.002098324235364795,0.0,True
ood,8000,0.003338434260174632,0.003338434260174632,0.0,True
ood,19999,0.0029337627271413804,0.0029337627271413804,0.0,True
attack,0,0.0020776963716596366,0.0020776963716596366,0.0,True
attack,1,0.002070883281365037,0.002070892827421427,9.546056389808655e-09,True
attack,8000,0.013708686215639114,0.013708692734897136,6.51925802230835e-09,True
attack,9999,0.0021266059408187868,0.002126602448359132,3.4924596548080444e-09,True
