seed_group,positive_budget,method,baseline_method,method_detection_mean,baseline_detection_mean,detection_delta,method_ood_alarm_mean,baseline_ood_alarm_mean,ood_alarm_delta,method_ood_alarm_max,baseline_ood_alarm_max,method_feasible_rate,baseline_feasible_rate,feasible_delta
heldout_support_47_51,32,transformer_hidden_plain_lr,original100_fixed_guard_lr,0.48014545454545454,0.9922909090909092,-0.5121454545454547,0.014280000000000001,0.00442,0.00986,0.0165,0.0083,0.2,1.0,-0.8
heldout_support_47_51,32,transformer_hidden_plain_lr,original100_plus_source_rich_fixed_guard_lr,0.48014545454545454,0.9854545454545456,-0.505309090909091,0.014280000000000001,0.00548,0.008800000000000002,0.0165,0.0082,0.2,1.0,-0.8
main_paired_42_46,16,original100_plus_transformer_hidden_fixed_guard_lr,original100_plain_lr,0.9726545454545455,0.9675636363636364,0.005090909090909146,0.00232,0.0044399999999999,-0.0021199999999998997,0.0057,0.0092,1.0,1.0,0.0
main_paired_42_46,16,original100_plus_transformer_hidden_fixed_guard_lr,original100_fixed_guard_lr,0.9726545454545455,0.9649454545454546,0.007709090909090999,0.00232,0.00276,-0.00043999999999999985,0.0057,0.005,1.0,1.0,0.0
main_paired_42_46,16,original100_plus_transformer_hidden_fixed_guard_lr,original100_plus_source_rich_fixed_guard_lr,0.9726545454545455,0.9677090909090909,0.004945454545454697,0.00232,0.00632,-0.004,0.0057,0.0097,1.0,1.0,0.0
main_paired_42_46,16,transformer_hidden_fixed_guard_lr,original100_plain_lr,0.4914909090909091,0.9675636363636364,-0.4760727272727273,0.01508,0.0044399999999999,0.0106400000000001,0.0167,0.0092,0.2,1.0,-0.8
main_paired_42_46,16,transformer_hidden_fixed_guard_lr,original100_fixed_guard_lr,0.4914909090909091,0.9649454545454546,-0.47345454545454546,0.01508,0.00276,0.01232,0.0167,0.005,0.2,1.0,-0.8
main_paired_42_46,16,transformer_hidden_fixed_guard_lr,original100_plus_source_rich_fixed_guard_lr,0.4914909090909091,0.9677090909090909,-0.47621818181818176,0.01508,0.00632,0.00876,0.0167,0.0097,0.2,1.0,-0.8
main_paired_42_46,16,transformer_hidden_plain_lr,original100_plain_lr,0.49032727272727267,0.9675636363636364,-0.47723636363636374,0.015099999999999999,0.0044399999999999,0.0106600000000001,0.0167,0.0092,0.0,1.0,-1.0
main_paired_42_46,16,transformer_hidden_plain_lr,original100_fixed_guard_lr,0.49032727272727267,0.9649454545454546,-0.4746181818181819,0.015099999999999999,0.00276,0.012339999999999999,0.0167,0.005,0.0,1.0,-1.0
main_paired_42_46,16,transformer_hidden_plain_lr,original100_plus_source_rich_fixed_guard_lr,0.49032727272727267,0.9677090909090909,-0.4773818181818182,0.015099999999999999,0.00632,0.00878,0.0167,0.0097,0.0,1.0,-1.0
main_paired_42_46,32,original100_plus_transformer_hidden_fixed_guard_lr,original100_plain_lr,0.9447272727272727,0.9406545454545456,0.004072727272727117,0.0034799999999999996,0.00652,-0.00304,0.0058,0.0098,1.0,1.0,0.0
main_paired_42_46,32,original100_plus_transformer_hidden_fixed_guard_lr,original100_fixed_guard_lr,0.9447272727272727,0.9381818181818182,0.006545454545454521,0.0034799999999999996,0.0043,-0.0008200000000000004,0.0058,0.0058,1.0,1.0,0.0
main_paired_42_46,32,original100_plus_transformer_hidden_fixed_guard_lr,original100_plus_source_rich_fixed_guard_lr,0.9447272727272727,0.9700363636363636,-0.025309090909090837,0.0034799999999999996,0.00548,-0.002,0.0058,0.0075,1.0,1.0,0.0
main_paired_42_46,32,transformer_hidden_fixed_guard_lr,original100_plain_lr,0.49134545454545453,0.9406545454545456,-0.4493090909090911,0.01474,0.00652,0.00822,0.0168,0.0098,0.2,1.0,-0.8
main_paired_42_46,32,transformer_hidden_fixed_guard_lr,original100_fixed_guard_lr,0.49134545454545453,0.9381818181818182,-0.4468363636363637,0.01474,0.0043,0.01044,0.0168,0.0058,0.2,1.0,-0.8
main_paired_42_46,32,transformer_hidden_fixed_guard_lr,original100_plus_source_rich_fixed_guard_lr,0.49134545454545453,0.9700363636363636,-0.47869090909090906,0.01474,0.00548,0.009260000000000001,0.0168,0.0075,0.2,1.0,-0.8
main_paired_42_46,32,transformer_hidden_plain_lr,original100_plain_lr,0.48974545454545454,0.9406545454545456,-0.4509090909090911,0.01472,0.00652,0.0082,0.0165,0.0098,0.2,1.0,-0.8
main_paired_42_46,32,transformer_hidden_plain_lr,original100_fixed_guard_lr,0.48974545454545454,0.9381818181818182,-0.4484363636363637,0.01472,0.0043,0.01042,0.0165,0.0058,0.2,1.0,-0.8
main_paired_42_46,32,transformer_hidden_plain_lr,original100_plus_source_rich_fixed_guard_lr,0.48974545454545454,0.9700363636363636,-0.48029090909090905,0.01472,0.00548,0.009240000000000002,0.0165,0.0075,0.2,1.0,-0.8
