source_group,target_rows,min_recorded_index,max_recorded_index,pcap_counterpart_candidate,has_label,all_benign_flag,all_attack_flag,unknown_label_flag,label_values,benign_rows,attack_rows,unknown_label_rows,timestamp_parse_status,timestamp_parse_failures,candidate_pcap_archive_path,pcap_metadata_status,filename_token_match,path_token_match,device_token_match,protocol_token_match,timestamp_range_overlap_status,pairing_confidence_new,unresolved_reason,source_stem,pcap_stem,candidate_under_raw_benign,candidate_under_raw_malicious,exact_source_stem_pair,source_label_semantics,semantic_benign_provenance_pass,source_label_provenance_pass,pcap_path_semantics_match,raw_pcap_frontend_eligible,decision
processed/iotsim-building-monitor-2.csv,1690,50,1739,raw/benign/iotsim-building-monitor-2_0-0_to_OpenvSwitch-28_2-0.pcap,True,True,False,False,Benign,1740,0,0,missing_or_unparsed,1740,raw/benign/iotsim-building-monitor-2_0-0_to_OpenvSwitch-28_2-0.pcap,ok,True,True,True,False,range_endpoint_match_within_1s,medium_filename_path_match,count=mismatch; time=range_endpoint_match_within_1s; pcap_status=ok,iotsim-building-monitor-2,iotsim-building-monitor-2,True,False,True,benign,True,True,True,True,eligible_for_raw_pcap_episode_frontend
processed/iotsim-building-monitor-3.csv,914,50,963,raw/benign/iotsim-building-monitor-3_0-0_to_OpenvSwitch-28_3-0.pcap,True,True,False,False,Benign,1740,0,0,missing_or_unparsed,1740,raw/benign/iotsim-building-monitor-3_0-0_to_OpenvSwitch-28_3-0.pcap,ok,True,True,True,False,range_endpoint_match_within_1s,medium_filename_path_match,count=mismatch; time=range_endpoint_match_within_1s; pcap_status=ok,iotsim-building-monitor-3,iotsim-building-monitor-3,True,False,True,benign,True,True,True,True,eligible_for_raw_pcap_episode_frontend
processed/iotsim-city-power-1.csv,160,49191,1500445,raw/benign/iotsim-city-power-1_0-0_to_OpenvSwitch-26_1-0.pcap,True,False,False,True,Benign|Ingress Tool Transfer|Merlin ICMP Flooding|Merlin TCP Flooding|Merlin UDP Flooding|Mirai GRE Flooding|Mirai TCP Flooding|Mirai UDP Flooding|TCP Scan|Telnet Brute Force|Unknown,2320,1513259,852,missing_or_unparsed,1516431,raw/benign/iotsim-city-power-1_0-0_to_OpenvSwitch-26_1-0.pcap,ok,True,True,True,False,range_overlap,medium_filename_path_match,count=mismatch; time=range_overlap; pcap_status=ok,iotsim-city-power-1,iotsim-city-power-1,True,False,True,mixed_or_unknown,False,False,False,False,processed_only_until_pairing_repaired
processed/iotsim-combined-cycle-1.csv,2357,285633,5710275,raw/benign/iotsim-combined-cycle-10_0-0_to_OpenvSwitch-13_10-0.pcap,True,False,False,True,Benign|C&C Communication|CoAP Amplification|File Download|Ingress Tool Transfer|Merlin C&C Communication|Merlin ICMP Flooding|Merlin TCP Flooding|Merlin UDP Flooding|Mirai C&C Communication|Mirai GRE Flooding|Mirai TCP Flooding|Mirai UDP Flooding|Reporting|TCP Scan|Telnet Brute Force|UDP Scan|Unknown,2092,5971118,1677,missing_or_unparsed,5974887,raw/benign/iotsim-combined-cycle-10_0-0_to_OpenvSwitch-13_10-0.pcap,ok,True,True,True,False,range_overlap,medium_filename_path_match,count=mismatch; time=range_overlap; pcap_status=ok,iotsim-combined-cycle-1,iotsim-combined-cycle-10,True,False,False,mixed_or_unknown,False,False,False,False,processed_only_until_pairing_repaired
processed/iotsim-combined-cycle-10.csv,3168,406,126688,raw/benign/iotsim-combined-cycle-10_0-0_to_OpenvSwitch-13_10-0.pcap,True,False,False,True,Benign|C&C Communication|File Download|Ingress Tool Transfer|Reporting|TCP Scan|Telnet Brute Force|Unknown,974,136692,843,missing_or_unparsed,138509,raw/benign/iotsim-combined-cycle-10_0-0_to_OpenvSwitch-13_10-0.pcap,ok,True,True,True,False,range_overlap,medium_filename_path_match,count=mismatch; time=range_overlap; pcap_status=ok,iotsim-combined-cycle-10,iotsim-combined-cycle-10,True,False,True,mixed_or_unknown,False,False,False,False,processed_only_until_pairing_repaired
processed/iotsim-combined-cycle-tls-3.csv,270,50,1940,raw/benign/iotsim-combined-cycle-tls-3_0-0_to_OpenvSwitch-14_3-0.pcap,True,True,False,False,Benign,1944,0,0,missing_or_unparsed,1944,raw/benign/iotsim-combined-cycle-tls-3_0-0_to_OpenvSwitch-14_3-0.pcap,ok,True,True,True,False,range_overlap,medium_filename_path_match,count=mismatch; time=range_overlap; pcap_status=ok,iotsim-combined-cycle-tls-3,iotsim-combined-cycle-tls-3,True,False,True,benign,True,True,True,True,eligible_for_raw_pcap_episode_frontend
processed/iotsim-combined-cycle-tls-4.csv,270,53,1943,raw/benign/iotsim-combined-cycle-tls-4_0-0_to_OpenvSwitch-14_4-0.pcap,True,True,False,False,Benign,1944,0,0,missing_or_unparsed,1944,raw/benign/iotsim-combined-cycle-tls-4_0-0_to_OpenvSwitch-14_4-0.pcap,ok,True,True,True,False,range_overlap,medium_filename_path_match,count=mismatch; time=range_overlap; pcap_status=ok,iotsim-combined-cycle-tls-4,iotsim-combined-cycle-tls-4,True,False,True,benign,True,True,True,True,eligible_for_raw_pcap_episode_frontend
processed/iotsim-combined-cycle-tls-5.csv,269,56,1940,raw/benign/iotsim-combined-cycle-tls-5_0-0_to_OpenvSwitch-14_5-0.pcap,True,True,False,False,Benign,1944,0,0,missing_or_unparsed,1944,raw/benign/iotsim-combined-cycle-tls-5_0-0_to_OpenvSwitch-14_5-0.pcap,ok,True,True,True,False,range_overlap,medium_filename_path_match,count=mismatch; time=range_overlap; pcap_status=ok,iotsim-combined-cycle-tls-5,iotsim-combined-cycle-tls-5,True,False,True,benign,True,True,True,True,eligible_for_raw_pcap_episode_frontend
processed/iotsim-cooler-motor-5.csv,3191,53,22470,raw/benign/iotsim-cooler-motor-5_0-0_to_OpenvSwitch-18_5-0.pcap,True,True,False,False,Benign,22471,0,0,missing_or_unparsed,22471,raw/benign/iotsim-cooler-motor-5_0-0_to_OpenvSwitch-18_5-0.pcap,ok,True,True,True,False,range_endpoint_match_within_1s,medium_filename_path_match,count=mismatch; time=range_endpoint_match_within_1s; pcap_status=ok,iotsim-cooler-motor-5,iotsim-cooler-motor-5,True,False,True,benign,True,True,True,True,eligible_for_raw_pcap_episode_frontend
processed/iotsim-cooler-motor-6.csv,1306,55,22464,raw/benign/iotsim-cooler-motor-6_0-0_to_OpenvSwitch-18_6-0.pcap,True,True,False,False,Benign,22468,0,0,missing_or_unparsed,22468,raw/benign/iotsim-cooler-motor-6_0-0_to_OpenvSwitch-18_6-0.pcap,ok,True,True,True,False,range_endpoint_match_within_1s,medium_filename_path_match,count=mismatch; time=range_endpoint_match_within_1s; pcap_status=ok,iotsim-cooler-motor-6,iotsim-cooler-motor-6,True,False,True,benign,True,True,True,True,eligible_for_raw_pcap_episode_frontend
processed/iotsim-cooler-motor-7.csv,1306,50,22458,raw/benign/iotsim-cooler-motor-7_0-0_to_OpenvSwitch-18_7-0.pcap,True,True,False,False,Benign,22475,0,0,missing_or_unparsed,22475,raw/benign/iotsim-cooler-motor-7_0-0_to_OpenvSwitch-18_7-0.pcap,ok,True,True,True,False,range_endpoint_match_within_1s,medium_filename_path_match,count=mismatch; time=range_endpoint_match_within_1s; pcap_status=ok,iotsim-cooler-motor-7,iotsim-cooler-motor-7,True,False,True,benign,True,True,True,True,eligible_for_raw_pcap_episode_frontend
processed/iotsim-cooler-motor-8.csv,292,63,5060,raw/benign/iotsim-cooler-motor-8_0-0_to_OpenvSwitch-18_8-0.pcap,True,True,False,False,Benign,22466,0,0,missing_or_unparsed,22466,raw/benign/iotsim-cooler-motor-8_0-0_to_OpenvSwitch-18_8-0.pcap,ok,True,True,True,False,range_endpoint_match_within_1s,medium_filename_path_match,count=mismatch; time=range_endpoint_match_within_1s; pcap_status=ok,iotsim-cooler-motor-8,iotsim-cooler-motor-8,True,False,True,benign,True,True,True,True,eligible_for_raw_pcap_episode_frontend
processed/iotsim-cooler-motor-9.csv,96,50,1681,raw/benign/iotsim-cooler-motor-9_0-0_to_OpenvSwitch-18_9-0.pcap,True,True,False,False,Benign,22472,0,0,missing_or_unparsed,22472,raw/benign/iotsim-cooler-motor-9_0-0_to_OpenvSwitch-18_9-0.pcap,ok,True,True,True,False,range_endpoint_match_within_1s,medium_filename_path_match,count=mismatch; time=range_endpoint_match_within_1s; pcap_status=ok,iotsim-cooler-motor-9,iotsim-cooler-motor-9,True,False,True,benign,True,True,True,True,eligible_for_raw_pcap_episode_frontend
processed/iotsim-domotic-monitor-1.csv,3000,2562,2105603,raw/benign/iotsim-domotic-monitor-1_0-0_to_OpenvSwitch-23_1-0.pcap,True,False,False,True,Benign|C&C Communication|File Download|Ingress Tool Transfer|Merlin ICMP Flooding|Merlin TCP Flooding|Merlin UDP Flooding|Mirai GRE Flooding|Mirai TCP Flooding|Mirai UDP Flooding|Reporting|TCP Scan|Telnet Brute Force|Unknown,8168,2105832,866,missing_or_unparsed,2114866,raw/benign/iotsim-domotic-monitor-1_0-0_to_OpenvSwitch-23_1-0.pcap,ok,True,True,True,False,range_overlap,medium_filename_path_match,count=mismatch; time=range_overlap; pcap_status=ok,iotsim-domotic-monitor-1,iotsim-domotic-monitor-1,True,False,True,mixed_or_unknown,False,False,False,False,processed_only_until_pairing_repaired
processed/iotsim-hydraulic-system-1.csv,1353,50,3868,raw/benign/iotsim-hydraulic-system-15_0-0_to_OpenvSwitch-16_5-0.pcap,True,True,False,False,Benign,17432,0,0,missing_or_unparsed,17432,raw/benign/iotsim-hydraulic-system-15_0-0_to_OpenvSwitch-16_5-0.pcap,ok,True,True,True,False,range_overlap,medium_filename_path_match,count=mismatch; time=range_overlap; pcap_status=ok,iotsim-hydraulic-system-1,iotsim-hydraulic-system-15,True,False,False,benign,True,True,True,False,processed_only_until_pairing_repaired
processed/iotsim-hydraulic-system-10.csv,869,52,2503,raw/benign/iotsim-hydraulic-system-10_0-0_to_OpenvSwitch-15_10-0.pcap,True,True,False,False,Benign,2506,0,0,missing_or_unparsed,2506,raw/benign/iotsim-hydraulic-system-10_0-0_to_OpenvSwitch-15_10-0.pcap,ok,True,True,True,False,range_overlap,medium_filename_path_match,count=mismatch; time=range_overlap; pcap_status=ok,iotsim-hydraulic-system-10,iotsim-hydraulic-system-10,True,False,True,benign,True,True,True,True,eligible_for_raw_pcap_episode_frontend
processed/iotsim-hydraulic-system-11.csv,856,50,2465,raw/benign/iotsim-hydraulic-system-11_0-0_to_OpenvSwitch-16_1-0.pcap,True,True,False,False,Benign,2466,0,0,missing_or_unparsed,2466,raw/benign/iotsim-hydraulic-system-11_0-0_to_OpenvSwitch-16_1-0.pcap,ok,True,True,True,False,range_overlap,medium_filename_path_match,count=mismatch; time=range_overlap; pcap_status=ok,iotsim-hydraulic-system-11,iotsim-hydraulic-system-11,True,False,True,benign,True,True,True,True,eligible_for_raw_pcap_episode_frontend
processed/iotsim-hydraulic-system-12.csv,601,52,2494,raw/benign/iotsim-hydraulic-system-12_0-0_to_OpenvSwitch-16_2-0.pcap,True,True,False,False,Benign,2496,0,0,missing_or_unparsed,2496,raw/benign/iotsim-hydraulic-system-12_0-0_to_OpenvSwitch-16_2-0.pcap,ok,True,True,True,False,range_overlap,medium_filename_path_match,count=mismatch; time=range_overlap; pcap_status=ok,iotsim-hydraulic-system-12,iotsim-hydraulic-system-12,True,False,True,benign,True,True,True,True,eligible_for_raw_pcap_episode_frontend
