strategy,family,columns,finite_rate,nan_count,inf_count,max_abs
reset_at_split_boundary,MI_dir,15,1.0,0,0,525874.25
reset_at_split_boundary,H,15,1.0,0,0,533280.5625
reset_at_split_boundary,HH,35,1.0,0,0,2290283.25
reset_at_split_boundary,HH_jit,15,1.0,0,0,25613.59765625
reset_at_split_boundary,HpHp,35,1.0,0,0,523456.6875
train_state_then_eval_online,MI_dir,15,1.0,0,0,525874.25
train_state_then_eval_online,H,15,1.0,0,0,533280.5625
train_state_then_eval_online,HH,35,1.0,0,0,1117898.125
train_state_then_eval_online,HH_jit,15,1.0,0,0,257965.59375
train_state_then_eval_online,HpHp,35,1.0,0,0,523456.6875
