strategy,method_name,phase,roles_accessed,row_count,final_eval_used,attack_eval_used,allowed
reset_at_split_boundary,Raw_LR_IDThreshold_diagnostic,fit,id_benign_train|attack_support,5250,False,False,True
reset_at_split_boundary,Raw_LR_IDThreshold_diagnostic,threshold_calibration,id_benign_train|ood_benign_val,6000,False,False,True
reset_at_split_boundary,Raw_LR_IDThreshold_diagnostic,report_only_score,final_ood_benign_eval|attack_eval,5250,True,True,True
reset_at_split_boundary,LR_ThresholdOnly_OODVal_diagnostic,fit,id_benign_train|attack_support,5250,False,False,True
reset_at_split_boundary,LR_ThresholdOnly_OODVal_diagnostic,threshold_calibration,id_benign_train|ood_benign_val,6000,False,False,True
reset_at_split_boundary,LR_ThresholdOnly_OODVal_diagnostic,report_only_score,final_ood_benign_eval|attack_eval,5250,True,True,True
reset_at_split_boundary,LOW_GUARD_LR_Shell_dry_run,fit,id_benign_train|attack_support,5250,False,False,True
reset_at_split_boundary,LOW_GUARD_LR_Shell_dry_run,threshold_calibration,id_benign_train|ood_benign_val,6000,False,False,True
reset_at_split_boundary,LOW_GUARD_LR_Shell_dry_run,report_only_score,final_ood_benign_eval|attack_eval,5250,True,True,True
reset_at_split_boundary,HistGB_Guarded_dry_run,fit,id_benign_train|attack_support,5250,False,False,True
reset_at_split_boundary,HistGB_Guarded_dry_run,threshold_calibration,id_benign_train|ood_benign_val,6000,False,False,True
reset_at_split_boundary,HistGB_Guarded_dry_run,report_only_score,final_ood_benign_eval|attack_eval,5250,True,True,True
reset_at_split_boundary,DeepSADStyle_Lite_dry_run,fit,id_benign_train|attack_support,5250,False,False,True
reset_at_split_boundary,DeepSADStyle_Lite_dry_run,threshold_calibration,id_benign_train|ood_benign_val,6000,False,False,True
reset_at_split_boundary,DeepSADStyle_Lite_dry_run,report_only_score,final_ood_benign_eval|attack_eval,5250,True,True,True
reset_at_split_boundary,IsolationForest_IDOnly_diagnostic,fit,id_benign_train,3000,False,False,True
reset_at_split_boundary,IsolationForest_IDOnly_diagnostic,threshold_calibration,id_benign_train|ood_benign_val,6000,False,False,True
reset_at_split_boundary,IsolationForest_IDOnly_diagnostic,report_only_score,final_ood_benign_eval|attack_eval,5250,True,True,True
train_state_then_eval_online,Raw_LR_IDThreshold_diagnostic,fit,id_benign_train|attack_support,5250,False,False,True
train_state_then_eval_online,Raw_LR_IDThreshold_diagnostic,threshold_calibration,id_benign_train|ood_benign_val,6000,False,False,True
train_state_then_eval_online,Raw_LR_IDThreshold_diagnostic,report_only_score,final_ood_benign_eval|attack_eval,5250,True,True,True
train_state_then_eval_online,LR_ThresholdOnly_OODVal_diagnostic,fit,id_benign_train|attack_support,5250,False,False,True
train_state_then_eval_online,LR_ThresholdOnly_OODVal_diagnostic,threshold_calibration,id_benign_train|ood_benign_val,6000,False,False,True
train_state_then_eval_online,LR_ThresholdOnly_OODVal_diagnostic,report_only_score,final_ood_benign_eval|attack_eval,5250,True,True,True
train_state_then_eval_online,LOW_GUARD_LR_Shell_dry_run,fit,id_benign_train|attack_support,5250,False,False,True
train_state_then_eval_online,LOW_GUARD_LR_Shell_dry_run,threshold_calibration,id_benign_train|ood_benign_val,6000,False,False,True
train_state_then_eval_online,LOW_GUARD_LR_Shell_dry_run,report_only_score,final_ood_benign_eval|attack_eval,5250,True,True,True
train_state_then_eval_online,HistGB_Guarded_dry_run,fit,id_benign_train|attack_support,5250,False,False,True
train_state_then_eval_online,HistGB_Guarded_dry_run,threshold_calibration,id_benign_train|ood_benign_val,6000,False,False,True
train_state_then_eval_online,HistGB_Guarded_dry_run,report_only_score,final_ood_benign_eval|attack_eval,5250,True,True,True
train_state_then_eval_online,DeepSADStyle_Lite_dry_run,fit,id_benign_train|attack_support,5250,False,False,True
train_state_then_eval_online,DeepSADStyle_Lite_dry_run,threshold_calibration,id_benign_train|ood_benign_val,6000,False,False,True
train_state_then_eval_online,DeepSADStyle_Lite_dry_run,report_only_score,final_ood_benign_eval|attack_eval,5250,True,True,True
train_state_then_eval_online,IsolationForest_IDOnly_diagnostic,fit,id_benign_train,3000,False,False,True
train_state_then_eval_online,IsolationForest_IDOnly_diagnostic,threshold_calibration,id_benign_train|ood_benign_val,6000,False,False,True
train_state_then_eval_online,IsolationForest_IDOnly_diagnostic,report_only_score,final_ood_benign_eval|attack_eval,5250,True,True,True
