strategy,artifact,ok,actual_sha256,expected_sha256,path
reset_at_split_boundary,X_115D_path,True,08b25825d98c330e2820f7951c52d4970b815fa64050f1bc221c849e033fc28f,08b25825d98c330e2820f7951c52d4970b815fa64050f1bc221c849e033fc28f,D:\study\paper\anomaly_detection\paper04\datasets\gotham2025\derived\kitsune115_medium_materialization_v1\gotham_kitsune115_medium_reset_at_split_boundary_X.npy
reset_at_split_boundary,y_path,True,c48ad427ea383a53d09006e62d8e567f3bac1f18933cfc1a808d9bd7ba58df5a,c48ad427ea383a53d09006e62d8e567f3bac1f18933cfc1a808d9bd7ba58df5a,D:\study\paper\anomaly_detection\paper04\datasets\gotham2025\derived\kitsune115_medium_materialization_v1\gotham_kitsune115_medium_reset_at_split_boundary_y.npy
reset_at_split_boundary,sidecar_path,True,0a7398b35220f9731151f6b1dd89a229a8a3ac047a4f03f403305d3f4a242541,0a7398b35220f9731151f6b1dd89a229a8a3ac047a4f03f403305d3f4a242541,D:\study\paper\anomaly_detection\paper04\datasets\gotham2025\derived\kitsune115_medium_materialization_v1\gotham_kitsune115_medium_reset_at_split_boundary_sidecar.csv.gz
reset_at_split_boundary,split_manifest_path,True,04079ff6aafcd49d344e6a36b3ceb163163a2b627a326dcfd169c5603e66c902,04079ff6aafcd49d344e6a36b3ceb163163a2b627a326dcfd169c5603e66c902,D:\study\paper\anomaly_detection\paper04\datasets\gotham2025\derived\kitsune115_medium_materialization_v1\gotham_kitsune115_medium_reset_at_split_boundary_split_manifest.csv
reset_at_split_boundary,feature_schema_path,True,af5849754ac49a6245461f93c078bb50931f0c102cb0d4880840f98a9b9be5b1,af5849754ac49a6245461f93c078bb50931f0c102cb0d4880840f98a9b9be5b1,D:\study\paper\anomaly_detection\paper04\datasets\gotham2025\derived\kitsune115_medium_materialization_v1\gotham_kitsune115_medium_reset_at_split_boundary_feature_schema.json
reset_at_split_boundary,state_transition_log_path,True,3a89801dbd1b8cbc40038a73c2d8ed95392d4cb6bfb8a8539ca2f136f3cf84cc,3a89801dbd1b8cbc40038a73c2d8ed95392d4cb6bfb8a8539ca2f136f3cf84cc,D:\study\paper\anomaly_detection\paper04\datasets\gotham2025\derived\kitsune115_medium_materialization_v1\gotham_kitsune115_medium_reset_at_split_boundary_state_transition_log.csv
train_state_then_eval_online,X_115D_path,True,dfb76bca2afa026abb7b20f02ec4420346d7df55b67f169a66206a3c91c26fe0,dfb76bca2afa026abb7b20f02ec4420346d7df55b67f169a66206a3c91c26fe0,D:\study\paper\anomaly_detection\paper04\datasets\gotham2025\derived\kitsune115_medium_materialization_v1\gotham_kitsune115_medium_train_state_then_eval_online_X.npy
train_state_then_eval_online,y_path,True,c48ad427ea383a53d09006e62d8e567f3bac1f18933cfc1a808d9bd7ba58df5a,c48ad427ea383a53d09006e62d8e567f3bac1f18933cfc1a808d9bd7ba58df5a,D:\study\paper\anomaly_detection\paper04\datasets\gotham2025\derived\kitsune115_medium_materialization_v1\gotham_kitsune115_medium_train_state_then_eval_online_y.npy
train_state_then_eval_online,sidecar_path,True,21a4a1cf0d49ef02f5334c1fd980e1890383963d7c3f62ce1100bb22163fe9ff,21a4a1cf0d49ef02f5334c1fd980e1890383963d7c3f62ce1100bb22163fe9ff,D:\study\paper\anomaly_detection\paper04\datasets\gotham2025\derived\kitsune115_medium_materialization_v1\gotham_kitsune115_medium_train_state_then_eval_online_sidecar.csv.gz
train_state_then_eval_online,split_manifest_path,True,681f4b8402374ee26e191ff75d13166e9e1331e3dd2653f013e05985abbe9047,681f4b8402374ee26e191ff75d13166e9e1331e3dd2653f013e05985abbe9047,D:\study\paper\anomaly_detection\paper04\datasets\gotham2025\derived\kitsune115_medium_materialization_v1\gotham_kitsune115_medium_train_state_then_eval_online_split_manifest.csv
train_state_then_eval_online,feature_schema_path,True,af5849754ac49a6245461f93c078bb50931f0c102cb0d4880840f98a9b9be5b1,af5849754ac49a6245461f93c078bb50931f0c102cb0d4880840f98a9b9be5b1,D:\study\paper\anomaly_detection\paper04\datasets\gotham2025\derived\kitsune115_medium_materialization_v1\gotham_kitsune115_medium_train_state_then_eval_online_feature_schema.json
train_state_then_eval_online,state_transition_log_path,True,c31ddc9d54b4b869996f91538eee7570841a5afe2afe31d069358b08cd1fc85e,c31ddc9d54b4b869996f91538eee7570841a5afe2afe31d069358b08cd1fc85e,D:\study\paper\anomaly_detection\paper04\datasets\gotham2025\derived\kitsune115_medium_materialization_v1\gotham_kitsune115_medium_train_state_then_eval_online_state_transition_log.csv
