region_id,exact_attack_label,rank,feature_index,feature_name,mean_squared_distance_fraction,median_sample_top1_fraction,median_sample_top5_fraction
attack_region_baa4038e686a,File Download,1,35,HH_5_covariance_0_1,0.9333148457578849,0.9999866866312749,0.9999999983968083
attack_region_baa4038e686a,File Download,2,92,HpHp_3_covariance_0_1,1.8273219665224615e-05,0.9999866866312749,0.9999999983968083
attack_region_baa4038e686a,File Download,3,42,HH_3_covariance_0_1,2.1181821186860798e-07,0.9999866866312749,0.9999999983968083
attack_region_baa4038e686a,File Download,4,82,HpHp_5_std_0,2.912098637029098e-10,0.9999866866312749,0.9999999983968083
attack_region_baa4038e686a,File Download,5,89,HpHp_3_std_0,2.837748281831166e-10,0.9999866866312749,0.9999999983968083
attack_region_baa4038e686a,File Download,6,96,HpHp_1_std_0,2.755723553260966e-10,0.9999866866312749,0.9999999983968083
attack_region_baa4038e686a,File Download,7,83,HpHp_5_radius_0_1,2.1017630821293953e-10,0.9999866866312749,0.9999999983968083
attack_region_baa4038e686a,File Download,8,90,HpHp_3_radius_0_1,2.0630105203595008e-10,0.9999866866312749,0.9999999983968083
attack_region_baa4038e686a,File Download,9,49,HH_1_covariance_0_1,1.8418226730969e-10,0.9999866866312749,0.9999999983968083
attack_region_baa4038e686a,File Download,10,32,HH_5_std_0,1.536378356656249e-10,0.9999866866312749,0.9999999983968083
attack_region_98413eff6d95,Ingress Tool Transfer,1,35,HH_5_covariance_0_1,0.6216170993063175,0.9967009776393542,0.9999955943455645
attack_region_98413eff6d95,Ingress Tool Transfer,2,86,HpHp_5_pcc_0_1,0.2789830844073515,0.9967009776393542,0.9999955943455645
attack_region_98413eff6d95,Ingress Tool Transfer,3,93,HpHp_3_pcc_0_1,0.029069453694871388,0.9967009776393542,0.9999955943455645
attack_region_98413eff6d95,Ingress Tool Transfer,4,67,HH_jit_5_std,0.008138648517591615,0.9967009776393542,0.9999955943455645
attack_region_98413eff6d95,Ingress Tool Transfer,5,70,HH_jit_3_std,0.003209635581243935,0.9967009776393542,0.9999955943455645
attack_region_98413eff6d95,Ingress Tool Transfer,6,36,HH_5_pcc_0_1,0.0022863105890458895,0.9967009776393542,0.9999955943455645
attack_region_98413eff6d95,Ingress Tool Transfer,7,92,HpHp_3_covariance_0_1,0.000988477268351643,0.9967009776393542,0.9999955943455645
attack_region_98413eff6d95,Ingress Tool Transfer,8,73,HH_jit_1_std,7.537938440028169e-05,0.9967009776393542,0.9999955943455645
attack_region_98413eff6d95,Ingress Tool Transfer,9,100,HpHp_1_pcc_0_1,2.3135746691857303e-05,0.9967009776393542,0.9999955943455645
attack_region_98413eff6d95,Ingress Tool Transfer,10,96,HpHp_1_std_0,1.323889597237985e-05,0.9967009776393542,0.9999955943455645
attack_region_4f662ce1d1da,Merlin C&C Communication,1,35,HH_5_covariance_0_1,0.7356658445362624,0.9974940155708696,0.9999999773039686
attack_region_4f662ce1d1da,Merlin C&C Communication,2,36,HH_5_pcc_0_1,0.16661469978988622,0.9974940155708696,0.9999999773039686
attack_region_4f662ce1d1da,Merlin C&C Communication,3,92,HpHp_3_covariance_0_1,0.055131817399280844,0.9974940155708696,0.9999999773039686
attack_region_4f662ce1d1da,Merlin C&C Communication,4,43,HH_3_pcc_0_1,0.00908781680278375,0.9974940155708696,0.9999999773039686
attack_region_4f662ce1d1da,Merlin C&C Communication,5,67,HH_jit_5_std,0.0001262013095322715,0.9974940155708696,0.9999999773039686
attack_region_4f662ce1d1da,Merlin C&C Communication,6,70,HH_jit_3_std,3.8915803388303775e-05,0.9974940155708696,0.9999999773039686
attack_region_4f662ce1d1da,Merlin C&C Communication,7,65,HH_jit_5_weight,4.129068600539231e-07,0.9974940155708696,0.9999999773039686
attack_region_4f662ce1d1da,Merlin C&C Communication,8,42,HH_3_covariance_0_1,2.622116848173437e-07,0.9974940155708696,0.9999999773039686
attack_region_4f662ce1d1da,Merlin C&C Communication,9,73,HH_jit_1_std,2.523791405439364e-07,0.9974940155708696,0.9999999773039686
attack_region_4f662ce1d1da,Merlin C&C Communication,10,68,HH_jit_3_weight,1.6630620154305524e-07,0.9974940155708696,0.9999999773039686
attack_region_4e337f656139,Merlin ICMP Flooding,1,20,H_3_std,0.12623167439800453,0.1769594130690934,0.769188623709909
attack_region_4e337f656139,Merlin ICMP Flooding,2,39,HH_3_std_0,0.12616148050763543,0.1769594130690934,0.769188623709909
attack_region_4e337f656139,Merlin ICMP Flooding,3,5,MI_dir_3_std,0.12616148050762552,0.1769594130690934,0.769188623709909
attack_region_4e337f656139,Merlin ICMP Flooding,4,32,HH_5_std_0,0.10895206161194297,0.1769594130690934,0.769188623709909
attack_region_4e337f656139,Merlin ICMP Flooding,5,2,MI_dir_5_std,0.10895206161194297,0.1769594130690934,0.769188623709909
attack_region_4e337f656139,Merlin ICMP Flooding,6,17,H_5_std,0.10873701861044832,0.1769594130690934,0.769188623709909
attack_region_4e337f656139,Merlin ICMP Flooding,7,65,HH_jit_5_weight,0.10401094458487374,0.1769594130690934,0.769188623709909
attack_region_4e337f656139,Merlin ICMP Flooding,8,68,HH_jit_3_weight,0.08884583615024763,0.1769594130690934,0.769188623709909
attack_region_4e337f656139,Merlin ICMP Flooding,9,71,HH_jit_1_weight,0.019602124959925915,0.1769594130690934,0.769188623709909
attack_region_4e337f656139,Merlin ICMP Flooding,10,8,MI_dir_1_std,0.01613464394689886,0.1769594130690934,0.769188623709909
attack_region_1e35a23f930c,Merlin TCP Flooding,1,67,HH_jit_5_std,0.7510753069641776,0.7636835481688315,0.9999999820901959
attack_region_1e35a23f930c,Merlin TCP Flooding,2,70,HH_jit_3_std,0.23061630111763234,0.7636835481688315,0.9999999820901959
attack_region_1e35a23f930c,Merlin TCP Flooding,3,73,HH_jit_1_std,0.001491634502875028,0.7636835481688315,0.9999999820901959
attack_region_1e35a23f930c,Merlin TCP Flooding,4,76,HH_jit_0.1_std,3.5066275794627844e-05,0.7636835481688315,0.9999999820901959
attack_region_1e35a23f930c,Merlin TCP Flooding,5,32,HH_5_std_0,2.1872796751221928e-05,0.7636835481688315,0.9999999820901959
attack_region_1e35a23f930c,Merlin TCP Flooding,6,2,MI_dir_5_std,2.1872796751211292e-05,0.7636835481688315,0.9999999820901959
attack_region_1e35a23f930c,Merlin TCP Flooding,7,17,H_5_std,2.1453116099988658e-05,0.7636835481688315,0.9999999820901959
attack_region_1e35a23f930c,Merlin TCP Flooding,8,39,HH_3_std_0,1.615453566940223e-05,0.7636835481688315,0.9999999820901959
