region_id,exact_attack_label,metric,prototype_type,sample_id,global_candidate_id,chunk_id,row_index_within_chunk,device_or_source_group,source_file,pcap_path,phase,provenance_hash
attack_region_baa4038e686a,File Download,primary_euclidean,medoid,support_000001,cand_00032649,7,6,combined-cycle,processed/iotsim-combined-cycle-10.csv,raw/malicious/mirai-infection/iotsim-combined-cycle-10_0-0_to_OpenvSwitch-13_10-0.pcap,tail_gt_10000,6108bab05ea4615e02f5bba4ee8d358ef7cf87dafad13cd30ecd8f97864a0cfe
attack_region_baa4038e686a,File Download,challenger_shrinkage_mahalanobis,medoid,support_000001,cand_00032649,7,6,combined-cycle,processed/iotsim-combined-cycle-10.csv,raw/malicious/mirai-infection/iotsim-combined-cycle-10_0-0_to_OpenvSwitch-13_10-0.pcap,tail_gt_10000,6108bab05ea4615e02f5bba4ee8d358ef7cf87dafad13cd30ecd8f97864a0cfe
attack_region_98413eff6d95,Ingress Tool Transfer,primary_euclidean,medoid,support_000040,cand_00033389,8,141,combined-cycle,processed/iotsim-combined-cycle-10.csv,raw/malicious/mirai-infection/iotsim-combined-cycle-10_0-0_to_OpenvSwitch-13_10-0.pcap,tail_gt_10000,4eb48229cd76feae1630f1e1d13dda7fc81cb76952584c702574f271b738688a
attack_region_98413eff6d95,Ingress Tool Transfer,challenger_shrinkage_mahalanobis,medoid,support_000040,cand_00033389,8,141,combined-cycle,processed/iotsim-combined-cycle-10.csv,raw/malicious/mirai-infection/iotsim-combined-cycle-10_0-0_to_OpenvSwitch-13_10-0.pcap,tail_gt_10000,4eb48229cd76feae1630f1e1d13dda7fc81cb76952584c702574f271b738688a
attack_region_4f662ce1d1da,Merlin C&C Communication,primary_euclidean,medoid,support_000053,cand_00034734,9,685,ip-camera-museum,processed/iotsim-ip-camera-museum-1.csv,raw/malicious/merlin/iotsim-ip-camera-museum-1_0-0_to_OpenvSwitch-29_1-0.pcap,tail_gt_10000,d3409cb9924380643cefe19d83e47905c77c59e3ee6f6ee0e3ba28102eb7bda4
attack_region_4f662ce1d1da,Merlin C&C Communication,challenger_shrinkage_mahalanobis,medoid,support_000053,cand_00034734,9,685,ip-camera-museum,processed/iotsim-ip-camera-museum-1.csv,raw/malicious/merlin/iotsim-ip-camera-museum-1_0-0_to_OpenvSwitch-29_1-0.pcap,tail_gt_10000,d3409cb9924380643cefe19d83e47905c77c59e3ee6f6ee0e3ba28102eb7bda4
attack_region_4e337f656139,Merlin ICMP Flooding,primary_euclidean,medoid,support_000119,cand_00037592,10,1102,ip-camera-museum,processed/iotsim-ip-camera-museum-1.csv,raw/malicious/merlin/iotsim-ip-camera-museum-1_0-0_to_OpenvSwitch-29_1-0.pcap,tail_gt_10000,7cab6b5e59b3af6fe900777875b40307c98899d3dd94375f865d69a2cefb6ec6
attack_region_4e337f656139,Merlin ICMP Flooding,challenger_shrinkage_mahalanobis,medoid,support_000119,cand_00037592,10,1102,ip-camera-museum,processed/iotsim-ip-camera-museum-1.csv,raw/malicious/merlin/iotsim-ip-camera-museum-1_0-0_to_OpenvSwitch-29_1-0.pcap,tail_gt_10000,7cab6b5e59b3af6fe900777875b40307c98899d3dd94375f865d69a2cefb6ec6
attack_region_1e35a23f930c,Merlin TCP Flooding,primary_euclidean,medoid,support_000164,cand_00039040,11,48,ip-camera-museum,processed/iotsim-ip-camera-museum-1.csv,raw/malicious/merlin/iotsim-ip-camera-museum-1_0-0_to_OpenvSwitch-29_1-0.pcap,tail_gt_10000,2abec8b72090e2da276b53c81ba6cca127ab285f4ef7e20e8332fdcb33bcdae4
attack_region_1e35a23f930c,Merlin TCP Flooding,challenger_shrinkage_mahalanobis,medoid,support_000214,cand_00039050,11,58,ip-camera-museum,processed/iotsim-ip-camera-museum-1.csv,raw/malicious/merlin/iotsim-ip-camera-museum-1_0-0_to_OpenvSwitch-29_1-0.pcap,tail_gt_10000,46d792f0809281457f20b1a470a041118fdb864a883d76d3bf8e4b8b9df216b8
