region_id,exact_attack_label,metric,shell_scheme,core_radius,near_radius,uncertain_radius,is_preregistered_primary
attack_region_baa4038e686a,File Download,primary_euclidean,tight,969876789.897741,1285259572.2482166,1608074413.817662,False
attack_region_baa4038e686a,File Download,challenger_shrinkage_mahalanobis,tight,130.14440924267842,172.46447499706892,215.78187054875744,False
attack_region_baa4038e686a,File Download,primary_euclidean,medium,1292529179.3876052,1608074413.817662,1670157149.382931,True
attack_region_baa4038e686a,File Download,challenger_shrinkage_mahalanobis,medium,173.43996009992622,215.78187054875744,224.11253743095344,False
attack_region_baa4038e686a,File Download,primary_euclidean,wide,1635181949.7486184,1670157149.382931,1679775977.836318,False
attack_region_baa4038e686a,File Download,challenger_shrinkage_mahalanobis,wide,219.41933750279355,224.11253743095344,225.40325365699874,False
attack_region_98413eff6d95,Ingress Tool Transfer,primary_euclidean,tight,7404899.0539884055,26575344.63932184,59101121.88434088,False
attack_region_98413eff6d95,Ingress Tool Transfer,challenger_shrinkage_mahalanobis,tight,0.9936374907383776,3.5660530075665635,7.930568791701475,False
attack_region_98413eff6d95,Ingress Tool Transfer,primary_euclidean,medium,26118368.557115596,59101121.88434088,188712444.22902703,True
attack_region_98413eff6d95,Ingress Tool Transfer,challenger_shrinkage_mahalanobis,medium,3.50473414055228,7.930568791701475,25.32265801071394,False
attack_region_98413eff6d95,Ingress Tool Transfer,primary_euclidean,wide,59002546.10947366,188712444.22902703,189346013.31697133,False
attack_region_98413eff6d95,Ingress Tool Transfer,challenger_shrinkage_mahalanobis,wide,7.917341334551154,25.32265801071394,25.40767430795808,False
attack_region_4f662ce1d1da,Merlin C&C Communication,primary_euclidean,tight,142085967.49082857,806824797.6891934,4040504922.9910045,False
attack_region_4f662ce1d1da,Merlin C&C Communication,challenger_shrinkage_mahalanobis,tight,19.065730476690987,108.26565679082708,542.6443029404971,False
attack_region_4f662ce1d1da,Merlin C&C Communication,primary_euclidean,medium,855018411.3928715,4040504922.9910045,12443279259.776318,True
attack_region_4f662ce1d1da,Merlin C&C Communication,challenger_shrinkage_mahalanobis,medium,114.7321137507817,542.6443029404971,1671.1456166401329,False
attack_region_4f662ce1d1da,Merlin C&C Communication,primary_euclidean,wide,8364847306.179932,12443279259.776318,17193587943.24438,False
attack_region_4f662ce1d1da,Merlin C&C Communication,challenger_shrinkage_mahalanobis,wide,1123.4079635369876,1671.1456166401329,2309.117502193198,False
attack_region_4e337f656139,Merlin ICMP Flooding,primary_euclidean,tight,29405.233570516,29863.070695217117,31488.689401322146,False
attack_region_4e337f656139,Merlin ICMP Flooding,challenger_shrinkage_mahalanobis,tight,0.003949155797430859,0.00401063882737141,0.00422893015268942,False
attack_region_4e337f656139,Merlin ICMP Flooding,primary_euclidean,medium,29892.587476653476,31488.689401322146,35439.18103736506,True
attack_region_4e337f656139,Merlin ICMP Flooding,challenger_shrinkage_mahalanobis,medium,0.004014602264309617,0.00422893015268942,0.004759415160427996,False
attack_region_4e337f656139,Merlin ICMP Flooding,primary_euclidean,wide,30473.625868797335,35439.18103736506,35480.536327983114,False
attack_region_4e337f656139,Merlin ICMP Flooding,challenger_shrinkage_mahalanobis,wide,0.00409262726083802,0.004759415160427996,0.004764969346502908,False
attack_region_1e35a23f930c,Merlin TCP Flooding,primary_euclidean,tight,161709230.93770242,434224282.9940934,742830343.4136357,False
attack_region_1e35a23f930c,Merlin TCP Flooding,challenger_shrinkage_mahalanobis,tight,0.1994584442977977,0.36803963777582693,0.630434298693425,False
attack_region_1e35a23f930c,Merlin TCP Flooding,primary_euclidean,medium,435145108.3078568,742830343.4136357,1019871124.5545235,True
attack_region_1e35a23f930c,Merlin TCP Flooding,challenger_shrinkage_mahalanobis,medium,0.36861877109076735,0.630434298693425,0.8703192118539934,False
attack_region_1e35a23f930c,Merlin TCP Flooding,primary_euclidean,wide,886212393.230253,1019871124.5545235,1026503530.1576906,False
attack_region_1e35a23f930c,Merlin TCP Flooding,challenger_shrinkage_mahalanobis,wide,0.7522385797412181,0.8703192118539934,0.8757602245178432,False
