archive_path,file_size,inferred_device,inferred_protocol,inferred_attack_type,inferred_role,expected_label_mix,selection_reason,extraction_mode
processed/iotsim-combined-cycle-2.csv,46311,combined-cycle-2,"iot_protocol_from_packets; observed_top={""coap"": 254}",none_observed,all_benign_or_mostly_benign,"{""Benign"": 254}",coverage of benign device/protocol or mixed attack labels from issue27w/file listing,full_scan_if_small_streaming_manifest
processed/iotsim-combined-cycle-3.csv,46311,combined-cycle-3,"iot_protocol_from_packets; observed_top={""coap"": 254}",none_observed,all_benign_or_mostly_benign,"{""Benign"": 254}",coverage of benign device/protocol or mixed attack labels from issue27w/file listing,full_scan_if_small_streaming_manifest
processed/iotsim-combined-cycle-tls-1.csv,339851,combined-cycle-tls-1,"tls; observed_top={""coap"": 24, ""dtls"": 1800, ""icmp"": 120}",none_observed,all_benign_or_mostly_benign,"{""Benign"": 1944}",coverage of benign device/protocol or mixed attack labels from issue27w/file listing,full_scan_if_small_streaming_manifest
processed/iotsim-combined-cycle-tls-3.csv,339851,combined-cycle-tls-3,"tls; observed_top={""coap"": 24, ""dtls"": 1800, ""icmp"": 120}",none_observed,all_benign_or_mostly_benign,"{""Benign"": 1944}",coverage of benign device/protocol or mixed attack labels from issue27w/file listing,full_scan_if_small_streaming_manifest
processed/iotsim-hydraulic-system-8.csv,529710,hydraulic-system-8,"iot_protocol_from_packets; observed_top={""dns"": 326, ""icmp"": 24, ""mqtt"": 631, ""ntp"": 254, ""unknown"": 1287}",none_observed,all_benign_or_mostly_benign,"{""Benign"": 2522}",coverage of benign device/protocol or mixed attack labels from issue27w/file listing,full_scan_if_small_streaming_manifest
processed/iotsim-hydraulic-system-11.csv,515108,hydraulic-system-11,"iot_protocol_from_packets; observed_top={""dns"": 326, ""icmp"": 24, ""ntp"": 254, ""tls"": 758, ""unknown"": 1104}",none_observed,all_benign_or_mostly_benign,"{""Benign"": 2466}",coverage of benign device/protocol or mixed attack labels from issue27w/file listing,full_scan_if_small_streaming_manifest
processed/iotsim-building-monitor-2.csv,310279,building-monitor-2,"iot_protocol_from_packets; observed_top={""dns"": 1072, ""icmp"": 256, ""mqtt"": 60, ""ntp"": 256, ""unknown"": 96}",none_observed,all_benign_or_mostly_benign,"{""Benign"": 1740}",coverage of benign device/protocol or mixed attack labels from issue27w/file listing,full_scan_if_small_streaming_manifest
processed/iotsim-domotic-monitor-2.csv,293596,domotic-monitor-2,"iot_protocol_from_packets; observed_top={""dns"": 1048, ""icmp"": 254, ""mqtt"": 32, ""ntp"": 254, ""unknown"": 72}",none_observed,all_benign_or_mostly_benign,"{""Benign"": 1660}",coverage of benign device/protocol or mixed attack labels from issue27w/file listing,full_scan_if_small_streaming_manifest
processed/iotsim-cooler-motor-8.csv,4958705,cooler-motor-8,"iot_protocol_from_packets; observed_top={""dns"": 326, ""icmp"": 24, ""mqtt"": 10967, ""ntp"": 254, ""unknown"": 10895}",none_observed,all_benign_or_mostly_benign,"{""Benign"": 22466}",coverage of benign device/protocol or mixed attack labels from issue27w/file listing,full_scan_if_small_streaming_manifest
processed/iotsim-air-quality-1.csv,12198548,air-quality-1,"iot_protocol_from_packets; observed_top={""dns"": 4469, ""icmp"": 1064, ""mqtt"": 212, ""ntp"": 1064, ""telnet"": 24680, ""unknown"": 23563}",Ingress Tool Transfer|TCP Scan|Telnet Brute Force|Unknown,mixed_label_attack_candidate,"{""Benign"": 7233, ""Ingress Tool Transfer"": 109, ""TCP Scan"": 24689, ""Telnet Brute Force"": 22164, ""Unknown"": 857}",coverage of benign device/protocol or mixed attack labels from issue27w/file listing,stratified_chunks_streaming_manifest
processed/iotsim-combined-cycle-1.csv,1230589804,combined-cycle-1,"iot_protocol_from_packets; observed_top={""coap"": 986, ""data"": 38, ""dns"": 46, ""http"": 4, ""icmp"": 3233, ""telnet"": 63475, ""unknown"": 182218}",C&C Communication|File Download|Ingress Tool Transfer|Reporting|TCP Scan|Telnet Brute Force,mixed_label_attack_candidate,"{""Benign"": 1032, ""C&C Communication"": 157, ""File Download"": 2377, ""Ingress Tool Transfer"": 6922, ""Reporting"": 152, ""TCP Scan"": 203044, ""Telnet Brute Force"": 36316}",coverage of benign device/protocol or mixed attack labels from issue27w/file listing,stratified_chunks_streaming_manifest
processed/iotsim-combined-cycle-10.csv,29397370,combined-cycle-10,"iot_protocol_from_packets; observed_top={""coap"": 952, ""data"": 16, ""dns"": 22, ""http"": 2, ""icmp"": 1637, ""telnet"": 38181, ""unknown"": 97699}",C&C Communication|File Download|Ingress Tool Transfer|Reporting|TCP Scan|Telnet Brute Force|Unknown,mixed_label_attack_candidate,"{""Benign"": 974, ""C&C Communication"": 90, ""File Download"": 1210, ""Ingress Tool Transfer"": 3206, ""Reporting"": 64, ""TCP Scan"": 106000, ""Telnet Brute Force"": 26122, ""Unknown"": 843}",coverage of benign device/protocol or mixed attack labels from issue27w/file listing,stratified_chunks_streaming_manifest
processed/iotsim-city-power-1.csv,314386978,city-power-1,"iot_protocol_from_packets; observed_top={""bfd"": 13, ""coap"": 1484, ""data"": 199357, ""goose"": 47, ""icmp"": 26, ""llc"": 14, ""quake3"": 16, ""rtcp"": 1007, ""telnet"": 25044, ""unknown"": 22672}",Ingress Tool Transfer|Mirai UDP Flooding|TCP Scan|Telnet Brute Force,mixed_label_attack_candidate,"{""Benign"": 1484, ""Ingress Tool Transfer"": 105, ""Mirai UDP Flooding"": 200809, ""TCP Scan"": 21998, ""Telnet Brute Force"": 25604}",coverage of benign device/protocol or mixed attack labels from issue27w/file listing,stratified_chunks_streaming_manifest
processed/iotsim-domotic-monitor-1.csv,436779632,domotic-monitor-1,"iot_protocol_from_packets; observed_top={""data"": 100167, ""dns"": 2638, ""goose"": 22, ""http"": 2, ""icmp"": 2335, ""mqtt"": 80, ""ntp"": 634, ""rtcp"": 520, ""telnet"": 41433, ""unknown"": 102169}",C&C Communication|File Download|Ingress Tool Transfer|Mirai UDP Flooding|Reporting|TCP Scan|Telnet Brute Force,mixed_label_attack_candidate,"{""Benign"": 4168, ""C&C Communication"": 82, ""File Download"": 1187, ""Ingress Tool Transfer"": 3678, ""Mirai UDP Flooding"": 100701, ""Reporting"": 72, ""TCP Scan"": 114292, ""Telnet Brute Force"": 25820}",coverage of benign device/protocol or mixed attack labels from issue27w/file listing,stratified_chunks_streaming_manifest
processed/iotsim-building-monitor-1.csv,1143874019,building-monitor-1,"iot_protocol_from_packets; observed_top={""data"": 97880, ""dns"": 2694, ""goose"": 17, ""http"": 2, ""icmp"": 2355, ""mqtt"": 160, ""ntp"": 636, ""rtcp"": 510, ""telnet"": 41696, ""unknown"": 104048}",C&C Communication|File Download|Ingress Tool Transfer|Mirai C&C Communication|Mirai UDP Flooding|Reporting|TCP Scan|Telnet Brute Force,mixed_label_attack_candidate,"{""Benign"": 4380, ""C&C Communication"": 84, ""File Download"": 1191, ""Ingress Tool Transfer"": 3754, ""Mirai C&C Communication"": 145, ""Mirai UDP Flooding"": 98387, ""Reporting"": 88, ""TCP Scan"": 118226, ""Telnet Brute Force"": 23745}",coverage of benign device/protocol or mixed attack labels from issue27w/file listing,stratified_chunks_streaming_manifest
processed/iotsim-ip-camera-street-1.csv,1026726456,ip-camera-street-1,"rtsp_possible; observed_top={""data"": 248960, ""rtcp"": 724, ""unknown"": 316}",none_observed,all_benign_or_mostly_benign,"{""Benign"": 250000}",coverage of benign device/protocol or mixed attack labels from issue27w/file listing,stratified_chunks_streaming_manifest
processed/iotsim-ip-camera-museum-1.csv,2039489365,ip-camera-museum-1,"rtsp_possible; observed_top={""data"": 249339, ""rtcp"": 461, ""unknown"": 200}",none_observed,all_benign_or_mostly_benign,"{""Benign"": 250000}",coverage of benign device/protocol or mixed attack labels from issue27w/file listing,stratified_chunks_streaming_manifest
