seed,bank_name,field,value,count,fraction
42,base_kcenter128_only,source,medium_base_train_retained,96,0.75
42,base_kcenter128_only,source,medium_support_val_heldout,32,0.25
42,base_kcenter128_only,attack_type,mirai-infection,128,1.0
42,base_kcenter128_only,file_id,processed/iotsim-air-quality-1.csv,28,0.21875
42,base_kcenter128_only,file_id,processed/iotsim-city-power-1.csv,66,0.515625
42,base_kcenter128_only,file_id,processed/iotsim-combined-cycle-10.csv,34,0.265625
42,base_kcenter128_only,phase,phase_unknown,128,1.0
42,base128_retained_plus_active64_bank192,source,active_heavy_confirmed_attack,64,0.3333333333333333
42,base128_retained_plus_active64_bank192,source,medium_base_train_retained,96,0.5
42,base128_retained_plus_active64_bank192,source,medium_support_val_heldout,32,0.16666666666666666
42,base128_retained_plus_active64_bank192,attack_type,mirai-infection,192,1.0
42,base128_retained_plus_active64_bank192,file_id,processed/iotsim-air-quality-1.csv,28,0.14583333333333334
42,base128_retained_plus_active64_bank192,file_id,processed/iotsim-city-power-1.csv,66,0.34375
42,base128_retained_plus_active64_bank192,file_id,processed/iotsim-combined-cycle-10.csv,34,0.17708333333333334
42,base128_retained_plus_active64_bank192,file_id,processed/iotsim-ip-camera-museum-1.csv,30,0.15625
42,base128_retained_plus_active64_bank192,file_id,processed/iotsim-ip-camera-street-1.csv,34,0.17708333333333334
42,base128_retained_plus_active64_bank192,phase,phase_unknown,192,1.0
42,base128_retained_plus_active128_bank256,source,active_heavy_confirmed_attack,128,0.5
42,base128_retained_plus_active128_bank256,source,medium_base_train_retained,96,0.375
42,base128_retained_plus_active128_bank256,source,medium_support_val_heldout,32,0.125
42,base128_retained_plus_active128_bank256,attack_type,mirai-infection,256,1.0
42,base128_retained_plus_active128_bank256,file_id,processed/iotsim-air-quality-1.csv,28,0.109375
42,base128_retained_plus_active128_bank256,file_id,processed/iotsim-city-power-1.csv,66,0.2578125
42,base128_retained_plus_active128_bank256,file_id,processed/iotsim-combined-cycle-10.csv,34,0.1328125
42,base128_retained_plus_active128_bank256,file_id,processed/iotsim-ip-camera-museum-1.csv,63,0.24609375
42,base128_retained_plus_active128_bank256,file_id,processed/iotsim-ip-camera-street-1.csv,65,0.25390625
42,base128_retained_plus_active128_bank256,phase,phase_unknown,256,1.0
43,base_kcenter128_only,source,medium_base_train_retained,96,0.75
43,base_kcenter128_only,source,medium_support_val_heldout,32,0.25
43,base_kcenter128_only,attack_type,mirai-infection,128,1.0
43,base_kcenter128_only,file_id,processed/iotsim-air-quality-1.csv,28,0.21875
43,base_kcenter128_only,file_id,processed/iotsim-city-power-1.csv,66,0.515625
43,base_kcenter128_only,file_id,processed/iotsim-combined-cycle-10.csv,34,0.265625
43,base_kcenter128_only,phase,phase_unknown,128,1.0
43,base128_retained_plus_active64_bank192,source,active_heavy_confirmed_attack,64,0.3333333333333333
43,base128_retained_plus_active64_bank192,source,medium_base_train_retained,96,0.5
43,base128_retained_plus_active64_bank192,source,medium_support_val_heldout,32,0.16666666666666666
43,base128_retained_plus_active64_bank192,attack_type,mirai-infection,192,1.0
43,base128_retained_plus_active64_bank192,file_id,processed/iotsim-air-quality-1.csv,28,0.14583333333333334
43,base128_retained_plus_active64_bank192,file_id,processed/iotsim-city-power-1.csv,66,0.34375
43,base128_retained_plus_active64_bank192,file_id,processed/iotsim-combined-cycle-10.csv,34,0.17708333333333334
43,base128_retained_plus_active64_bank192,file_id,processed/iotsim-ip-camera-museum-1.csv,31,0.16145833333333334
43,base128_retained_plus_active64_bank192,file_id,processed/iotsim-ip-camera-street-1.csv,33,0.171875
43,base128_retained_plus_active64_bank192,phase,phase_unknown,192,1.0
43,base128_retained_plus_active128_bank256,source,active_heavy_confirmed_attack,128,0.5
43,base128_retained_plus_active128_bank256,source,medium_base_train_retained,96,0.375
43,base128_retained_plus_active128_bank256,source,medium_support_val_heldout,32,0.125
43,base128_retained_plus_active128_bank256,attack_type,mirai-infection,256,1.0
43,base128_retained_plus_active128_bank256,file_id,processed/iotsim-air-quality-1.csv,28,0.109375
43,base128_retained_plus_active128_bank256,file_id,processed/iotsim-city-power-1.csv,66,0.2578125
43,base128_retained_plus_active128_bank256,file_id,processed/iotsim-combined-cycle-10.csv,34,0.1328125
43,base128_retained_plus_active128_bank256,file_id,processed/iotsim-ip-camera-museum-1.csv,62,0.2421875
43,base128_retained_plus_active128_bank256,file_id,processed/iotsim-ip-camera-street-1.csv,66,0.2578125
43,base128_retained_plus_active128_bank256,phase,phase_unknown,256,1.0
44,base_kcenter128_only,source,medium_base_train_retained,96,0.75
44,base_kcenter128_only,source,medium_support_val_heldout,32,0.25
44,base_kcenter128_only,attack_type,mirai-infection,128,1.0
44,base_kcenter128_only,file_id,processed/iotsim-air-quality-1.csv,28,0.21875
44,base_kcenter128_only,file_id,processed/iotsim-city-power-1.csv,66,0.515625
44,base_kcenter128_only,file_id,processed/iotsim-combined-cycle-10.csv,34,0.265625
44,base_kcenter128_only,phase,phase_unknown,128,1.0
44,base128_retained_plus_active64_bank192,source,active_heavy_confirmed_attack,64,0.3333333333333333
44,base128_retained_plus_active64_bank192,source,medium_base_train_retained,96,0.5
44,base128_retained_plus_active64_bank192,source,medium_support_val_heldout,32,0.16666666666666666
44,base128_retained_plus_active64_bank192,attack_type,mirai-infection,192,1.0
44,base128_retained_plus_active64_bank192,file_id,processed/iotsim-air-quality-1.csv,28,0.14583333333333334
44,base128_retained_plus_active64_bank192,file_id,processed/iotsim-city-power-1.csv,66,0.34375
44,base128_retained_plus_active64_bank192,file_id,processed/iotsim-combined-cycle-10.csv,34,0.17708333333333334
44,base128_retained_plus_active64_bank192,file_id,processed/iotsim-ip-camera-museum-1.csv,31,0.16145833333333334
44,base128_retained_plus_active64_bank192,file_id,processed/iotsim-ip-camera-street-1.csv,33,0.171875
44,base128_retained_plus_active64_bank192,phase,phase_unknown,192,1.0
44,base128_retained_plus_active128_bank256,source,active_heavy_confirmed_attack,128,0.5
44,base128_retained_plus_active128_bank256,source,medium_base_train_retained,96,0.375
44,base128_retained_plus_active128_bank256,source,medium_support_val_heldout,32,0.125
44,base128_retained_plus_active128_bank256,attack_type,mirai-infection,256,1.0
44,base128_retained_plus_active128_bank256,file_id,processed/iotsim-air-quality-1.csv,28,0.109375
44,base128_retained_plus_active128_bank256,file_id,processed/iotsim-city-power-1.csv,66,0.2578125
44,base128_retained_plus_active128_bank256,file_id,processed/iotsim-combined-cycle-10.csv,34,0.1328125
44,base128_retained_plus_active128_bank256,file_id,processed/iotsim-ip-camera-museum-1.csv,64,0.25
44,base128_retained_plus_active128_bank256,file_id,processed/iotsim-ip-camera-street-1.csv,64,0.25
44,base128_retained_plus_active128_bank256,phase,phase_unknown,256,1.0
45,base_kcenter128_only,source,medium_base_train_retained,96,0.75
45,base_kcenter128_only,source,medium_support_val_heldout,32,0.25
45,base_kcenter128_only,attack_type,mirai-infection,128,1.0
45,base_kcenter128_only,file_id,processed/iotsim-air-quality-1.csv,28,0.21875
45,base_kcenter128_only,file_id,processed/iotsim-city-power-1.csv,66,0.515625
45,base_kcenter128_only,file_id,processed/iotsim-combined-cycle-10.csv,34,0.265625
45,base_kcenter128_only,phase,phase_unknown,128,1.0
45,base128_retained_plus_active64_bank192,source,active_heavy_confirmed_attack,64,0.3333333333333333
45,base128_retained_plus_active64_bank192,source,medium_base_train_retained,96,0.5
45,base128_retained_plus_active64_bank192,source,medium_support_val_heldout,32,0.16666666666666666
45,base128_retained_plus_active64_bank192,attack_type,mirai-infection,192,1.0
45,base128_retained_plus_active64_bank192,file_id,processed/iotsim-air-quality-1.csv,28,0.14583333333333334
45,base128_retained_plus_active64_bank192,file_id,processed/iotsim-city-power-1.csv,66,0.34375
45,base128_retained_plus_active64_bank192,file_id,processed/iotsim-combined-cycle-10.csv,34,0.17708333333333334
45,base128_retained_plus_active64_bank192,file_id,processed/iotsim-ip-camera-museum-1.csv,29,0.15104166666666666
45,base128_retained_plus_active64_bank192,file_id,processed/iotsim-ip-camera-street-1.csv,35,0.18229166666666666
45,base128_retained_plus_active64_bank192,phase,phase_unknown,192,1.0
45,base128_retained_plus_active128_bank256,source,active_heavy_confirmed_attack,128,0.5
45,base128_retained_plus_active128_bank256,source,medium_base_train_retained,96,0.375
45,base128_retained_plus_active128_bank256,source,medium_support_val_heldout,32,0.125
45,base128_retained_plus_active128_bank256,attack_type,mirai-infection,256,1.0
