seed,bank_name,source,rank,medium_row_index,new_row_index
42,base_kcenter128_only,medium_base_train_retained,0,9718,
42,base_kcenter128_only,medium_base_train_retained,1,9720,
42,base_kcenter128_only,medium_base_train_retained,2,9721,
42,base_kcenter128_only,medium_base_train_retained,3,9722,
42,base_kcenter128_only,medium_base_train_retained,4,9723,
42,base_kcenter128_only,medium_base_train_retained,5,9724,
42,base_kcenter128_only,medium_base_train_retained,6,9725,
42,base_kcenter128_only,medium_base_train_retained,7,9916,
42,base_kcenter128_only,medium_base_train_retained,8,10151,
42,base_kcenter128_only,medium_base_train_retained,9,10198,
42,base_kcenter128_only,medium_base_train_retained,10,10216,
42,base_kcenter128_only,medium_base_train_retained,11,10217,
42,base_kcenter128_only,medium_base_train_retained,12,10219,
42,base_kcenter128_only,medium_base_train_retained,13,10220,
42,base_kcenter128_only,medium_base_train_retained,14,10224,
42,base_kcenter128_only,medium_base_train_retained,15,10225,
42,base_kcenter128_only,medium_base_train_retained,16,10226,
42,base_kcenter128_only,medium_base_train_retained,17,10310,
42,base_kcenter128_only,medium_base_train_retained,18,10311,
42,base_kcenter128_only,medium_base_train_retained,19,10315,
42,base_kcenter128_only,medium_base_train_retained,20,10397,
42,base_kcenter128_only,medium_base_train_retained,21,10537,
42,base_kcenter128_only,medium_base_train_retained,22,10538,
42,base_kcenter128_only,medium_base_train_retained,23,10547,
42,base_kcenter128_only,medium_base_train_retained,24,10548,
42,base_kcenter128_only,medium_base_train_retained,25,10601,
42,base_kcenter128_only,medium_base_train_retained,26,10720,
42,base_kcenter128_only,medium_base_train_retained,27,10739,
42,base_kcenter128_only,medium_base_train_retained,28,10741,
42,base_kcenter128_only,medium_base_train_retained,29,10744,
42,base_kcenter128_only,medium_base_train_retained,30,10752,
42,base_kcenter128_only,medium_base_train_retained,31,10753,
42,base_kcenter128_only,medium_base_train_retained,32,10754,
42,base_kcenter128_only,medium_base_train_retained,33,10759,
42,base_kcenter128_only,medium_base_train_retained,34,10760,
42,base_kcenter128_only,medium_base_train_retained,35,10761,
42,base_kcenter128_only,medium_base_train_retained,36,10762,
42,base_kcenter128_only,medium_base_train_retained,37,10767,
42,base_kcenter128_only,medium_base_train_retained,38,10778,
42,base_kcenter128_only,medium_base_train_retained,39,10781,
42,base_kcenter128_only,medium_base_train_retained,40,10782,
42,base_kcenter128_only,medium_base_train_retained,41,10783,
42,base_kcenter128_only,medium_base_train_retained,42,10861,
42,base_kcenter128_only,medium_base_train_retained,43,10871,
42,base_kcenter128_only,medium_base_train_retained,44,10872,
42,base_kcenter128_only,medium_base_train_retained,45,10873,
42,base_kcenter128_only,medium_base_train_retained,46,10876,
42,base_kcenter128_only,medium_base_train_retained,47,10877,
42,base_kcenter128_only,medium_base_train_retained,48,10883,
42,base_kcenter128_only,medium_base_train_retained,49,10885,
42,base_kcenter128_only,medium_base_train_retained,50,10887,
42,base_kcenter128_only,medium_base_train_retained,51,10888,
42,base_kcenter128_only,medium_base_train_retained,52,10891,
42,base_kcenter128_only,medium_base_train_retained,53,10892,
42,base_kcenter128_only,medium_base_train_retained,54,10904,
42,base_kcenter128_only,medium_base_train_retained,55,10907,
42,base_kcenter128_only,medium_base_train_retained,56,10910,
42,base_kcenter128_only,medium_base_train_retained,57,11006,
42,base_kcenter128_only,medium_base_train_retained,58,11018,
42,base_kcenter128_only,medium_base_train_retained,59,11020,
42,base_kcenter128_only,medium_base_train_retained,60,11021,
42,base_kcenter128_only,medium_base_train_retained,61,11022,
42,base_kcenter128_only,medium_base_train_retained,62,11030,
42,base_kcenter128_only,medium_base_train_retained,63,11031,
42,base_kcenter128_only,medium_base_train_retained,64,11106,
42,base_kcenter128_only,medium_base_train_retained,65,11107,
42,base_kcenter128_only,medium_base_train_retained,66,11111,
42,base_kcenter128_only,medium_base_train_retained,67,11127,
42,base_kcenter128_only,medium_base_train_retained,68,11147,
42,base_kcenter128_only,medium_base_train_retained,69,11183,
42,base_kcenter128_only,medium_base_train_retained,70,11184,
42,base_kcenter128_only,medium_base_train_retained,71,11251,
42,base_kcenter128_only,medium_base_train_retained,72,11295,
42,base_kcenter128_only,medium_base_train_retained,73,11370,
42,base_kcenter128_only,medium_base_train_retained,74,11372,
42,base_kcenter128_only,medium_base_train_retained,75,11380,
42,base_kcenter128_only,medium_base_train_retained,76,11402,
42,base_kcenter128_only,medium_base_train_retained,77,11403,
42,base_kcenter128_only,medium_base_train_retained,78,11404,
42,base_kcenter128_only,medium_base_train_retained,79,11405,
42,base_kcenter128_only,medium_base_train_retained,80,11503,
42,base_kcenter128_only,medium_base_train_retained,81,11568,
42,base_kcenter128_only,medium_base_train_retained,82,11569,
42,base_kcenter128_only,medium_base_train_retained,83,11592,
42,base_kcenter128_only,medium_base_train_retained,84,11609,
42,base_kcenter128_only,medium_base_train_retained,85,11619,
42,base_kcenter128_only,medium_base_train_retained,86,11621,
42,base_kcenter128_only,medium_base_train_retained,87,11674,
42,base_kcenter128_only,medium_base_train_retained,88,11709,
42,base_kcenter128_only,medium_base_train_retained,89,11783,
42,base_kcenter128_only,medium_base_train_retained,90,11842,
42,base_kcenter128_only,medium_base_train_retained,91,11852,
42,base_kcenter128_only,medium_base_train_retained,92,11949,
42,base_kcenter128_only,medium_base_train_retained,93,11977,
42,base_kcenter128_only,medium_base_train_retained,94,11978,
42,base_kcenter128_only,medium_base_train_retained,95,11984,
42,base_kcenter128_only,medium_support_val_heldout,0,10199,
42,base_kcenter128_only,medium_support_val_heldout,1,10221,
42,base_kcenter128_only,medium_support_val_heldout,2,10223,
42,base_kcenter128_only,medium_support_val_heldout,3,10230,
42,base_kcenter128_only,medium_support_val_heldout,4,10232,
