device,total_terminal_sessions,finite_terminal_sessions,missing_terminal_sessions,finite_rate,finite_geometry_eligible
iotsim-building-monitor-5_0-0_to_OpenvSwitch-28_5-0,360,138,222,0.38333333333333336,True
iotsim-combined-cycle-3_0-0_to_OpenvSwitch-13_3-0,512,183,329,0.357421875,True
iotsim-combined-cycle-5_0-0_to_OpenvSwitch-13_5-0,514,182,332,0.3540856031128405,True
iotsim-combined-cycle-6_0-0_to_OpenvSwitch-13_6-0,515,182,333,0.3533980582524272,True
iotsim-combined-cycle-7_0-0_to_OpenvSwitch-13_7-0,516,182,334,0.35271317829457366,True
iotsim-combined-cycle-8_0-0_to_OpenvSwitch-13_8-0,516,181,335,0.3507751937984496,True
iotsim-combined-cycle-9_0-0_to_OpenvSwitch-13_9-0,515,181,334,0.35145631067961164,True
iotsim-combined-cycle-tls-1_0-0_to_OpenvSwitch-14_1-0,226,48,178,0.21238938053097345,False
iotsim-domotic-monitor-2_0-0_to_OpenvSwitch-23_2-0,366,140,226,0.3825136612021858,True
iotsim-domotic-monitor-3_0-0_to_OpenvSwitch-23_3-0,369,139,230,0.37669376693766937,True
iotsim-domotic-monitor-5_0-0_to_OpenvSwitch-23_5-0,367,141,226,0.38419618528610355,True
normal_1.pcap,3186,29,3157,0.009102322661644695,False
processed/iotsim-combined-cycle-tls-3.csv,134,120,14,0.8955223880597015,True
processed/iotsim-combined-cycle-tls-4.csv,139,121,18,0.8705035971223022,True
processed/iotsim-combined-cycle-tls-5.csv,137,120,17,0.8759124087591241,True
