plan_role,attack_type,planned_rows
attack_support_candidate_pool_targeted,File Download,605
attack_support_candidate_pool_targeted,Ingress Tool Transfer,801
attack_support_candidate_pool_targeted,Merlin C&C Communication,2441
attack_support_candidate_pool_targeted,Merlin ICMP Flooding,4895
attack_support_candidate_pool_targeted,Merlin TCP Flooding,10000
attack_support_candidate_pool_targeted,Merlin UDP Flooding,2500
attack_support_candidate_pool_targeted,Mirai C&C Communication,250
attack_support_candidate_pool_targeted,Mirai GRE Flooding,16000
attack_support_candidate_pool_targeted,Mirai TCP Flooding,16000
attack_support_candidate_pool_targeted,Mirai UDP Flooding,16000
dev_future_attack_query_exact,C&C Communication,438
dev_future_attack_query_exact,CoAP Amplification,12000
dev_future_attack_query_exact,File Download,4755
dev_future_attack_query_exact,Ingress Tool Transfer,14679
dev_future_attack_query_exact,Merlin C&C Communication,19590
dev_future_attack_query_exact,Merlin ICMP Flooding,27985
dev_future_attack_query_exact,Merlin TCP Flooding,36000
dev_future_attack_query_exact,Merlin UDP Flooding,15000
dev_future_attack_query_exact,Mirai C&C Communication,716
dev_future_attack_query_exact,Mirai GRE Flooding,36000
dev_future_attack_query_exact,Mirai TCP Flooding,36000
dev_future_attack_query_exact,Mirai UDP Flooding,36000
dev_future_attack_query_exact,Reporting,376
dev_future_attack_query_exact,TCP Scan,84000
dev_future_attack_query_exact,Telnet Brute Force,84000
dev_future_attack_query_exact,UDP Scan,4242
same_file_time_forward_dev_query_exact,File Download,105
same_file_time_forward_dev_query_exact,Ingress Tool Transfer,2381
same_file_time_forward_dev_query_exact,Merlin C&C Communication,6827
same_file_time_forward_dev_query_exact,Merlin ICMP Flooding,13718
same_file_time_forward_dev_query_exact,Merlin TCP Flooding,24000
same_file_time_forward_dev_query_exact,Merlin UDP Flooding,6542
same_file_time_forward_dev_query_exact,Mirai C&C Communication,106
same_file_time_forward_dev_query_exact,Mirai GRE Flooding,24000
same_file_time_forward_dev_query_exact,Mirai TCP Flooding,24000
same_file_time_forward_dev_query_exact,Mirai UDP Flooding,24000
sealed_final_attack_exact_realign,C&C Communication,90
sealed_final_attack_exact_realign,File Download,1231
sealed_final_attack_exact_realign,Ingress Tool Transfer,3702
sealed_final_attack_exact_realign,Merlin ICMP Flooding,10011
sealed_final_attack_exact_realign,Merlin TCP Flooding,15000
sealed_final_attack_exact_realign,Merlin UDP Flooding,4996
sealed_final_attack_exact_realign,Mirai GRE Flooding,15000
sealed_final_attack_exact_realign,Mirai TCP Flooding,15000
sealed_final_attack_exact_realign,Mirai UDP Flooding,15000
sealed_final_attack_exact_realign,Reporting,74
sealed_final_attack_exact_realign,TCP Scan,15000
sealed_final_attack_exact_realign,Telnet Brute Force,15000
