seed,active_label_budget,label,input_rows,file_count,split_rule,fallback,holdout_file,train_rows,val_rows,pseudo_rows,train_hash,val_hash,pseudo_hash,base_support_selector,base_support_hash,base_support_pool_role,base_support_pool_size,base_support_size,base_selector_scaler_fit_roles,base_distance_metric,base_start_rule,base_uses_final_ood,base_uses_attack_eval,base_selected_indices_sha256,active_selector,active_budget,active_candidate_count,active_uncovered_candidate_count,active_support_val_p95_radius,active_uses_candidate_labels_for_selection,active_uses_query_labels_for_selection
42,64,medium_attack_support,128,3,leave_one_file_pseudo_query_then_seeded_75_25_train_val,none,processed/iotsim-air-quality-1.csv,75,25,28,15056d2c134a965f753d62468f3f250ec54332216036fec54cc2aee0e2bcab4d,bdb699049c8cb4b0e66dbc5b6b4afbdc2e4778a2414a098106f42944ffd76e9e,a9adc52ddbd75db5abf8b6e96cb3f31a3c947d3d6ec2fabfb81b3e207181853a,old_kcenter128,7dddf35a55dc4ba20aad5876d2cb041b09ea6d5292babc7cd5552eb0d1a855c2,attack_support,2250,128,attack_support,euclidean_after_selector_local_standard_scaler,closest_to_attack_support_centroid,False,False,7dddf35a55dc4ba20aad5876d2cb041b09ea6d5292babc7cd5552eb0d1a855c2,,,,,,,
42,64,active_heavy_attack_support,64,2,leave_one_file_pseudo_query_then_seeded_75_25_train_val,holdout_left_too_few_train_rows,processed/iotsim-ip-camera-museum-1.csv,48,16,0,cbe24e1ec8a55985b374f1460ca15e7e3ba7760b28ce4972108318b0b607e07e,00b7ba7d09cd275e0d2af2d7ccae8f3969277705e2c0ce1a1c599bc69340746b,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,,,,,,,,,,,,coverage_aware_uncovered_first_farthest_first_feature_only,128,2000,1756,10.94919204711914,False,False
42,128,medium_attack_support,128,3,leave_one_file_pseudo_query_then_seeded_75_25_train_val,none,processed/iotsim-air-quality-1.csv,75,25,28,15056d2c134a965f753d62468f3f250ec54332216036fec54cc2aee0e2bcab4d,bdb699049c8cb4b0e66dbc5b6b4afbdc2e4778a2414a098106f42944ffd76e9e,a9adc52ddbd75db5abf8b6e96cb3f31a3c947d3d6ec2fabfb81b3e207181853a,old_kcenter128,7dddf35a55dc4ba20aad5876d2cb041b09ea6d5292babc7cd5552eb0d1a855c2,attack_support,2250,128,attack_support,euclidean_after_selector_local_standard_scaler,closest_to_attack_support_centroid,False,False,7dddf35a55dc4ba20aad5876d2cb041b09ea6d5292babc7cd5552eb0d1a855c2,,,,,,,
42,128,active_heavy_attack_support,128,2,leave_one_file_pseudo_query_then_seeded_75_25_train_val,none,processed/iotsim-ip-camera-museum-1.csv,48,17,63,953a0643c90c24cb3b6a18503b2148943a08ad6a9e14087ac7b4eea0c57ff2f2,ad56aabcfba441df08ba08294a2e4ccdd5038125118c411da75e1feb4669e937,796500b1731076192fb58c76aabe0c2e80149fa3743e93fb57a1f9bf9fd8e4c1,,,,,,,,,,,,coverage_aware_uncovered_first_farthest_first_feature_only,128,2000,1756,10.94919204711914,False,False
43,64,medium_attack_support,128,3,leave_one_file_pseudo_query_then_seeded_75_25_train_val,none,processed/iotsim-city-power-1.csv,46,16,66,1d8d8b5968fcedba0d0688adfc2a9b3055197ce8acdb9e4615edf9b3aef2e859,b218ae6f8c58f54716a44a2a58675ae3c0dea70bfa80be6eb8e0cb3cc89338cf,02db849f69b5de5a134ce31dc10d62a5e29ea49cdefba0adaffc57682450d12f,old_kcenter128,7dddf35a55dc4ba20aad5876d2cb041b09ea6d5292babc7cd5552eb0d1a855c2,attack_support,2250,128,attack_support,euclidean_after_selector_local_standard_scaler,closest_to_attack_support_centroid,False,False,7dddf35a55dc4ba20aad5876d2cb041b09ea6d5292babc7cd5552eb0d1a855c2,,,,,,,
43,64,active_heavy_attack_support,64,2,leave_one_file_pseudo_query_then_seeded_75_25_train_val,none,processed/iotsim-ip-camera-street-1.csv,46,16,2,af80d4e1c054faf3257d3fad2814ca694ee8ad3f5357d8b4e5865d5dabb514e7,44a45d0990cb4a67efd39b01a98978d65308a032c8cc0942828863b9596573a9,e6e8f69eef6fb2a5dad5a178b4e0b9fda4e79daf3a87692f4d9698c29654c405,,,,,,,,,,,,coverage_aware_uncovered_first_farthest_first_feature_only,128,2000,1756,17.06118392944336,False,False
43,128,medium_attack_support,128,3,leave_one_file_pseudo_query_then_seeded_75_25_train_val,none,processed/iotsim-city-power-1.csv,46,16,66,1d8d8b5968fcedba0d0688adfc2a9b3055197ce8acdb9e4615edf9b3aef2e859,b218ae6f8c58f54716a44a2a58675ae3c0dea70bfa80be6eb8e0cb3cc89338cf,02db849f69b5de5a134ce31dc10d62a5e29ea49cdefba0adaffc57682450d12f,old_kcenter128,7dddf35a55dc4ba20aad5876d2cb041b09ea6d5292babc7cd5552eb0d1a855c2,attack_support,2250,128,attack_support,euclidean_after_selector_local_standard_scaler,closest_to_attack_support_centroid,False,False,7dddf35a55dc4ba20aad5876d2cb041b09ea6d5292babc7cd5552eb0d1a855c2,,,,,,,
43,128,active_heavy_attack_support,128,2,leave_one_file_pseudo_query_then_seeded_75_25_train_val,none,processed/iotsim-ip-camera-street-1.csv,46,16,66,af80d4e1c054faf3257d3fad2814ca694ee8ad3f5357d8b4e5865d5dabb514e7,44a45d0990cb4a67efd39b01a98978d65308a032c8cc0942828863b9596573a9,a10271c10d8793adc6c1ff0fb00976afc309682884b3325b84dc477af2602ce6,,,,,,,,,,,,coverage_aware_uncovered_first_farthest_first_feature_only,128,2000,1756,17.06118392944336,False,False
44,64,medium_attack_support,128,3,leave_one_file_pseudo_query_then_seeded_75_25_train_val,none,processed/iotsim-combined-cycle-10.csv,70,24,34,7a6ac21ba47ff575c6ae657789a10a7cca29c0c6be1ff01a43db6e5091519294,431874c7ba8bdb28835df47eb66cac2c320766617072eedf13c9df196249d91c,6202c8736e9da5ea789dc4c95fc1bee84b52ebc736ccd7a9d089e710825be641,old_kcenter128,7dddf35a55dc4ba20aad5876d2cb041b09ea6d5292babc7cd5552eb0d1a855c2,attack_support,2250,128,attack_support,euclidean_after_selector_local_standard_scaler,closest_to_attack_support_centroid,False,False,7dddf35a55dc4ba20aad5876d2cb041b09ea6d5292babc7cd5552eb0d1a855c2,,,,,,,
44,64,active_heavy_attack_support,64,2,leave_one_file_pseudo_query_then_seeded_75_25_train_val,none,processed/iotsim-ip-camera-museum-1.csv,2,1,61,f1f5198051971cf7c9cf96f195c84a7865d0bdd1bc28e2bb24978829cb6c402e,7e66b5dd3d158d14ba3300cad5702ee6d72befaec37890eed25c91687bb649df,3824919b510406861d060763f49c83dca3fe0dbad8d0f1d90fb86ccd288e4b59,,,,,,,,,,,,coverage_aware_uncovered_first_farthest_first_feature_only,128,2000,1756,51.36540603637695,False,False
