held_value,role,phase,label,label_name,rows_before_exclude,rows_after_exclude,held_rows_removed,feature_dim,route,train_rows_total
iotsim-stream-consumer,support_train,fit,3,attack,58,58,0,207,H1_c1_mlp_ce,6058
iotsim-stream-consumer,id_calib,fit,0,id,3000,3000,0,207,H1_c1_mlp_ce,6058
iotsim-stream-consumer,ood_val,fit,1,ood,3000,3000,0,207,H1_c1_mlp_ce,6058
iotsim-stream-consumer,ood_stress,fit,2,hard_ood,3000,0,3000,207,H1_c1_mlp_ce,6058
iotsim-stream-consumer,support_train,fit,3,attack,58,58,0,207,H2_c1_supcon_proto,6058
iotsim-stream-consumer,id_calib,fit,0,id,3000,3000,0,207,H2_c1_supcon_proto,6058
iotsim-stream-consumer,ood_val,fit,1,ood,3000,3000,0,207,H2_c1_supcon_proto,6058
iotsim-stream-consumer,ood_stress,fit,2,hard_ood,3000,0,3000,207,H2_c1_supcon_proto,6058
iotsim-stream-consumer,support_train,fit,3,attack,58,58,0,207,H3_c1_supcon_rex_proto,6058
iotsim-stream-consumer,id_calib,fit,0,id,3000,3000,0,207,H3_c1_supcon_rex_proto,6058
iotsim-stream-consumer,ood_val,fit,1,ood,3000,3000,0,207,H3_c1_supcon_rex_proto,6058
iotsim-stream-consumer,ood_stress,fit,2,hard_ood,3000,0,3000,207,H3_c1_supcon_rex_proto,6058
iotsim-stream-consumer,support_train,fit,3,attack,58,58,0,207,H4_c1_supcon_rex_proto_selective_budget,6058
iotsim-stream-consumer,id_calib,fit,0,id,3000,3000,0,207,H4_c1_supcon_rex_proto_selective_budget,6058
iotsim-stream-consumer,ood_val,fit,1,ood,3000,3000,0,207,H4_c1_supcon_rex_proto_selective_budget,6058
iotsim-stream-consumer,ood_stress,fit,2,hard_ood,3000,0,3000,207,H4_c1_supcon_rex_proto_selective_budget,6058
iotsim-hydraulic-system,support_train,fit,3,attack,58,58,0,207,H1_c1_mlp_ce,8662
iotsim-hydraulic-system,id_calib,fit,0,id,3000,3000,0,207,H1_c1_mlp_ce,8662
iotsim-hydraulic-system,ood_val,fit,1,ood,3000,2604,396,207,H1_c1_mlp_ce,8662
iotsim-hydraulic-system,ood_stress,fit,2,hard_ood,3000,3000,0,207,H1_c1_mlp_ce,8662
iotsim-hydraulic-system,support_train,fit,3,attack,58,58,0,207,H2_c1_supcon_proto,8662
iotsim-hydraulic-system,id_calib,fit,0,id,3000,3000,0,207,H2_c1_supcon_proto,8662
iotsim-hydraulic-system,ood_val,fit,1,ood,3000,2604,396,207,H2_c1_supcon_proto,8662
iotsim-hydraulic-system,ood_stress,fit,2,hard_ood,3000,3000,0,207,H2_c1_supcon_proto,8662
iotsim-hydraulic-system,support_train,fit,3,attack,58,58,0,207,H3_c1_supcon_rex_proto,8662
iotsim-hydraulic-system,id_calib,fit,0,id,3000,3000,0,207,H3_c1_supcon_rex_proto,8662
iotsim-hydraulic-system,ood_val,fit,1,ood,3000,2604,396,207,H3_c1_supcon_rex_proto,8662
iotsim-hydraulic-system,ood_stress,fit,2,hard_ood,3000,3000,0,207,H3_c1_supcon_rex_proto,8662
iotsim-hydraulic-system,support_train,fit,3,attack,58,58,0,207,H4_c1_supcon_rex_proto_selective_budget,8662
iotsim-hydraulic-system,id_calib,fit,0,id,3000,3000,0,207,H4_c1_supcon_rex_proto_selective_budget,8662
iotsim-hydraulic-system,ood_val,fit,1,ood,3000,2604,396,207,H4_c1_supcon_rex_proto_selective_budget,8662
iotsim-hydraulic-system,ood_stress,fit,2,hard_ood,3000,3000,0,207,H4_c1_supcon_rex_proto_selective_budget,8662
domotic-monitor,support_train,fit,3,attack,58,58,0,207,H1_c1_mlp_ce,9058
domotic-monitor,id_calib,fit,0,id,3000,3000,0,207,H1_c1_mlp_ce,9058
domotic-monitor,ood_val,fit,1,ood,3000,3000,0,207,H1_c1_mlp_ce,9058
domotic-monitor,ood_stress,fit,2,hard_ood,3000,3000,0,207,H1_c1_mlp_ce,9058
domotic-monitor,support_train,fit,3,attack,58,58,0,207,H2_c1_supcon_proto,9058
domotic-monitor,id_calib,fit,0,id,3000,3000,0,207,H2_c1_supcon_proto,9058
domotic-monitor,ood_val,fit,1,ood,3000,3000,0,207,H2_c1_supcon_proto,9058
domotic-monitor,ood_stress,fit,2,hard_ood,3000,3000,0,207,H2_c1_supcon_proto,9058
domotic-monitor,support_train,fit,3,attack,58,58,0,207,H3_c1_supcon_rex_proto,9058
domotic-monitor,id_calib,fit,0,id,3000,3000,0,207,H3_c1_supcon_rex_proto,9058
domotic-monitor,ood_val,fit,1,ood,3000,3000,0,207,H3_c1_supcon_rex_proto,9058
domotic-monitor,ood_stress,fit,2,hard_ood,3000,3000,0,207,H3_c1_supcon_rex_proto,9058
domotic-monitor,support_train,fit,3,attack,58,58,0,207,H4_c1_supcon_rex_proto_selective_budget,9058
domotic-monitor,id_calib,fit,0,id,3000,3000,0,207,H4_c1_supcon_rex_proto_selective_budget,9058
domotic-monitor,ood_val,fit,1,ood,3000,3000,0,207,H4_c1_supcon_rex_proto_selective_budget,9058
domotic-monitor,ood_stress,fit,2,hard_ood,3000,3000,0,207,H4_c1_supcon_rex_proto_selective_budget,9058
combined-cycle,support_train,fit,3,attack,58,25,33,207,H1_c1_mlp_ce,9025
combined-cycle,id_calib,fit,0,id,3000,3000,0,207,H1_c1_mlp_ce,9025
combined-cycle,ood_val,fit,1,ood,3000,3000,0,207,H1_c1_mlp_ce,9025
combined-cycle,ood_stress,fit,2,hard_ood,3000,3000,0,207,H1_c1_mlp_ce,9025
combined-cycle,support_train,fit,3,attack,58,25,33,207,H2_c1_supcon_proto,9025
combined-cycle,id_calib,fit,0,id,3000,3000,0,207,H2_c1_supcon_proto,9025
combined-cycle,ood_val,fit,1,ood,3000,3000,0,207,H2_c1_supcon_proto,9025
combined-cycle,ood_stress,fit,2,hard_ood,3000,3000,0,207,H2_c1_supcon_proto,9025
combined-cycle,support_train,fit,3,attack,58,25,33,207,H3_c1_supcon_rex_proto,9025
combined-cycle,id_calib,fit,0,id,3000,3000,0,207,H3_c1_supcon_rex_proto,9025
combined-cycle,ood_val,fit,1,ood,3000,3000,0,207,H3_c1_supcon_rex_proto,9025
combined-cycle,ood_stress,fit,2,hard_ood,3000,3000,0,207,H3_c1_supcon_rex_proto,9025
combined-cycle,support_train,fit,3,attack,58,25,33,207,H4_c1_supcon_rex_proto_selective_budget,9025
combined-cycle,id_calib,fit,0,id,3000,3000,0,207,H4_c1_supcon_rex_proto_selective_budget,9025
combined-cycle,ood_val,fit,1,ood,3000,3000,0,207,H4_c1_supcon_rex_proto_selective_budget,9025
combined-cycle,ood_stress,fit,2,hard_ood,3000,3000,0,207,H4_c1_supcon_rex_proto_selective_budget,9025
iotsim-ip-camera-street,support_train,fit,3,attack,58,58,0,207,H1_c1_mlp_ce,9058
iotsim-ip-camera-street,id_calib,fit,0,id,3000,3000,0,207,H1_c1_mlp_ce,9058
iotsim-ip-camera-street,ood_val,fit,1,ood,3000,3000,0,207,H1_c1_mlp_ce,9058
iotsim-ip-camera-street,ood_stress,fit,2,hard_ood,3000,3000,0,207,H1_c1_mlp_ce,9058
iotsim-ip-camera-street,support_train,fit,3,attack,58,58,0,207,H2_c1_supcon_proto,9058
iotsim-ip-camera-street,id_calib,fit,0,id,3000,3000,0,207,H2_c1_supcon_proto,9058
iotsim-ip-camera-street,ood_val,fit,1,ood,3000,3000,0,207,H2_c1_supcon_proto,9058
iotsim-ip-camera-street,ood_stress,fit,2,hard_ood,3000,3000,0,207,H2_c1_supcon_proto,9058
iotsim-ip-camera-street,support_train,fit,3,attack,58,58,0,207,H3_c1_supcon_rex_proto,9058
iotsim-ip-camera-street,id_calib,fit,0,id,3000,3000,0,207,H3_c1_supcon_rex_proto,9058
iotsim-ip-camera-street,ood_val,fit,1,ood,3000,3000,0,207,H3_c1_supcon_rex_proto,9058
iotsim-ip-camera-street,ood_stress,fit,2,hard_ood,3000,3000,0,207,H3_c1_supcon_rex_proto,9058
iotsim-ip-camera-street,support_train,fit,3,attack,58,58,0,207,H4_c1_supcon_rex_proto_selective_budget,9058
iotsim-ip-camera-street,id_calib,fit,0,id,3000,3000,0,207,H4_c1_supcon_rex_proto_selective_budget,9058
iotsim-ip-camera-street,ood_val,fit,1,ood,3000,3000,0,207,H4_c1_supcon_rex_proto_selective_budget,9058
iotsim-ip-camera-street,ood_stress,fit,2,hard_ood,3000,3000,0,207,H4_c1_supcon_rex_proto_selective_budget,9058
