source_group,requested_rows,max_recorded_index,processed_prefix_rows,feature_dim,timestamp_monotonic_violations,timestamp_monotonic_ok,alignment_ok
processed/iotsim-city-power-1.csv,25,55932,55933,350,15,False,True
processed/iotsim-combined-cycle-10.csv,33,31678,31679,350,8,False,True
processed/iotsim-combined-cycle-tls-3.csv,203,1942,1943,350,0,True,True
processed/iotsim-combined-cycle-tls-4.csv,202,1941,1942,350,0,True,True
processed/iotsim-combined-cycle-tls-5.csv,202,1940,1941,350,0,True,True
processed/iotsim-cooler-motor-5.csv,2393,22470,22471,350,0,True,True
processed/iotsim-building-monitor-2.csv,449,1737,1738,350,0,True,True
processed/iotsim-building-monitor-3.csv,243,963,964,350,0,True,True
processed/iotsim-hydraulic-system-1.csv,1015,3868,3869,350,1,False,True
processed/iotsim-hydraulic-system-10.csv,652,2505,2506,350,0,True,True
processed/iotsim-hydraulic-system-11.csv,641,2462,2463,350,0,True,True
processed/iotsim-cooler-motor-6.csv,1740,22455,22456,350,0,True,True
processed/iotsim-cooler-motor-7.csv,1742,22469,22470,350,0,True,True
processed/iotsim-cooler-motor-8.csv,390,5060,5061,350,0,True,True
processed/iotsim-cooler-motor-9.csv,128,1692,1693,350,0,True,True
processed/iotsim-hydraulic-system-12.csv,801,2494,2495,350,0,True,True
processed/iotsim-hydraulic-system-13.csv,796,2478,2479,350,0,True,True
processed/iotsim-hydraulic-system-14.csv,797,2480,2481,350,0,True,True
processed/iotsim-hydraulic-system-15.csv,802,2495,2496,350,0,True,True
processed/iotsim-hydraulic-system-2.csv,804,2500,2501,350,0,True,True
processed/iotsim-city-power-1.csv,5,57190,57191,350,15,False,True
processed/iotsim-combined-cycle-10.csv,6,19337,19338,350,7,False,True
processed/iotsim-stream-consumer-2.csv,4000,79999,80000,350,0,True,True
processed/iotsim-building-monitor-2.csv,1690,1739,1740,350,0,True,True
processed/iotsim-building-monitor-3.csv,914,963,964,350,0,True,True
processed/iotsim-stream-consumer-1.csv,3000,149999,150000,350,10,False,True
processed/iotsim-domotic-monitor-1.csv,4000,161296,161297,350,58,False,True
processed/iotsim-combined-cycle-10.csv,2486,126688,126689,350,26,False,True
processed/iotsim-combined-cycle-1.csv,1339,297786,297787,350,89,False,True
processed/iotsim-combined-cycle-10.csv,2661,137132,137133,350,29,False,True
processed/iotsim-ip-camera-street-2.csv,4000,99999,100000,350,1,False,True
