dataset,holdout,method,seed,seed_group,support_method,support_budget,selected_attack_row_id,support_pool_name,in_attack_train_pool,overlaps_attack_val,overlaps_attack_eval,selection_uses_attack_eval,selection_uses_final_ood_eval
primary_lowood,primary_lowood,M0_V1_original100_kcenter32_fixed_guard,42,main_42_46,kcenter,32,2931,stage2_high_purity_attack_train_pool,True,False,False,False,False
primary_lowood,primary_lowood,M0_V1_original100_kcenter32_fixed_guard,42,main_42_46,kcenter,32,2934,stage2_high_purity_attack_train_pool,True,False,False,False,False
primary_lowood,primary_lowood,M0_V1_original100_kcenter32_fixed_guard,42,main_42_46,kcenter,32,2936,stage2_high_purity_attack_train_pool,True,False,False,False,False
primary_lowood,primary_lowood,M0_V1_original100_kcenter32_fixed_guard,42,main_42_46,kcenter,32,2938,stage2_high_purity_attack_train_pool,True,False,False,False,False
primary_lowood,primary_lowood,M0_V1_original100_kcenter32_fixed_guard,42,main_42_46,kcenter,32,2939,stage2_high_purity_attack_train_pool,True,False,False,False,False
primary_lowood,primary_lowood,M0_V1_original100_kcenter32_fixed_guard,42,main_42_46,kcenter,32,2942,stage2_high_purity_attack_train_pool,True,False,False,False,False
primary_lowood,primary_lowood,M0_V1_original100_kcenter32_fixed_guard,42,main_42_46,kcenter,32,2951,stage2_high_purity_attack_train_pool,True,False,False,False,False
primary_lowood,primary_lowood,M0_V1_original100_kcenter32_fixed_guard,42,main_42_46,kcenter,32,3069,stage2_high_purity_attack_train_pool,True,False,False,False,False
primary_lowood,primary_lowood,M0_V1_original100_kcenter32_fixed_guard,42,main_42_46,kcenter,32,3091,stage2_high_purity_attack_train_pool,True,False,False,False,False
primary_lowood,primary_lowood,M0_V1_original100_kcenter32_fixed_guard,42,main_42_46,kcenter,32,3129,stage2_high_purity_attack_train_pool,True,False,False,False,False
primary_lowood,primary_lowood,M0_V1_original100_kcenter32_fixed_guard,42,main_42_46,kcenter,32,3131,stage2_high_purity_attack_train_pool,True,False,False,False,False
primary_lowood,primary_lowood,M0_V1_original100_kcenter32_fixed_guard,42,main_42_46,kcenter,32,3132,stage2_high_purity_attack_train_pool,True,False,False,False,False
primary_lowood,primary_lowood,M0_V1_original100_kcenter32_fixed_guard,42,main_42_46,kcenter,32,3133,stage2_high_purity_attack_train_pool,True,False,False,False,False
primary_lowood,primary_lowood,M0_V1_original100_kcenter32_fixed_guard,42,main_42_46,kcenter,32,3134,stage2_high_purity_attack_train_pool,True,False,False,False,False
primary_lowood,primary_lowood,M0_V1_original100_kcenter32_fixed_guard,42,main_42_46,kcenter,32,3136,stage2_high_purity_attack_train_pool,True,False,False,False,False
primary_lowood,primary_lowood,M0_V1_original100_kcenter32_fixed_guard,42,main_42_46,kcenter,32,3137,stage2_high_purity_attack_train_pool,True,False,False,False,False
primary_lowood,primary_lowood,M0_V1_original100_kcenter32_fixed_guard,42,main_42_46,kcenter,32,3140,stage2_high_purity_attack_train_pool,True,False,False,False,False
primary_lowood,primary_lowood,M0_V1_original100_kcenter32_fixed_guard,42,main_42_46,kcenter,32,3154,stage2_high_purity_attack_train_pool,True,False,False,False,False
primary_lowood,primary_lowood,M0_V1_original100_kcenter32_fixed_guard,42,main_42_46,kcenter,32,3156,stage2_high_purity_attack_train_pool,True,False,False,False,False
primary_lowood,primary_lowood,M0_V1_original100_kcenter32_fixed_guard,42,main_42_46,kcenter,32,3281,stage2_high_purity_attack_train_pool,True,False,False,False,False
primary_lowood,primary_lowood,M0_V1_original100_kcenter32_fixed_guard,42,main_42_46,kcenter,32,4027,stage2_high_purity_attack_train_pool,True,False,False,False,False
primary_lowood,primary_lowood,M0_V1_original100_kcenter32_fixed_guard,42,main_42_46,kcenter,32,4028,stage2_high_purity_attack_train_pool,True,False,False,False,False
primary_lowood,primary_lowood,M0_V1_original100_kcenter32_fixed_guard,42,main_42_46,kcenter,32,4459,stage2_high_purity_attack_train_pool,True,False,False,False,False
primary_lowood,primary_lowood,M0_V1_original100_kcenter32_fixed_guard,42,main_42_46,kcenter,32,4462,stage2_high_purity_attack_train_pool,True,False,False,False,False
