exact_attack_label,eligible_candidate_rows,eligible_provenance_sources,eligible_phases,strong_source_gate_possible,ceiling_note
File Download,605,1,1,False,current_candidate_pool_cannot_satisfy_two_source_gate
Ingress Tool Transfer,801,1,1,False,current_candidate_pool_cannot_satisfy_two_source_gate
Merlin C&C Communication,2441,1,1,False,current_candidate_pool_cannot_satisfy_two_source_gate
Merlin ICMP Flooding,4895,2,1,True,candidate_pool_can_satisfy_two_source_gate
Merlin TCP Flooding,10000,2,1,True,candidate_pool_can_satisfy_two_source_gate
Merlin UDP Flooding,2500,2,1,True,candidate_pool_can_satisfy_two_source_gate
Mirai C&C Communication,250,1,1,False,current_candidate_pool_cannot_satisfy_two_source_gate
Mirai GRE Flooding,16000,2,1,True,candidate_pool_can_satisfy_two_source_gate
Mirai TCP Flooding,16000,2,1,True,candidate_pool_can_satisfy_two_source_gate
Mirai UDP Flooding,16000,2,1,True,candidate_pool_can_satisfy_two_source_gate
