strategy,state_id,role,split_role,pcap_member,csv_member,packet_index,recorded_index,packet_timestamp_epoch,binary_label_from_alignment,attack_type_from_raw_path,warmup_only,model_ready_hint
reset_at_split_boundary_new_heldout_attack,new_heldout::iotsim-ip-camera-museum-1,new_heldout_attack_eval_probe,new_heldout_attack_eval_probe,raw/malicious/mirai-infection/iotsim-ip-camera-museum-1_0-0_to_OpenvSwitch-29_1-0.pcap,processed/iotsim-ip-camera-museum-1.csv,644553,0,1737235770.488062,attack,mirai-infection,false,true
reset_at_split_boundary_new_heldout_attack,new_heldout::iotsim-ip-camera-museum-1,new_heldout_attack_eval_probe,new_heldout_attack_eval_probe,raw/malicious/mirai-infection/iotsim-ip-camera-museum-1_0-0_to_OpenvSwitch-29_1-0.pcap,processed/iotsim-ip-camera-museum-1.csv,644554,1,1737235770.488120,attack,mirai-infection,false,true
reset_at_split_boundary_new_heldout_attack,new_heldout::iotsim-ip-camera-museum-1,new_heldout_attack_eval_probe,new_heldout_attack_eval_probe,raw/malicious/mirai-infection/iotsim-ip-camera-museum-1_0-0_to_OpenvSwitch-29_1-0.pcap,processed/iotsim-ip-camera-museum-1.csv,644555,2,1737235770.492871,attack,mirai-infection,false,true
reset_at_split_boundary_new_heldout_attack,new_heldout::iotsim-ip-camera-museum-1,new_heldout_attack_eval_probe,new_heldout_attack_eval_probe,raw/malicious/mirai-infection/iotsim-ip-camera-museum-1_0-0_to_OpenvSwitch-29_1-0.pcap,processed/iotsim-ip-camera-museum-1.csv,644556,3,1737235770.492895,attack,mirai-infection,false,true
reset_at_split_boundary_new_heldout_attack,new_heldout::iotsim-ip-camera-museum-1,new_heldout_attack_eval_probe,new_heldout_attack_eval_probe,raw/malicious/mirai-infection/iotsim-ip-camera-museum-1_0-0_to_OpenvSwitch-29_1-0.pcap,processed/iotsim-ip-camera-museum-1.csv,644557,4,1737235770.494585,attack,mirai-infection,false,true
reset_at_split_boundary_new_heldout_attack,new_heldout::iotsim-ip-camera-museum-1,new_heldout_attack_eval_probe,new_heldout_attack_eval_probe,raw/malicious/mirai-infection/iotsim-ip-camera-museum-1_0-0_to_OpenvSwitch-29_1-0.pcap,processed/iotsim-ip-camera-museum-1.csv,644558,5,1737235770.520368,attack,mirai-infection,false,true
reset_at_split_boundary_new_heldout_attack,new_heldout::iotsim-ip-camera-museum-1,new_heldout_attack_eval_probe,new_heldout_attack_eval_probe,raw/malicious/mirai-infection/iotsim-ip-camera-museum-1_0-0_to_OpenvSwitch-29_1-0.pcap,processed/iotsim-ip-camera-museum-1.csv,644559,6,1737235770.533234,attack,mirai-infection,false,true
reset_at_split_boundary_new_heldout_attack,new_heldout::iotsim-ip-camera-museum-1,new_heldout_attack_eval_probe,new_heldout_attack_eval_probe,raw/malicious/mirai-infection/iotsim-ip-camera-museum-1_0-0_to_OpenvSwitch-29_1-0.pcap,processed/iotsim-ip-camera-museum-1.csv,644560,7,1737235770.533271,attack,mirai-infection,false,true
reset_at_split_boundary_new_heldout_attack,new_heldout::iotsim-ip-camera-museum-1,new_heldout_attack_eval_probe,new_heldout_attack_eval_probe,raw/malicious/mirai-infection/iotsim-ip-camera-museum-1_0-0_to_OpenvSwitch-29_1-0.pcap,processed/iotsim-ip-camera-museum-1.csv,644561,8,1737235770.533283,attack,mirai-infection,false,true
reset_at_split_boundary_new_heldout_attack,new_heldout::iotsim-ip-camera-museum-1,new_heldout_attack_eval_probe,new_heldout_attack_eval_probe,raw/malicious/mirai-infection/iotsim-ip-camera-museum-1_0-0_to_OpenvSwitch-29_1-0.pcap,processed/iotsim-ip-camera-museum-1.csv,644562,9,1737235770.533293,attack,mirai-infection,false,true
reset_at_split_boundary_new_heldout_attack,new_heldout::iotsim-ip-camera-museum-1,new_heldout_attack_eval_probe,new_heldout_attack_eval_probe,raw/malicious/mirai-infection/iotsim-ip-camera-museum-1_0-0_to_OpenvSwitch-29_1-0.pcap,processed/iotsim-ip-camera-museum-1.csv,644563,10,1737235770.533309,attack,mirai-infection,false,true
reset_at_split_boundary_new_heldout_attack,new_heldout::iotsim-ip-camera-museum-1,new_heldout_attack_eval_probe,new_heldout_attack_eval_probe,raw/malicious/mirai-infection/iotsim-ip-camera-museum-1_0-0_to_OpenvSwitch-29_1-0.pcap,processed/iotsim-ip-camera-museum-1.csv,644564,11,1737235770.533320,attack,mirai-infection,false,true
reset_at_split_boundary_new_heldout_attack,new_heldout::iotsim-ip-camera-museum-1,new_heldout_attack_eval_probe,new_heldout_attack_eval_probe,raw/malicious/mirai-infection/iotsim-ip-camera-museum-1_0-0_to_OpenvSwitch-29_1-0.pcap,processed/iotsim-ip-camera-museum-1.csv,644565,12,1737235770.533330,attack,mirai-infection,false,true
reset_at_split_boundary_new_heldout_attack,new_heldout::iotsim-ip-camera-museum-1,new_heldout_attack_eval_probe,new_heldout_attack_eval_probe,raw/malicious/mirai-infection/iotsim-ip-camera-museum-1_0-0_to_OpenvSwitch-29_1-0.pcap,processed/iotsim-ip-camera-museum-1.csv,644566,13,1737235770.533346,attack,mirai-infection,false,true
reset_at_split_boundary_new_heldout_attack,new_heldout::iotsim-ip-camera-museum-1,new_heldout_attack_eval_probe,new_heldout_attack_eval_probe,raw/malicious/mirai-infection/iotsim-ip-camera-museum-1_0-0_to_OpenvSwitch-29_1-0.pcap,processed/iotsim-ip-camera-museum-1.csv,644567,14,1737235770.533357,attack,mirai-infection,false,true
