dataset_kind,container_path,container_bytes,container_sha256,published_identity_if_archive,raw_source_path,member_uncompressed_bytes_if_archive,member_crc32_if_archive,source_group,role_set,target_count,maximum_target_event_position_inclusive,is_report,is_final
direct_pcap,D:\study\paper\anomaly_detection\paper04\datasets\external\ton_iot_raw_network\raw_pcap_pilot_v1\normal_1.pcap,1177084172,9463135bbb3ab8f6e27a459c6be117e79f72ff8e434b7e70478ed70f4f8bf3c5,,normal_1.pcap,,,normal_1.pcap,aux_normal_fit,4000,1999921,false,false
direct_pcap,D:\study\paper\anomaly_detection\paper04\datasets\external\ton_iot_raw_network\raw_pcap_pilot_v1\normal_2.pcap,1151429180,e7b2e1d7a54b34f8af190693f34cd5d09b3d8248826627bb1e8245ca47ae76ba,,normal_2.pcap,,,normal_2.pcap,aux_normal_select,4000,1999921,false,false
direct_pcap,D:\study\paper\anomaly_detection\paper04\datasets\external\ton_iot_raw_network\raw_pcap_pilot_v1\normal_scanning1.pcap,617628321,464f17996a5158964fc5ef4e48e6f108ea70b834bccc973e94e730371c1c51c5,,normal_scanning1.pcap,,,normal_scanning1.pcap,aux_process_fit,2000,624502,false,false
direct_pcap,D:\study\paper\anomaly_detection\paper04\datasets\external\ton_iot_raw_network\raw_pcap_pilot_v1\password_normal1.pcap,560091136,5be996df9ae286f11f66f78708292ed8fade7d135c05514aff3e3d298fd17844,,password_normal1.pcap,,,password_normal1.pcap,aux_process_fit,2000,1687309,false,false
gotham_zip,D:\study\paper\anomaly_detection\paper04\datasets\gotham2025\raw\GothamDataset2025.zip,23824968355,4c96a8915466baf14c8608c127bc4ef4f42aff4ba351292a2085371846175b4f,zenodo-md5:7ca78c0517ccb3d2854e823678e0f206,raw/benign/iotsim-building-monitor-2_0-0_to_OpenvSwitch-28_2-0.pcap,242979,9d96e05a,processed/iotsim-building-monitor-2.csv,ood_val,1690,2391,false,false
gotham_zip,D:\study\paper\anomaly_detection\paper04\datasets\gotham2025\raw\GothamDataset2025.zip,23824968355,4c96a8915466baf14c8608c127bc4ef4f42aff4ba351292a2085371846175b4f,zenodo-md5:7ca78c0517ccb3d2854e823678e0f206,raw/benign/iotsim-building-monitor-3_0-0_to_OpenvSwitch-28_3-0.pcap,242429,615f59b4,processed/iotsim-building-monitor-3.csv,ood_val,914,1349,false,false
gotham_zip,D:\study\paper\anomaly_detection\paper04\datasets\gotham2025\raw\GothamDataset2025.zip,23824968355,4c96a8915466baf14c8608c127bc4ef4f42aff4ba351292a2085371846175b4f,zenodo-md5:7ca78c0517ccb3d2854e823678e0f206,raw/benign/iotsim-building-monitor-4_0-0_to_OpenvSwitch-28_4-0.pcap,242777,c15b823c,iotsim-building-monitor-4_0-0_to_OpenvSwitch-28_4-0,aux_select,600,1099,false,false
gotham_zip,D:\study\paper\anomaly_detection\paper04\datasets\gotham2025\raw\GothamDataset2025.zip,23824968355,4c96a8915466baf14c8608c127bc4ef4f42aff4ba351292a2085371846175b4f,zenodo-md5:7ca78c0517ccb3d2854e823678e0f206,raw/benign/iotsim-building-monitor-5_0-0_to_OpenvSwitch-28_5-0.pcap,242197,0c748e66,iotsim-building-monitor-5_0-0_to_OpenvSwitch-28_5-0,aux_fit,600,1099,false,false
gotham_zip,D:\study\paper\anomaly_detection\paper04\datasets\gotham2025\raw\GothamDataset2025.zip,23824968355,4c96a8915466baf14c8608c127bc4ef4f42aff4ba351292a2085371846175b4f,zenodo-md5:7ca78c0517ccb3d2854e823678e0f206,raw/benign/iotsim-combined-cycle-2_0-0_to_OpenvSwitch-13_2-0.pcap,89153,59fef680,iotsim-combined-cycle-2_0-0_to_OpenvSwitch-13_2-0,aux_select,600,1099,false,false
gotham_zip,D:\study\paper\anomaly_detection\paper04\datasets\gotham2025\raw\GothamDataset2025.zip,23824968355,4c96a8915466baf14c8608c127bc4ef4f42aff4ba351292a2085371846175b4f,zenodo-md5:7ca78c0517ccb3d2854e823678e0f206,raw/benign/iotsim-combined-cycle-3_0-0_to_OpenvSwitch-13_3-0.pcap,88840,aea54a45,iotsim-combined-cycle-3_0-0_to_OpenvSwitch-13_3-0,aux_fit,600,1099,false,false
