member_index,dataset_kind,container_path,raw_source_path,targets,maximum_target_ordinal,status,checkpoint_identity,checkpoint_sha256,discovery_packets,replay_packets,peak_active_contexts,terminal_active_contexts
1,direct_pcap,D:\study\paper\anomaly_detection\paper04\datasets\external\ton_iot_raw_network\raw_pcap_pilot_v1\normal_1.pcap,normal_1.pcap,4000,1999921,COMPUTED_EXACT_TWOPASS,7adf14771d50d2756716058ff1a842255287a171d995b159e2c448c040b79311,2b21cd2447593e86c620054132df09a72bf36888bf01db89b50688ea1e527770,1999922,1999922,977,0
2,direct_pcap,D:\study\paper\anomaly_detection\paper04\datasets\external\ton_iot_raw_network\raw_pcap_pilot_v1\normal_2.pcap,normal_2.pcap,4000,1999921,COMPUTED_EXACT_TWOPASS,bb8fd3db67993df01ad134fa5f13f363d254fc661726404bd15724a108d09424,1a61b33686ba6671c6b2e3bbd2dc3d30285b13d4566cb78a58d704eec893353d,1999922,1999922,975,0
3,direct_pcap,D:\study\paper\anomaly_detection\paper04\datasets\external\ton_iot_raw_network\raw_pcap_pilot_v1\normal_scanning1.pcap,normal_scanning1.pcap,2000,624502,COMPUTED_EXACT_TWOPASS,8f0574df69a969055f018e7c25a8d28442c332305f5ddecf31bcb7c37e6e6733,ef2dcdfb64a61f55c4832af88a522814cf3fcbc3dd12f761b20a50d3f76a5075,624503,624503,7,0
4,direct_pcap,D:\study\paper\anomaly_detection\paper04\datasets\external\ton_iot_raw_network\raw_pcap_pilot_v1\password_normal1.pcap,password_normal1.pcap,2000,1687309,COMPUTED_EXACT_TWOPASS,9bcfc4e6cda20c47592652e91b6fc0de103cc9a525c2ce2b8a3cc7a9f7000c6b,5a3ae3d37b50308f5d892b24ca703517832d92a5949a529a22e833a71d141f0c,1687310,1687310,460,0
5,gotham_zip,D:\study\paper\anomaly_detection\paper04\datasets\gotham2025\raw\GothamDataset2025.zip,raw/benign/iotsim-building-monitor-2_0-0_to_OpenvSwitch-28_2-0.pcap,1690,2391,COMPUTED_EXACT_TWOPASS,21c803c638c4a381eded7291db5aa251f1cb610340beb81501e4356b55328232,7046275900a01a3d1acb9d29300477c07c674b611b4280d6889511f2201b0369,2392,2392,5,0
6,gotham_zip,D:\study\paper\anomaly_detection\paper04\datasets\gotham2025\raw\GothamDataset2025.zip,raw/benign/iotsim-building-monitor-3_0-0_to_OpenvSwitch-28_3-0.pcap,914,1349,COMPUTED_EXACT_TWOPASS,2861b1a6aaa5e026e6c886a0bc915f05f7ac7243f2bcc3a23cf66a916b113e11,7c92e4105510038ab231d9a942b6a56f2f979255fbfc651855b0562a9948a048,1350,1350,2,0
7,gotham_zip,D:\study\paper\anomaly_detection\paper04\datasets\gotham2025\raw\GothamDataset2025.zip,raw/benign/iotsim-building-monitor-4_0-0_to_OpenvSwitch-28_4-0.pcap,600,1099,COMPUTED_EXACT_TWOPASS,f14ba871e30d5aff49bfe9bee6bd59e8b25f180dbce977c09dabb494aba747f8,4493f7fe0b512e644cd59bc8cf66281ee6be8299de712a590d8f9b314d9418e1,1100,1100,23,0
8,gotham_zip,D:\study\paper\anomaly_detection\paper04\datasets\gotham2025\raw\GothamDataset2025.zip,raw/benign/iotsim-building-monitor-5_0-0_to_OpenvSwitch-28_5-0.pcap,600,1099,COMPUTED_EXACT_TWOPASS,3585787c6a65470f83be8cfe6fec27d03d060b31d11ecfa3dc4fdf27b854cbab,829bb43c0899a25a987bc3c5d79ff999a6d59e44dde3afad832e5f8155f64974,1100,1100,22,0
9,gotham_zip,D:\study\paper\anomaly_detection\paper04\datasets\gotham2025\raw\GothamDataset2025.zip,raw/benign/iotsim-combined-cycle-2_0-0_to_OpenvSwitch-13_2-0.pcap,600,1099,COMPUTED_EXACT_TWOPASS,869b0004e7472ad8536a6745a48a272ac0430ed9f88be4235cf636f13bf86a5e,82474cf193ea1c07ab328852e3248bb95cdc89590755612fb929a0b41e213d11,1100,1100,57,0
10,gotham_zip,D:\study\paper\anomaly_detection\paper04\datasets\gotham2025\raw\GothamDataset2025.zip,raw/benign/iotsim-combined-cycle-3_0-0_to_OpenvSwitch-13_3-0.pcap,600,1099,COMPUTED_EXACT_TWOPASS,a990d31ce8afcdbb6e4391cb02f319217e00aa31aa9c8a7f77d230f8a66e3918,d7d7d73f92aee6da2d588cbad2586ab236d4cd2359255881126bd9a947b74881,1100,1100,57,0
11,gotham_zip,D:\study\paper\anomaly_detection\paper04\datasets\gotham2025\raw\GothamDataset2025.zip,raw/benign/iotsim-combined-cycle-4_0-0_to_OpenvSwitch-13_4-0.pcap,600,1099,COMPUTED_EXACT_TWOPASS,0819894b0bce9b17ae882245bfa0acc2f68ba6a9ee70d71898416447148f85b2,b2c014a48201f4dbbec36a541c1dfbbe8872a3bf6880f6ceef00644d3fabab7e,1100,1100,59,0
12,gotham_zip,D:\study\paper\anomaly_detection\paper04\datasets\gotham2025\raw\GothamDataset2025.zip,raw/benign/iotsim-combined-cycle-5_0-0_to_OpenvSwitch-13_5-0.pcap,600,1099,COMPUTED_EXACT_TWOPASS,ea768dad327dd486514286f7f17330d274b040e64d61e3084fa0f9bdc00e11ba,d49d4a991a2accdf1fcd354a3fda53db9b072b325b77ed4eaf42cfbbe5ad261b,1100,1100,58,0
