device_family,attack_family,context_tier,targets,event_count_median,event_count_q95,event_count_max,span_seconds_median,span_seconds_q95,span_seconds_max
city-power,,H1,106,2.0,92.75,226.0,3.445148468017578e-05,0.007106184959411621,0.018802165985107422
city-power,,H2,54,51.5,213.79999999999995,248.0,0.002751469612121582,0.05354583263397212,0.10698103904724121
combined-cycle,,H1,39,70.0,133.1,142.0,1.7450478076934814,9.88132951259614,19.18041205406189
iotsim-building-monitor,,H1,2979,2.0,8.0,13.0,0.005635976791381836,0.0151078462600708,0.10262608528137207
iotsim-building-monitor,,H2,549,2.0,8.600000000000023,12.0,0.008007049560546875,212.23024721145754,298.4978048801422
iotsim-building-monitor,,H3,276,6.0,18.25,20.0,58.88406157493591,240.12827110290527,240.49448919296265
iotsim-combined-cycle,,H1,2139,1.0,2.0,2.0,0.0,0.0025849819183349555,0.1764390468597412
iotsim-combined-cycle,,H2,376,1.0,1.0,1.0,0.0,0.0,0.0
iotsim-combined-cycle,,H3,2285,1.0,3.0,7.0,0.0,5.331085538864135,64.61909008026123
iotsim-combined-cycle-tls,,H1,1600,8.0,15.0,15.0,0.01286005973815918,0.029726934432983396,0.18624114990234375
iotsim-combined-cycle-tls,,H2,227,1.0,5.0,5.0,0.0,2.147330379486084,3.175210952758789
iotsim-combined-cycle-tls,,H3,182,1.0,3.0,4.0,0.0,5.2278211355209345,5.352283000946045
iotsim-domotic-monitor,,H1,1492,2.0,4.0,13.0,0.005784511566162109,0.012767267227172852,0.18689799308776855
iotsim-domotic-monitor,,H2,350,2.0,9.0,12.0,0.006973624229431152,235.25398792028426,296.59968090057373
iotsim-domotic-monitor,,H3,558,8.0,20.0,24.0,59.96775507926941,240.14801867008208,298.875226020813
ip-camera-museum,,H1,182,2.0,199.84999999999997,251.0,0.0011860132217407227,172.870764875412,224.70378994941711
ip-camera-museum,,H2,73,80.0,228.99999999999994,255.0,0.0027930736541748047,0.12422370910644527,0.19543099403381348
ton-iot-external,,H1,5416,6.0,206.0,256.0,0.004306912422180176,31.4962837100029,296.1939470767975
ton-iot-external,,H2,280,116.5,235.0,255.0,62.8366219997406,125.30497906208039,292.1245119571686
ton-iot-external,,H3,6278,23.0,43.0,45.0,146.77534401416779,280.26463638544084,294.17987608909607
ton-iot-external,,H4,26,83.5,213.75,242.0,117.97927451133728,268.1040578484535,296.54433584213257
,File Download,H1,18,12.0,92.15,93.0,0.012493371963500977,0.02360153198242187,0.025384902954101562
,Ingress Tool Transfer,H1,21,110.0,134.0,142.0,2.109483003616333,15.936471939086914,19.18041205406189
,Merlin C&C Communication,H1,35,150.0,235.79999999999995,250.0,82.36301898956299,224.2766333580017,224.70378994941711
,Merlin ICMP Flooding,H2,51,90.0,215.0,255.0,0.04011702537536621,0.15950095653533936,0.19543099403381348
,Merlin TCP Flooding,H1,71,2.0,2.0,2.0,2.6941299438476562e-05,0.006171584129333496,0.007642984390258789
,Merlin UDP Flooding,H1,36,1.0,1.0,1.0,0.0,0.0,0.0
,Mirai C&C Communication,H1,11,7.0,14.5,16.0,10.022685050964355,66.5042405128479,69.00824403762817
,Mirai GRE Flooding,H2,70,54.5,229.75,248.0,0.001153111457824707,0.01057589054107666,0.013303995132446289
,Mirai TCP Flooding,H1,70,1.5,2.0,2.0,1.4066696166992188e-05,0.016975963115692133,0.03430795669555664
,Mirai UDP Flooding,H1,65,49.0,221.19999999999993,251.0,0.0013499259948730469,0.010710763931274406,0.018802165985107422
,Mirai UDP Flooding,H2,6,3.5,5.75,6.0,0.0033359527587890625,0.0033707022666931152,0.0033769607543945312
,ToN-credential_bruteforce,H1,2000,10.0,13.0,34.0,0.003980040550231934,15.493167173862457,65.69161581993103
,ToN-reconnaissance_scan,H1,2000,1.0,3.0,49.0,0.0,0.48505362272262553,117.00791096687317
,benign,H1,9626,2.0,164.0,256.0,0.005919933319091797,15.48107773065567,296.1939470767975
,benign,H2,1782,2.0,164.0,255.0,0.0060263872146606445,177.60388205051422,298.4978048801422
,benign,H3,9579,13.0,42.0,45.0,86.71195816993713,273.57268915176394,298.875226020813
,benign,H4,26,83.5,213.75,242.0,117.97927451133728,268.1040578484535,296.54433584213257
