assumption_id,assumption_name,description,required_by_lowguard,realistic_source,confidence_level,contamination_risk,mitigation,paper_claim_allowed,paper_claim_forbidden
A01,high-purity attack supports,A small set of confirmed attack examples is available before adaptation.,"yes, positives for the guarded few-shot adapter","SOC tickets after analyst triage, incident response cases, red-team exercises, sandbox or honeypot captures",medium,medium,use only confirmed cases; keep eval traffic excluded; record support provenance; run support-noise simulation,assumes a small high-purity support set can be obtained in deployment workflows,32 attack supports are always available or always clean
A02,analyst-confirmed attacks,Human analysts confirm selected alerts/incidents as attacks.,"yes, strongest support source","post-alert investigation, incident response, case management labels",high,low_to_medium,two-person review for support promotion; delayed labels; audit log; avoid using unresolved alerts,analyst confirmation is the safest operational support source,all SOC labels are correct or immediate
A03,trusted-rule-confirmed attacks,High precision deterministic rules nominate support candidates.,"optional, support candidate source","signature alerts with strong IOCs, IDS rules with low historical false positive rate",medium,medium,use rules only as candidate filters; analyst confirmation preferred; compare with random and kcenter supports,trusted rules can reduce support acquisition cost,rule-confirmed labels are equivalent to ground truth
A04,historical incident cases,Previously confirmed incidents provide support examples.,yes or optional depending site maturity,archived incident cases and postmortem packet/flow windows,medium,medium,time-split incidents; avoid future leakage; simulate label delay and temporal shift,historical incidents are a plausible support source,historical incidents cover all future attack shifts
A05,honeypot / sandbox / red-team attacks,Controlled attack-like traffic provides labeled positives.,optional,"red-team exercises, sandbox detonation, honeypot captures",medium,low label risk; medium distribution mismatch risk,treat as auxiliary supports; test source-specific support robustness; avoid overclaiming real-world coverage,controlled positives can be used as support candidates,lab positives perfectly represent production attacks
A06,OOD benign guard from recent trusted normal traffic,Recent trusted benign OOD traffic constrains low-alert thresholding and training.,"yes, negative/guard data","quiet-period traffic, allowlisted maintenance windows, verified normal segments",medium,medium,quarantine recent traffic before promotion; scan with independent detectors; run OOD contamination simulation,LOW-GUARD assumes trusted benign-OOD guard samples,OOD benign data is always clean
A07,OOD benign guard from analyst-confirmed false positives,False-positive alerts confirmed benign become hard benign guard examples.,optional but useful,SOC false-positive closure labels,medium,medium_to_high,delay promotion; require closure reason; keep separate from final eval; simulate attack contamination,confirmed false positives can seed the OOD benign guard,closed false positives are never attacks
A08,ID benign calibration set,Known in-distribution benign traffic is available for calibration.,yes,"deployment baseline period, asset onboarding windows",high,low_to_medium,baseline hygiene checks; remove known incidents; immutable calibration snapshot,ID calibration is required for guarded thresholding,ID calibration is automatically clean in every site
A09,OOD validation set,A held-out benign-OOD validation slice is used to enforce the 1% alarm budget.,yes,"recent verified benign drift, false-positive closure set, shadow-mode benign review",medium,medium,validation-only use; no final eval reuse; contamination stress test,thresholds are calibrated using ID calibration + OOD validation only,OOD validation labels are free or always perfect
A10,final OOD eval exclusion,Final OOD and attack eval are never used for threshold/support/model selection.,"yes, central leakage control","protocol rule, locked audit logs",high,low if enforced,immutable final eval; manifest audit; report-only rule,current evidence enforces final eval exclusion,final eval can be reused for deployment tuning
A11,no autonomous self-training,LOW-GUARD does not automatically train on its own alerts.,"yes, to prevent feedback contamination",offline gated update policy,high,high if violated,shadow/canary mode; human-confirmed promotion only; rollback on alarm drift,fully autonomous online self-training is outside scope,LOW-GUARD safely self-trains from its own predictions
A12,periodic offline update,Model updates happen periodically after gated label/provenance checks.,recommended,weekly/monthly SOC model review cycle,medium,medium,offline retraining; shadow validation; canary gate; rollback trigger,LOW-GUARD is compatible with periodic offline update,continuous online adaptation has been validated
