feature_index,feature_name,finite_rate,nan_count,inf_count,std,min,max
0,MI_dir_5_weight,1.0,0,0,1338.9644775390625,1.0,10614.2119140625
1,MI_dir_5_mean,1.0,0,0,653.843017578125,42.0,1514.0
2,MI_dir_5_std,1.0,0,0,64415.67578125,0.0,523456.28125
3,MI_dir_3_weight,1.0,0,0,1336.207763671875,1.0,10614.5390625
4,MI_dir_3_mean,1.0,0,0,651.9539794921875,42.0,1514.0
5,MI_dir_3_std,1.0,0,0,63528.87109375,0.0,541692.625
6,MI_dir_1_weight,1.0,0,0,1326.2198486328125,1.0,10616.3876953125
7,MI_dir_1_mean,1.0,0,0,648.9807739257812,42.0,1514.0
8,MI_dir_1_std,1.0,0,0,63442.7109375,0.0,539726.125
9,MI_dir_0.1_weight,1.0,0,0,1500.226318359375,1.0,10643.294921875
10,MI_dir_0.1_mean,1.0,0,0,642.9747314453125,42.0,1514.0
11,MI_dir_0.1_std,1.0,0,0,76168.3203125,0.0,532779.6875
12,MI_dir_0.01_weight,1.0,0,0,7125.40771484375,1.0,23803.546875
13,MI_dir_0.01_mean,1.0,0,0,644.3859252929688,42.0,1514.0
14,MI_dir_0.01_std,1.0,0,0,79329.734375,0.0,517719.8125
15,H_5_weight,1.0,0,0,3198.88037109375,1.0,22495.423828125
16,H_5_mean,1.0,0,0,653.9780883789062,42.0,1514.0
17,H_5_std,1.0,0,0,64433.77734375,0.0,541372.6875
18,H_3_weight,1.0,0,0,3192.95849609375,1.0,22496.078125
19,H_3_mean,1.0,0,0,652.0703125,42.0,1514.0
20,H_3_std,1.0,0,0,63648.1796875,0.0,540891.625
21,H_1_weight,1.0,0,0,3169.451416015625,1.0,22499.775390625
22,H_1_mean,1.0,0,0,648.9581298828125,42.0,1514.0
23,H_1_std,1.0,0,0,64050.4765625,0.0,540949.5625
24,H_0.1_weight,1.0,0,0,3394.482421875,1.0,22553.58984375
25,H_0.1_mean,1.0,0,0,642.95458984375,42.0,1514.0
26,H_0.1_std,1.0,0,0,76239.390625,0.0,532292.6875
27,H_0.01_weight,1.0,0,0,14247.1328125,1.0,47606.09375
28,H_0.01_mean,1.0,0,0,644.4755249023438,42.0,1514.0
29,H_0.01_std,1.0,0,0,79306.71875,0.0,510709.8125
30,HH_5_weight_0,1.0,0,0,3198.88037109375,2.0,22496.423828125
31,HH_5_mean_0,1.0,0,0,653.9160766601562,42.0,1514.0
