role,csv_member,deferred_reason,still_in_larger_contract
id_benign_train,processed/iotsim-predictive-maintenance-1.csv,outside_local_pilot_subset_or_zero_quota,true
id_benign_train,processed/iotsim-predictive-maintenance-10.csv,outside_local_pilot_subset_or_zero_quota,true
id_benign_train,processed/iotsim-predictive-maintenance-11.csv,outside_local_pilot_subset_or_zero_quota,true
id_benign_train,processed/iotsim-predictive-maintenance-12.csv,outside_local_pilot_subset_or_zero_quota,true
id_benign_train,processed/iotsim-predictive-maintenance-13.csv,outside_local_pilot_subset_or_zero_quota,true
id_benign_train,processed/iotsim-predictive-maintenance-14.csv,outside_local_pilot_subset_or_zero_quota,true
id_benign_train,processed/iotsim-predictive-maintenance-15.csv,outside_local_pilot_subset_or_zero_quota,true
id_benign_train,processed/iotsim-predictive-maintenance-2.csv,outside_local_pilot_subset_or_zero_quota,true
id_benign_train,processed/iotsim-predictive-maintenance-3.csv,outside_local_pilot_subset_or_zero_quota,true
id_benign_train,processed/iotsim-predictive-maintenance-4.csv,outside_local_pilot_subset_or_zero_quota,true
id_benign_calib,processed/iotsim-cooler-motor-5.csv,outside_local_pilot_subset_or_zero_quota,true
id_benign_calib,processed/iotsim-cooler-motor-6.csv,outside_local_pilot_subset_or_zero_quota,true
id_benign_calib,processed/iotsim-cooler-motor-7.csv,outside_local_pilot_subset_or_zero_quota,true
id_benign_calib,processed/iotsim-cooler-motor-8.csv,outside_local_pilot_subset_or_zero_quota,true
id_benign_calib,processed/iotsim-cooler-motor-9.csv,outside_local_pilot_subset_or_zero_quota,true
id_benign_calib,processed/iotsim-predictive-maintenance-5.csv,outside_local_pilot_subset_or_zero_quota,true
id_benign_calib,processed/iotsim-predictive-maintenance-6.csv,outside_local_pilot_subset_or_zero_quota,true
id_benign_calib,processed/iotsim-predictive-maintenance-7.csv,outside_local_pilot_subset_or_zero_quota,true
id_benign_calib,processed/iotsim-predictive-maintenance-8.csv,outside_local_pilot_subset_or_zero_quota,true
id_benign_calib,processed/iotsim-predictive-maintenance-9.csv,outside_local_pilot_subset_or_zero_quota,true
dev_future_attack_query,processed/iotsim-building-monitor-1.csv,outside_local_pilot_subset_or_zero_quota,true
dev_future_attack_query,processed/iotsim-combined-cycle-1.csv,outside_local_pilot_subset_or_zero_quota,true
