strategy,role,csv_member,bucket,total_rows_in_file_role,model_ready_rows,warmup_rows,attack_labeled_rows,attack_density_model_ready,first_attack_global_row,first_model_ready_global_row,first_attack_timestamp,first_model_ready_timestamp,ready_after_onset,bucket_rows,bucket_feature_energy_diagnostic,onset_alignment_status
reset_at_split_boundary,attack_support,processed/iotsim-air-quality-1.csv,onset_to_500,800,750,50,800,1.0,9600,9650,1737235793.490203,1737235795.104564,True,450,0.33330073952674866,ready_after_attack_onset
reset_at_split_boundary,attack_support,processed/iotsim-air-quality-1.csv,onset_500_to_2000,800,750,50,800,1.0,9600,9650,1737235793.490203,1737235795.104564,True,300,0.6075210571289062,ready_after_attack_onset
reset_at_split_boundary,attack_support,processed/iotsim-air-quality-1.csv,onset_2000_to_10000,800,750,50,800,1.0,9600,9650,1737235793.490203,1737235795.104564,True,0,0.0,ready_after_attack_onset
reset_at_split_boundary,attack_support,processed/iotsim-air-quality-1.csv,model_ready_all,800,750,50,800,1.0,9600,9650,1737235793.490203,1737235795.104564,True,750,0.475070059299469,ready_after_attack_onset
reset_at_split_boundary,attack_support,processed/iotsim-city-power-1.csv,onset_to_500,800,750,50,800,1.0,10400,10450,1737235783.576491,1737235785.687599,True,450,0.637215256690979,ready_after_attack_onset
reset_at_split_boundary,attack_support,processed/iotsim-city-power-1.csv,onset_500_to_2000,800,750,50,800,1.0,10400,10450,1737235783.576491,1737235785.687599,True,300,0.8352242708206177,ready_after_attack_onset
reset_at_split_boundary,attack_support,processed/iotsim-city-power-1.csv,onset_2000_to_10000,800,750,50,800,1.0,10400,10450,1737235783.576491,1737235785.687599,True,0,0.0,ready_after_attack_onset
reset_at_split_boundary,attack_support,processed/iotsim-city-power-1.csv,model_ready_all,800,750,50,800,1.0,10400,10450,1737235783.576491,1737235785.687599,True,750,0.7085456252098083,ready_after_attack_onset
reset_at_split_boundary,attack_support,processed/iotsim-combined-cycle-10.csv,onset_to_500,800,750,50,800,1.0,11200,11250,1737235781.420146,1737235782.515852,True,450,0.6458278894424438,ready_after_attack_onset
reset_at_split_boundary,attack_support,processed/iotsim-combined-cycle-10.csv,onset_500_to_2000,800,750,50,800,1.0,11200,11250,1737235781.420146,1737235782.515852,True,300,0.5203005075454712,ready_after_attack_onset
reset_at_split_boundary,attack_support,processed/iotsim-combined-cycle-10.csv,onset_2000_to_10000,800,750,50,800,1.0,11200,11250,1737235781.420146,1737235782.515852,True,0,0.0,ready_after_attack_onset
reset_at_split_boundary,attack_support,processed/iotsim-combined-cycle-10.csv,model_ready_all,800,750,50,800,1.0,11200,11250,1737235781.420146,1737235782.515852,True,750,0.5975815057754517,ready_after_attack_onset
reset_at_split_boundary,attack_eval,processed/iotsim-building-monitor-1.csv,onset_to_500,800,750,50,800,1.0,12000,12050,1737235764.020608,1737235765.292268,True,450,0.6422058939933777,ready_after_attack_onset
reset_at_split_boundary,attack_eval,processed/iotsim-building-monitor-1.csv,onset_500_to_2000,800,750,50,800,1.0,12000,12050,1737235764.020608,1737235765.292268,True,300,0.6006735563278198,ready_after_attack_onset
reset_at_split_boundary,attack_eval,processed/iotsim-building-monitor-1.csv,onset_2000_to_10000,800,750,50,800,1.0,12000,12050,1737235764.020608,1737235765.292268,True,0,0.0,ready_after_attack_onset
reset_at_split_boundary,attack_eval,processed/iotsim-building-monitor-1.csv,model_ready_all,800,750,50,800,1.0,12000,12050,1737235764.020608,1737235765.292268,True,750,0.6147055625915527,ready_after_attack_onset
reset_at_split_boundary,attack_eval,processed/iotsim-combined-cycle-1.csv,onset_to_500,800,750,50,800,1.0,12800,12850,1737235781.420515,1737235783.7393,True,450,0.660389244556427,ready_after_attack_onset
reset_at_split_boundary,attack_eval,processed/iotsim-combined-cycle-1.csv,onset_500_to_2000,800,750,50,800,1.0,12800,12850,1737235781.420515,1737235783.7393,True,300,0.79984050989151,ready_after_attack_onset
reset_at_split_boundary,attack_eval,processed/iotsim-combined-cycle-1.csv,onset_2000_to_10000,800,750,50,800,1.0,12800,12850,1737235781.420515,1737235783.7393,True,0,0.0,ready_after_attack_onset
reset_at_split_boundary,attack_eval,processed/iotsim-combined-cycle-1.csv,model_ready_all,800,750,50,800,1.0,12800,12850,1737235781.420515,1737235783.7393,True,750,0.704749345779419,ready_after_attack_onset
reset_at_split_boundary,attack_eval,processed/iotsim-domotic-monitor-1.csv,onset_to_500,800,750,50,800,1.0,13600,13650,1737235794.490721,1737235795.080822,True,450,0.8022431135177612,ready_after_attack_onset
reset_at_split_boundary,attack_eval,processed/iotsim-domotic-monitor-1.csv,onset_500_to_2000,800,750,50,800,1.0,13600,13650,1737235794.490721,1737235795.080822,True,300,0.519002377986908,ready_after_attack_onset
reset_at_split_boundary,attack_eval,processed/iotsim-domotic-monitor-1.csv,onset_2000_to_10000,800,750,50,800,1.0,13600,13650,1737235794.490721,1737235795.080822,True,0,0.0,ready_after_attack_onset
reset_at_split_boundary,attack_eval,processed/iotsim-domotic-monitor-1.csv,model_ready_all,800,750,50,800,1.0,13600,13650,1737235794.490721,1737235795.080822,True,750,0.7260373830795288,ready_after_attack_onset
