strategy,role,all_rows,model_ready_rows,warmup_rows,state_id_count,state_id_examples,warmup_excluded_from_model_ready,state_transition_log_rows,state_strategy_status,mean_abs_feature_delta,max_abs_feature_delta
reset_at_split_boundary,id_benign_train,3200,3000,200,4,reset::id_benign_train::iotsim-combined-cycle-tls-1|reset::id_benign_train::iotsim-combined-cycle-tls-2|reset::id_benign_train::iotsim-cooler-motor-8|reset::id_benign_train::iotsim-cooler-motor-9,True,18,auditable,,
reset_at_split_boundary,ood_benign_val,3200,3000,200,4,reset::ood_benign_val::iotsim-building-monitor-3|reset::ood_benign_val::iotsim-building-monitor-4|reset::ood_benign_val::iotsim-predictive-maintenance-8|reset::ood_benign_val::iotsim-predictive-maintenance-9,True,18,auditable,,
reset_at_split_boundary,final_ood_benign_eval,3200,3000,200,4,reset::final_ood_benign_eval::iotsim-domotic-monitor-2|reset::final_ood_benign_eval::iotsim-domotic-monitor-3|reset::final_ood_benign_eval::iotsim-hydraulic-system-8|reset::final_ood_benign_eval::iotsim-hydraulic-system-9,True,18,auditable,,
reset_at_split_boundary,attack_support,2400,2250,150,3,reset::attack_support::iotsim-air-quality-1|reset::attack_support::iotsim-city-power-1|reset::attack_support::iotsim-combined-cycle-10,True,18,auditable,,
reset_at_split_boundary,attack_eval,2400,2250,150,3,reset::attack_eval::iotsim-building-monitor-1|reset::attack_eval::iotsim-combined-cycle-1|reset::attack_eval::iotsim-domotic-monitor-1,True,18,auditable,,
train_state_then_eval_online,id_benign_train,3200,3000,200,4,B::train::iotsim-combined-cycle-tls-1|B::train::iotsim-combined-cycle-tls-2|B::train::iotsim-cooler-motor-8|B::train::iotsim-cooler-motor-9,True,18,auditable,,
train_state_then_eval_online,ood_benign_val,3200,3000,200,4,B::branch::ood_benign_val::iotsim-building-monitor-3|B::branch::ood_benign_val::iotsim-building-monitor-4|B::branch::ood_benign_val::iotsim-predictive-maintenance-8|B::branch::ood_benign_val::iotsim-predictive-maintenance-9,True,18,auditable,,
train_state_then_eval_online,final_ood_benign_eval,3200,3000,200,4,B::branch::final_ood_benign_eval::iotsim-domotic-monitor-2|B::branch::final_ood_benign_eval::iotsim-domotic-monitor-3|B::branch::final_ood_benign_eval::iotsim-hydraulic-system-8|B::branch::final_ood_benign_eval::iotsim-hydraulic-system-9,True,18,auditable,,
train_state_then_eval_online,attack_support,2400,2250,150,3,B::branch::attack_support::iotsim-air-quality-1|B::branch::attack_support::iotsim-city-power-1|B::branch::attack_support::iotsim-combined-cycle-10,True,18,auditable,,
train_state_then_eval_online,attack_eval,2400,2250,150,3,B::branch::attack_eval::iotsim-building-monitor-1|B::branch::attack_eval::iotsim-combined-cycle-1|B::branch::attack_eval::iotsim-domotic-monitor-1,True,18,auditable,,
reset_vs_online_feature_delta,id_benign_train,3000,3000,,,,,,feature_delta_computed,260.4325256347656,241591.453125
reset_vs_online_feature_delta,ood_benign_val,3000,3000,,,,,,feature_delta_computed,78.72925567626953,2290283.25
reset_vs_online_feature_delta,final_ood_benign_eval,3000,3000,,,,,,feature_delta_computed,185.228759765625,134217.46875
reset_vs_online_feature_delta,attack_support,2250,2250,,,,,,feature_delta_computed,4.306310529500479e-06,0.3955078125
reset_vs_online_feature_delta,attack_eval,2250,2250,,,,,,feature_delta_computed,3.609978875829256e-06,0.39599609375
