role,csv_member,target_rows,cache_status,source_cache_dir,local_x_path,cache_key,merge_allowed_now
id_benign_train,processed/iotsim-cooler-motor-1.csv,23217,stateful_train_chain_required,,D:\study\paper\anomaly_detection\paper04\datasets\gotham2025\derived\kitsune115_1m_slurm_cache_pipeline_v1\per_file_cache\iotsim-cooler-motor-1_id_benign_train_f157393e9b00_X.npy,f157393e9b008674562ccc8af925cc81dda47004ae340a541df08cb59502f495,false
id_benign_train,processed/iotsim-cooler-motor-3.csv,22478,stateful_train_chain_required,,D:\study\paper\anomaly_detection\paper04\datasets\gotham2025\derived\kitsune115_1m_slurm_cache_pipeline_v1\per_file_cache\iotsim-cooler-motor-3_id_benign_train_d841a09d7806_X.npy,d841a09d78068190a151adfcd9e311890ef382b76b12ca4de145e185f229546a,false
id_benign_train,processed/iotsim-cooler-motor-4.csv,22478,stateful_train_chain_required,,D:\study\paper\anomaly_detection\paper04\datasets\gotham2025\derived\kitsune115_1m_slurm_cache_pipeline_v1\per_file_cache\iotsim-cooler-motor-4_id_benign_train_986c4de1d418_X.npy,986c4de1d418ce6ddadfa8fdf51de8f6ee7e0e5b8437ca34be83a19d4e8898b6,false
id_benign_train,processed/iotsim-cooler-motor-10.csv,22476,stateful_train_chain_required,,D:\study\paper\anomaly_detection\paper04\datasets\gotham2025\derived\kitsune115_1m_slurm_cache_pipeline_v1\per_file_cache\iotsim-cooler-motor-10_id_benign_train_8415ca623d08_X.npy,8415ca623d088534dd00ef8021424c1bf4491f9e79a89ae238b60d5fcd9b67db,false
id_benign_train,processed/iotsim-cooler-motor-14.csv,22475,stateful_train_chain_required,,D:\study\paper\anomaly_detection\paper04\datasets\gotham2025\derived\kitsune115_1m_slurm_cache_pipeline_v1\per_file_cache\iotsim-cooler-motor-14_id_benign_train_fb0e2fd61ba2_X.npy,fb0e2fd61ba2841065309335a8462cf8aabae48cbac851c2d05f35009a86ccff,false
id_benign_train,processed/iotsim-cooler-motor-11.csv,22472,stateful_train_chain_required,,D:\study\paper\anomaly_detection\paper04\datasets\gotham2025\derived\kitsune115_1m_slurm_cache_pipeline_v1\per_file_cache\iotsim-cooler-motor-11_id_benign_train_746df3c8f05b_X.npy,746df3c8f05bed90c5e63149877c1a3ab9d0c6fc58f3e99c32459466d1682161,false
id_benign_train,processed/iotsim-cooler-motor-13.csv,15404,stateful_train_chain_required,,D:\study\paper\anomaly_detection\paper04\datasets\gotham2025\derived\kitsune115_1m_slurm_cache_pipeline_v1\per_file_cache\iotsim-cooler-motor-13_id_benign_train_46811b2d133f_X.npy,46811b2d133f095f53a7a069bc1060454fbe0ba989775a7f2c9f6961b81da2ac,false
id_benign_calib,processed/iotsim-combined-cycle-tls-3.csv,1944,existing_valid,D:\study\paper\anomaly_detection\paper04\datasets\gotham2025\derived\kitsune115_larger_sanity_500k_v1\per_file_cache,D:\study\paper\anomaly_detection\paper04\datasets\gotham2025\derived\kitsune115_1m_slurm_cache_pipeline_v1\per_file_cache\iotsim-combined-cycle-tls-3_id_benign_calib_84b564340b28_X.npy,84b564340b2823fa7e30a8800e47ced5306a056095635d4159f40ad18bea1a72,true
id_benign_calib,processed/iotsim-combined-cycle-tls-4.csv,1944,existing_valid,D:\study\paper\anomaly_detection\paper04\datasets\gotham2025\derived\kitsune115_larger_sanity_500k_v1\per_file_cache,D:\study\paper\anomaly_detection\paper04\datasets\gotham2025\derived\kitsune115_1m_slurm_cache_pipeline_v1\per_file_cache\iotsim-combined-cycle-tls-4_id_benign_calib_979e52574e84_X.npy,979e52574e84bcc38eaec049015786da6cfa0c015767330a8d24995a035aa75a,true
id_benign_calib,processed/iotsim-combined-cycle-tls-5.csv,1944,existing_valid,D:\study\paper\anomaly_detection\paper04\datasets\gotham2025\derived\kitsune115_larger_sanity_500k_v1\per_file_cache,D:\study\paper\anomaly_detection\paper04\datasets\gotham2025\derived\kitsune115_1m_slurm_cache_pipeline_v1\per_file_cache\iotsim-combined-cycle-tls-5_id_benign_calib_e3c6fb69c397_X.npy,e3c6fb69c397dddfca4fc9f2200ea6ec2a5caee283f4b3b7afebe197fd6aaae3,true
