role,csv_member,pcap_member,target_rows,emitted_rows,packets_scanned,pre_record_packets,parse_errors,first_timestamp_epoch,last_timestamp_epoch,state_hash_before,state_hash_after,max_scan_packets,completed_target,report_only,selection_allowed,elapsed_seconds,cache_key,cache_status
id_benign_train,processed/iotsim-cooler-motor-1.csv,raw/benign/iotsim-cooler-motor-13_0-0_to_OpenvSwitch-20_3-0.pcap,23217,23217,23217,0,0,1736880012.222115,1736887645.220764,82a35e32cac3aa67eb7f14087f4a7db4683203e9c73d17e62cb1b123ce9b9979,e97c3a3f691e6adbba18b5185c26acea3a220544796a0b8e77b04f4ddfd26e07,28267,True,False,False,8.886,f157393e9b008674562ccc8af925cc81dda47004ae340a541df08cb59502f495,disabled_stateful_id_train
id_benign_train,processed/iotsim-cooler-motor-3.csv,raw/benign/iotsim-cooler-motor-3_0-0_to_OpenvSwitch-18_3-0.pcap,22478,22478,22479,0,0,1736880006.957577,1736887469.20183,d63e3152eb7a5230f0d49f454353353383db664e266595a34d7a698c9895507f,1e8cc0ca50ce3b85d69dc5db7cfc42068d488022a0516f1bef4e460a4e208962,27528,True,False,False,8.23,d841a09d78068190a151adfcd9e311890ef382b76b12ca4de145e185f229546a,disabled_stateful_id_train
id_benign_train,processed/iotsim-cooler-motor-4.csv,raw/benign/iotsim-cooler-motor-4_0-0_to_OpenvSwitch-18_4-0.pcap,22478,22478,22479,0,0,1736880004.613872,1736887463.346799,e7ea3f0d3273cd47e3389c0f34af26dd66c4a4c408708e3631fa170c0fe9c272,ae4c54023397f9742866b06ce58a9b9e7eb36dae2015e1ff906a5020eda7c495,27528,True,False,False,10.749,986c4de1d418ce6ddadfa8fdf51de8f6ee7e0e5b8437ca34be83a19d4e8898b6,disabled_stateful_id_train
id_benign_train,processed/iotsim-cooler-motor-10.csv,raw/benign/iotsim-cooler-motor-10_0-0_to_OpenvSwitch-18_10-0.pcap,22476,22476,22477,0,0,1736880005.727301,1736887463.90438,28355455c843a03cc9e44b896f51fb88c511a9cdc96f6a90e2a38b0b069f2fd9,ea95243f47369173881123b817b21d9c5a07b68c355f3fdc167ebd0374c15e04,27526,True,False,False,10.925,8415ca623d088534dd00ef8021424c1bf4491f9e79a89ae238b60d5fcd9b67db,disabled_stateful_id_train
id_benign_train,processed/iotsim-cooler-motor-14.csv,raw/benign/iotsim-cooler-motor-14_0-0_to_OpenvSwitch-20_4-0.pcap,22475,22475,22476,0,0,1736880011.709856,1736887469.948496,833f58c1a4e213c212dd82ffa03a4bf3b039309c3ac6c8323c36ec9bc289d3a7,a22c8fbe993999cd4b021e5b5fe6b7a2b73b7a8e962c952466279340fe072da5,27525,True,False,False,10.247,fb0e2fd61ba2841065309335a8462cf8aabae48cbac851c2d05f35009a86ccff,disabled_stateful_id_train
id_benign_train,processed/iotsim-cooler-motor-11.csv,raw/benign/iotsim-cooler-motor-11_0-0_to_OpenvSwitch-20_1-0.pcap,22472,22472,22473,0,0,1736880011.186186,1736887467.717429,4aa8329aaf4fd2935c3ed43fa3d6934f01591d8b320b11b2120bf6e36c8e58a4,93945db2957e3989d9f97d4dd84036693dab4f7809c8728e6c7f38a19d5c02ef,27522,True,False,False,10.497,746df3c8f05bed90c5e63149877c1a3ab9d0c6fc58f3e99c32459466d1682161,disabled_stateful_id_train
id_benign_train,processed/iotsim-cooler-motor-13.csv,raw/benign/iotsim-cooler-motor-13_0-0_to_OpenvSwitch-20_3-0.pcap,15404,15404,15405,0,0,1736880012.222115,1736884969.917426,853f902fbe79161f4d6fceb78b4115bc16913c731ea303d22410eb8e6f0e20df,9171ec5d37d6a2fc3a8feb615aa0b961905044656cb45444b8e505d811bcfc28,20454,True,False,False,6.451,46811b2d133f095f53a7a069bc1060454fbe0ba989775a7f2c9f6961b81da2ac,disabled_stateful_id_train
id_benign_calib,processed/iotsim-combined-cycle-tls-3.csv,raw/benign/iotsim-combined-cycle-tls-3_0-0_to_OpenvSwitch-14_3-0.pcap,1944,1944,1945,0,0,1736879997.53583,1736885047.327238,2249b7c83fbaffae1f56bd97c30edb86b2748bee3b7ad5756a10746c473addc8,226e11de61d0d03a30881c586fb5185bab6e1250ed65a8579b18154e272a75ff,6994,True,False,False,1.415,84b564340b2823fa7e30a8800e47ced5306a056095635d4159f40ad18bea1a72,miss_written
id_benign_calib,processed/iotsim-combined-cycle-tls-4.csv,raw/benign/iotsim-combined-cycle-tls-4_0-0_to_OpenvSwitch-14_4-0.pcap,1944,1944,1945,0,0,1736879998.049795,1736885050.526634,68235cbd17b38bb90fd1f746d88eecbf4c107c9a76bca4c9571d78cbcc1c017a,3f52940229d4e9c73b5e83c4078c352e3a8ef77a1994671d880c89579f1c774d,6994,True,False,False,2.456,979e52574e84bcc38eaec049015786da6cfa0c015767330a8d24995a035aa75a,miss_written
id_benign_calib,processed/iotsim-combined-cycle-tls-5.csv,raw/benign/iotsim-combined-cycle-tls-5_0-0_to_OpenvSwitch-14_5-0.pcap,1944,1944,1945,0,0,1736879998.049585,1736885053.0797,c078181674babf62eeaa805d8a2de2a19ed7a444b5523273056a63914902b06c,c051360c91329e91173976eaa9e2d48553c33002ed655df01495b69251066c13,6994,True,False,False,2.622,e3c6fb69c397dddfca4fc9f2200ea6ec2a5caee283f4b3b7afebe197fd6aaae3,miss_written
