role,csv_member,cacheable,cache_status,cache_key,target_rows,emitted_rows,elapsed_seconds
id_benign_train,processed/iotsim-cooler-motor-1.csv,false,disabled_stateful_id_train,f157393e9b008674562ccc8af925cc81dda47004ae340a541df08cb59502f495,23217,23217,8.886
id_benign_train,processed/iotsim-cooler-motor-3.csv,false,disabled_stateful_id_train,d841a09d78068190a151adfcd9e311890ef382b76b12ca4de145e185f229546a,22478,22478,8.23
id_benign_train,processed/iotsim-cooler-motor-4.csv,false,disabled_stateful_id_train,986c4de1d418ce6ddadfa8fdf51de8f6ee7e0e5b8437ca34be83a19d4e8898b6,22478,22478,10.749
id_benign_train,processed/iotsim-cooler-motor-10.csv,false,disabled_stateful_id_train,8415ca623d088534dd00ef8021424c1bf4491f9e79a89ae238b60d5fcd9b67db,22476,22476,10.925
id_benign_train,processed/iotsim-cooler-motor-14.csv,false,disabled_stateful_id_train,fb0e2fd61ba2841065309335a8462cf8aabae48cbac851c2d05f35009a86ccff,22475,22475,10.247
id_benign_train,processed/iotsim-cooler-motor-11.csv,false,disabled_stateful_id_train,746df3c8f05bed90c5e63149877c1a3ab9d0c6fc58f3e99c32459466d1682161,22472,22472,10.497
id_benign_train,processed/iotsim-cooler-motor-13.csv,false,disabled_stateful_id_train,46811b2d133f095f53a7a069bc1060454fbe0ba989775a7f2c9f6961b81da2ac,15404,15404,6.451
id_benign_calib,processed/iotsim-combined-cycle-tls-3.csv,true,miss_written,84b564340b2823fa7e30a8800e47ced5306a056095635d4159f40ad18bea1a72,1944,1944,1.415
id_benign_calib,processed/iotsim-combined-cycle-tls-4.csv,true,miss_written,979e52574e84bcc38eaec049015786da6cfa0c015767330a8d24995a035aa75a,1944,1944,2.456
id_benign_calib,processed/iotsim-combined-cycle-tls-5.csv,true,miss_written,e3c6fb69c397dddfca4fc9f2200ea6ec2a5caee283f4b3b7afebe197fd6aaae3,1944,1944,2.622
id_benign_calib,processed/iotsim-cooler-motor-7.csv,true,miss_written,3fee5af8174fd1ca491c2062251d0022782492fd2a4f4a28b79ef3c31ae61652,22475,22475,21.968
id_benign_calib,processed/iotsim-cooler-motor-9.csv,true,miss_written,fc3c4faf6b531220b359a35311642a940c9f54194eb401b55c5681e9163ddf66,1693,1693,1.954
ood_benign_val,processed/iotsim-hydraulic-system-1.csv,true,miss_written,e7fec2e379f6a4700f645a315698825ad36aa2103d266a9eb25244671fd03025,3869,3869,7.864
ood_benign_val,processed/iotsim-hydraulic-system-10.csv,true,miss_written,cd9f437147a4f13ff148209f282d44a605f50e39e545092720bfff43a8ea8ee2,2506,2506,5.113
ood_benign_val,processed/iotsim-hydraulic-system-2.csv,true,miss_written,1cdb3b30a2056398b5510f26951e16f22a16ce3114665442f88bde628d7b596d,2501,2501,5.036
ood_benign_val,processed/iotsim-hydraulic-system-12.csv,true,miss_written,18a8cdb7b98b99073eee47226ee0c57347bcbcb6db641688f7ee761e164c736c,2496,2496,5.009
ood_benign_val,processed/iotsim-hydraulic-system-15.csv,true,miss_written,b4c01fc05c63768a7f177ec70eabfb24b307b6daf3b0a655aa7f9154770a5bf5,2496,2496,5.064
ood_benign_val,processed/iotsim-hydraulic-system-13.csv,true,miss_written,0fc2a601324f0b3b3ab6e83ca81e072643a82330aef411e960908473c831098e,2481,2481,5.124
ood_benign_val,processed/iotsim-hydraulic-system-14.csv,true,miss_written,dca5745722ca3dabf1712e6b8d0f468e04d87bc6cfcf971c3084b45a15a242b7,2481,2481,4.96
ood_benign_val,processed/iotsim-hydraulic-system-11.csv,true,miss_written,09a398d6fb1dfb4209f74ec424f929bec5e6396dba96d22fb326669adfa83f1b,2466,2466,4.874
ood_benign_val,processed/iotsim-building-monitor-2.csv,true,miss_written,423f5d7e6e0ad5e7ab7064c5a11b43acf977e5d3e1e96cac333b8eb94df55c00,1740,1740,9.801
ood_benign_val,processed/iotsim-building-monitor-3.csv,true,miss_written,5ce8e0abbbf4f923afd00276e2efa1c2a732e9df54096e526a29482085e23ae4,964,964,5.277
ood_benign_stress,processed/iotsim-stream-consumer-2.csv,true,miss_written,05aca9fb81b51383790a84293d23db860d67505b7995a7c68e1a8aac5c6230c3,80000,80000,59.149
sealed_final_ood,processed/iotsim-ip-camera-museum-2.csv,true,miss_written,40a3e850290ac6d2e0f15fb22d4df0596196f0fcb7d3321e31582419541d39e8,55000,55000,26.653
attack_support_candidate_pool,processed/iotsim-city-power-1.csv,true,miss_written,eca88cb925b84e5834d6b253cface68b7d2ab5e577cf3481fb5cae64ff5cf575,45000,45000,245.938
dev_future_attack_query,processed/iotsim-ip-camera-museum-1.csv,true,miss_written,51f6434dcdd4788303097cb4fe5c00e52ee3503c1063f61f81ba385eb4c36cd0,80000,80000,507.144
sealed_final_attack,processed/iotsim-ip-camera-street-1.csv,true,miss_written,ec36bcc4f5a82808547c9d77fea7d2cadd15a2235395f341bb72fcf1289f1b8b,35000,35000,292.472
