title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
Knowml: Improving generalization of ML-NIDS with attack knowledge graphs,"XF Guo, X Zheng, AM Penuela…",2026,3,… learned representations to generalize poorly to unseen variants. … the false positive rate on the hold-out benign-only test set. … adversarial examples in network intrusion detection systems. …,avW6kVs6xuIJ,"XF Guo, X Zheng, AM Penuela… - … on Security and …, 2026 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/11623666/,unknown,unknown
Fed-DTCN: A Federated Disentangled Learning Framework for Unsupervised Zero-Day Anomaly Detection in IoT with Semantic-Aware Augmentation,"MA Khan, O Khalid, RNB Rais",2026,1,"… attack samples and consequently exhibit poor generalization … , an effective intrusion detection framework should satisfy … , benign-only training setting to enable zero-day detection when …",KVI0wqdiF5oJ,"MA Khan, O Khalid, RNB Rais - Sensors, 2026 - mdpi.com",[],https://www.mdpi.com/1424-8220/26/6/1918,unknown,unknown
A federated learning framework for enhanced data security and cyber intrusion detection in distributed network of underwater drones,"MS Popli, RP Singh, NK Popli, M Mamun",2025,46,"… benign-only datasets on each client, we then evaluate its performance on a test dataset containing both benign and attack … to generalize well, even when trained on benign-only datasets…",Dvtz9jrV9nMJ,"MS Popli, RP Singh, NK Popli, M Mamun - IEEE Access, 2025 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/10843690/,unknown,unknown
Adversarial-Example Agnostic Detection in Network Intrusion Detection Systems,"J Li, W Zong, YW Chow, W Susilo",2026,0,"… the generalization to abnormally parameterized attacks and … limit their ability to handle unseen attacks. Even methods that … Building on these ideas, we combine benign-only contrastive …",s-jXhjBY-dIJ,"J Li, W Zong, YW Chow, W Susilo - … Conference on Information Security …, 2026 - Springer",[],https://link.springer.com/chapter/10.1007/978-981-92-3018-1_9,unknown,unknown
Quantum–Enhanced Intrusion Detection Using Quantum Circuit Born Machines for Zero-Day Attack Detection,"W Al Malwi, F Asiri, MS Khan",2026,0,… imbalance and generalisation limits in intrusion detection. Early … computes feature-wise benign-only quartiles from the training … intrusion detection model to generalise to unseen attack …,z4bZxT44oZcJ,"W Al Malwi, F Asiri, MS Khan - Computers, Materials & Continua, 2026 - sciopen.com",[],https://www.sciopen.com/article/10.32604/cmc.2026.075326,unknown,unknown
LENS-Guard: A Lightweight Hybrid VAE-CNN for High-Recall Detection of Known and Unknown Network Intrusions,"SM Rizvi, R Bhuiyan, FA Jibon…",2026,0,… This benign-only data was used to train a 1D Variational … • True generalization testing: We will evaluate LENSGuard on … for intrusion detection in iot and iiot networks using cnn-lstm-…,jaHeQve3f1kJ,"SM Rizvi, R Bhuiyan, FA Jibon… - 2026 5th …, 2026 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/11429313/,unknown,unknown
Beyond Retraining: Source-Free Adaptation for Generalizable Intrusion Detection,"D Sudyana, WY Xuan, L D'hooge…",2026,0,… chine learning (ML) models capable of detecting both known and unseen attacks [1]. By … • Generalization across unseen domains. We address the generalization gap in unsupervised …,nTPKPnWUQ44J,"D Sudyana, WY Xuan, L D'hooge… - ICC 2026-IEEE …, 2026 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/11588023/,unknown,unknown
Normalizing-Flow-Based Anomaly Scoring for Intelligent Network Intrusion Detection,"A Ammar, A Al Bassam",2025,3,"… , lack interpretability, or are incapable of generalizing well to various types of attacks [7, 15]. … with benign-only data, flows can characterize normal traffic and thereby label unseen attacks …",2RYeLpviNMwJ,"A Ammar, A Al Bassam - … , Artificial Intelligence, and Networking …, 2025 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/11171745/,unknown,unknown
Multi-stage enhanced zero trust intrusion detection system for unknown attack detection in internet of things and traditional networks,"M Al-Zewairi, S Almajali, M Ayyash, M Rahouti…",2025,20,"… capable of detecting and mitigating previously unseen attacks. … , an instance is classified as benign only if at least one classifier at … overfitting or a lack of generalizability in those cases. …",OQxQkbhrdrIJ,"M Al-Zewairi, S Almajali, M Ayyash, M Rahouti… - … on Privacy and Security, 2025 - dl.acm.org",[],https://dl.acm.org/doi/abs/10.1145/3725216,unknown,unknown
Adaptive Intrusion Detection Systems: Leveraging Meta-Learning for Improved Cybersecurity,"AR Ridoy, AK Biswas",2026,1,"… attack set) still anchor the decision boundary to known attack geometry. In contrast, our dual-engine benignonly … for generalization across these heterogeneous network domains. 1) …",-hS2rRFSshIJ,"AR Ridoy, AK Biswas - IEEE Transactions on Network and …, 2026 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/11575623/,unknown,unknown
