label_region_id,registry_version,exact_attack_label,semantic_attack_group,region_kind,membership_authority,active_for_label_management,allowed_for_unknown_traffic_autorouting,base_support_train_rows,frozen_support_val_rows,base_total_rows,provenance_source_count,current_training_view,current_validation_view,geometry_diagnostic_status,geometry_diagnostic_source,geometry_diagnostic_is_membership_gate,production_extension_budget_profile
label_region_12d158d5d9fcf840,label_support_region_registry_v1,File Download,tooling,label_support_region,human_confirmed_exact_label,True,False,15,5,20,1,support_train_view_v1,support_val_view_v1,ambiguous_region,issue27ckd_V1_frozen512_two_medoid,False,not_certified_promotion_disabled
label_region_3f94ccb61bacb425,label_support_region_registry_v1,Ingress Tool Transfer,tooling,label_support_region,human_confirmed_exact_label,True,False,18,5,23,1,support_train_view_v1,support_val_view_v1,active_conflict_sensitive,issue27ckd_V1_frozen512_two_medoid,False,not_certified_promotion_disabled
label_region_82457f56c515cd8d,label_support_region_registry_v1,Merlin C&C Communication,merlin,label_support_region,human_confirmed_exact_label,True,False,30,10,40,1,support_train_view_v1,support_val_view_v1,ambiguous_region,issue27ckd_V1_frozen512_two_medoid,False,not_certified_promotion_disabled
label_region_14a9679511df9edc,label_support_region_registry_v1,Merlin ICMP Flooding,merlin,label_support_region,human_confirmed_exact_label,True,False,43,14,57,2,support_train_view_v1,support_val_view_v1,active_conflict_sensitive,issue27ckd_V1_frozen512_two_medoid,False,not_certified_promotion_disabled
label_region_db1948413ff127ee,label_support_region_registry_v1,Merlin TCP Flooding,merlin,label_support_region,human_confirmed_exact_label,True,False,60,20,80,2,support_train_view_v1,support_val_view_v1,ambiguous_region,issue27ckd_V1_frozen512_two_medoid,False,not_certified_promotion_disabled
label_region_490faa565357d23a,label_support_region_registry_v1,Merlin UDP Flooding,merlin,label_support_region,human_confirmed_exact_label,True,False,30,10,40,2,support_train_view_v1,support_val_view_v1,active_conflict_sensitive,issue27ckd_V1_frozen512_two_medoid,False,not_certified_promotion_disabled
label_region_c442f198c9062120,label_support_region_registry_v1,Mirai C&C Communication,mirai,label_support_region,human_confirmed_exact_label,True,False,9,3,12,1,support_train_view_v1,support_val_view_v1,ambiguous_region,issue27ckd_V1_frozen512_two_medoid,False,not_certified_promotion_disabled
label_region_4cf30d2cf74a44b3,label_support_region_registry_v1,Mirai GRE Flooding,mirai,label_support_region,human_confirmed_exact_label,True,False,60,20,80,2,support_train_view_v1,support_val_view_v1,active_strong,issue27ckd_V1_frozen512_two_medoid,False,not_certified_promotion_disabled
label_region_c71fee9d3fbeb4cd,label_support_region_registry_v1,Mirai TCP Flooding,mirai,label_support_region,human_confirmed_exact_label,True,False,60,20,80,2,support_train_view_v1,support_val_view_v1,ambiguous_region,issue27ckd_V1_frozen512_two_medoid,False,not_certified_promotion_disabled
label_region_1aea2de67bbbb560,label_support_region_registry_v1,Mirai UDP Flooding,mirai,label_support_region,human_confirmed_exact_label,True,False,60,20,80,2,support_train_view_v1,support_val_view_v1,active_strong,issue27ckd_V1_frozen512_two_medoid,False,not_certified_promotion_disabled
