seed,budget,requested_labels,confirmed_attack_labels,label_efficiency,active_candidate_pool_rows,dev_query_rows,selected_local_indices_sha256,confirmed_attack_local_indices_sha256,candidate_count,uncovered_candidate_count,selector,support_val_p95_radius,uses_candidate_labels_for_selection,uses_query_labels_for_selection,selection_rank_detail,selected_local_index,csv_member,packet_index,oracle_label_after_selection,uses_label_for_selection,selected_file_count_json
42,0,0,0,0.0,2000,4000,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,2000,0,none_budget_0,,,,,,,,,,
42,4,4,4,1.0,2000,4000,f6d52549b8436176121e0a3b9544332b1a102b070834757c8a1331c62c80b02e,f6d52549b8436176121e0a3b9544332b1a102b070834757c8a1331c62c80b02e,2000,1756,coverage_aware_uncovered_first_farthest_first_feature_only,6.598090171813965,False,False,,,,,,,
42,4,,,,,,,,,,,,,,0,681,processed/iotsim-ip-camera-museum-1.csv,645234,attack,False,"{""processed/iotsim-ip-camera-museum-1.csv"": 1, ""processed/iotsim-ip-camera-street-1.csv"": 3}"
42,4,,,,,,,,,,,,,,1,3158,processed/iotsim-ip-camera-street-1.csv,413271,attack,False,"{""processed/iotsim-ip-camera-museum-1.csv"": 1, ""processed/iotsim-ip-camera-street-1.csv"": 3}"
42,4,,,,,,,,,,,,,,2,3608,processed/iotsim-ip-camera-street-1.csv,413721,attack,False,"{""processed/iotsim-ip-camera-museum-1.csv"": 1, ""processed/iotsim-ip-camera-street-1.csv"": 3}"
42,4,,,,,,,,,,,,,,3,3613,processed/iotsim-ip-camera-street-1.csv,413726,attack,False,"{""processed/iotsim-ip-camera-museum-1.csv"": 1, ""processed/iotsim-ip-camera-street-1.csv"": 3}"
42,8,8,8,1.0,2000,4000,c46442b57e9df74aa2f5ffafc40f0ab5a218518a7cde052b09928ce4017fb065,c46442b57e9df74aa2f5ffafc40f0ab5a218518a7cde052b09928ce4017fb065,2000,1756,coverage_aware_uncovered_first_farthest_first_feature_only,6.598090171813965,False,False,,,,,,,
42,8,,,,,,,,,,,,,,0,85,processed/iotsim-ip-camera-museum-1.csv,644638,attack,False,"{""processed/iotsim-ip-camera-museum-1.csv"": 4, ""processed/iotsim-ip-camera-street-1.csv"": 4}"
42,8,,,,,,,,,,,,,,1,516,processed/iotsim-ip-camera-museum-1.csv,645069,attack,False,"{""processed/iotsim-ip-camera-museum-1.csv"": 4, ""processed/iotsim-ip-camera-street-1.csv"": 4}"
42,8,,,,,,,,,,,,,,2,681,processed/iotsim-ip-camera-museum-1.csv,645234,attack,False,"{""processed/iotsim-ip-camera-museum-1.csv"": 4, ""processed/iotsim-ip-camera-street-1.csv"": 4}"
42,8,,,,,,,,,,,,,,3,999,processed/iotsim-ip-camera-museum-1.csv,645552,attack,False,"{""processed/iotsim-ip-camera-museum-1.csv"": 4, ""processed/iotsim-ip-camera-street-1.csv"": 4}"
42,8,,,,,,,,,,,,,,4,3001,processed/iotsim-ip-camera-street-1.csv,413114,attack,False,"{""processed/iotsim-ip-camera-museum-1.csv"": 4, ""processed/iotsim-ip-camera-street-1.csv"": 4}"
42,8,,,,,,,,,,,,,,5,3158,processed/iotsim-ip-camera-street-1.csv,413271,attack,False,"{""processed/iotsim-ip-camera-museum-1.csv"": 4, ""processed/iotsim-ip-camera-street-1.csv"": 4}"
42,8,,,,,,,,,,,,,,6,3608,processed/iotsim-ip-camera-street-1.csv,413721,attack,False,"{""processed/iotsim-ip-camera-museum-1.csv"": 4, ""processed/iotsim-ip-camera-street-1.csv"": 4}"
42,8,,,,,,,,,,,,,,7,3613,processed/iotsim-ip-camera-street-1.csv,413726,attack,False,"{""processed/iotsim-ip-camera-museum-1.csv"": 4, ""processed/iotsim-ip-camera-street-1.csv"": 4}"
42,16,16,16,1.0,2000,4000,1ccd0f48dd7310e96770cb44283e927df04786ea62ed5508be8fd2bf13870080,1ccd0f48dd7310e96770cb44283e927df04786ea62ed5508be8fd2bf13870080,2000,1756,coverage_aware_uncovered_first_farthest_first_feature_only,6.598090171813965,False,False,,,,,,,
42,16,,,,,,,,,,,,,,0,44,processed/iotsim-ip-camera-museum-1.csv,644597,attack,False,"{""processed/iotsim-ip-camera-museum-1.csv"": 9, ""processed/iotsim-ip-camera-street-1.csv"": 7}"
42,16,,,,,,,,,,,,,,1,46,processed/iotsim-ip-camera-museum-1.csv,644599,attack,False,"{""processed/iotsim-ip-camera-museum-1.csv"": 9, ""processed/iotsim-ip-camera-street-1.csv"": 7}"
42,16,,,,,,,,,,,,,,2,85,processed/iotsim-ip-camera-museum-1.csv,644638,attack,False,"{""processed/iotsim-ip-camera-museum-1.csv"": 9, ""processed/iotsim-ip-camera-street-1.csv"": 7}"
42,16,,,,,,,,,,,,,,3,494,processed/iotsim-ip-camera-museum-1.csv,645047,attack,False,"{""processed/iotsim-ip-camera-museum-1.csv"": 9, ""processed/iotsim-ip-camera-street-1.csv"": 7}"
42,16,,,,,,,,,,,,,,4,516,processed/iotsim-ip-camera-museum-1.csv,645069,attack,False,"{""processed/iotsim-ip-camera-museum-1.csv"": 9, ""processed/iotsim-ip-camera-street-1.csv"": 7}"
42,16,,,,,,,,,,,,,,5,596,processed/iotsim-ip-camera-museum-1.csv,645149,attack,False,"{""processed/iotsim-ip-camera-museum-1.csv"": 9, ""processed/iotsim-ip-camera-street-1.csv"": 7}"
42,16,,,,,,,,,,,,,,6,631,processed/iotsim-ip-camera-museum-1.csv,645184,attack,False,"{""processed/iotsim-ip-camera-museum-1.csv"": 9, ""processed/iotsim-ip-camera-street-1.csv"": 7}"
42,16,,,,,,,,,,,,,,7,681,processed/iotsim-ip-camera-museum-1.csv,645234,attack,False,"{""processed/iotsim-ip-camera-museum-1.csv"": 9, ""processed/iotsim-ip-camera-street-1.csv"": 7}"
42,16,,,,,,,,,,,,,,8,999,processed/iotsim-ip-camera-museum-1.csv,645552,attack,False,"{""processed/iotsim-ip-camera-museum-1.csv"": 9, ""processed/iotsim-ip-camera-street-1.csv"": 7}"
42,16,,,,,,,,,,,,,,9,3001,processed/iotsim-ip-camera-street-1.csv,413114,attack,False,"{""processed/iotsim-ip-camera-museum-1.csv"": 9, ""processed/iotsim-ip-camera-street-1.csv"": 7}"
42,16,,,,,,,,,,,,,,10,3007,processed/iotsim-ip-camera-street-1.csv,413120,attack,False,"{""processed/iotsim-ip-camera-museum-1.csv"": 9, ""processed/iotsim-ip-camera-street-1.csv"": 7}"
42,16,,,,,,,,,,,,,,11,3158,processed/iotsim-ip-camera-street-1.csv,413271,attack,False,"{""processed/iotsim-ip-camera-museum-1.csv"": 9, ""processed/iotsim-ip-camera-street-1.csv"": 7}"
42,16,,,,,,,,,,,,,,12,3159,processed/iotsim-ip-camera-street-1.csv,413272,attack,False,"{""processed/iotsim-ip-camera-museum-1.csv"": 9, ""processed/iotsim-ip-camera-street-1.csv"": 7}"
42,16,,,,,,,,,,,,,,13,3607,processed/iotsim-ip-camera-street-1.csv,413720,attack,False,"{""processed/iotsim-ip-camera-museum-1.csv"": 9, ""processed/iotsim-ip-camera-street-1.csv"": 7}"
42,16,,,,,,,,,,,,,,14,3608,processed/iotsim-ip-camera-street-1.csv,413721,attack,False,"{""processed/iotsim-ip-camera-museum-1.csv"": 9, ""processed/iotsim-ip-camera-street-1.csv"": 7}"
42,16,,,,,,,,,,,,,,15,3613,processed/iotsim-ip-camera-street-1.csv,413726,attack,False,"{""processed/iotsim-ip-camera-museum-1.csv"": 9, ""processed/iotsim-ip-camera-street-1.csv"": 7}"
42,32,32,32,1.0,2000,4000,cfedbe18c31dd99d2b4b6bbab58f7d1143609780318306b7735b91ed31229715,cfedbe18c31dd99d2b4b6bbab58f7d1143609780318306b7735b91ed31229715,2000,1756,coverage_aware_uncovered_first_farthest_first_feature_only,6.598090171813965,False,False,,,,,,,
42,32,,,,,,,,,,,,,,0,44,processed/iotsim-ip-camera-museum-1.csv,644597,attack,False,"{""processed/iotsim-ip-camera-museum-1.csv"": 15, ""processed/iotsim-ip-camera-street-1.csv"": 17}"
42,32,,,,,,,,,,,,,,1,46,processed/iotsim-ip-camera-museum-1.csv,644599,attack,False,"{""processed/iotsim-ip-camera-museum-1.csv"": 15, ""processed/iotsim-ip-camera-street-1.csv"": 17}"
42,32,,,,,,,,,,,,,,2,85,processed/iotsim-ip-camera-museum-1.csv,644638,attack,False,"{""processed/iotsim-ip-camera-museum-1.csv"": 15, ""processed/iotsim-ip-camera-street-1.csv"": 17}"
