seed,budget,fit_roles,threshold_roles,active_selection_inputs,report_only_roles,uses_candidate_labels_for_active_selection,uses_dev_query_for_active_selection,uses_final_ood_for_selection,uses_attack_eval_for_selection,forbidden_role_access
44,0,id_fit_from_id_benign_train|ood_train_guard_from_ood_benign_val|base_attack_support_train|oracle_confirmed_active_labels_from_dev_active_stream,id_calib_from_id_benign_train|ood_val_calib_from_ood_benign_val|base_support_val,dev_active_stream_features_only|base_support_train_features|base_support_val_distance_quantiles,final_ood_benign_eval|attack_eval|dev_heavy_query_after_active_labeling,False,False,False,False,False
44,4,id_fit_from_id_benign_train|ood_train_guard_from_ood_benign_val|base_attack_support_train|oracle_confirmed_active_labels_from_dev_active_stream,id_calib_from_id_benign_train|ood_val_calib_from_ood_benign_val|base_support_val,dev_active_stream_features_only|base_support_train_features|base_support_val_distance_quantiles,final_ood_benign_eval|attack_eval|dev_heavy_query_after_active_labeling,False,False,False,False,False
44,8,id_fit_from_id_benign_train|ood_train_guard_from_ood_benign_val|base_attack_support_train|oracle_confirmed_active_labels_from_dev_active_stream,id_calib_from_id_benign_train|ood_val_calib_from_ood_benign_val|base_support_val,dev_active_stream_features_only|base_support_train_features|base_support_val_distance_quantiles,final_ood_benign_eval|attack_eval|dev_heavy_query_after_active_labeling,False,False,False,False,False
44,16,id_fit_from_id_benign_train|ood_train_guard_from_ood_benign_val|base_attack_support_train|oracle_confirmed_active_labels_from_dev_active_stream,id_calib_from_id_benign_train|ood_val_calib_from_ood_benign_val|base_support_val,dev_active_stream_features_only|base_support_train_features|base_support_val_distance_quantiles,final_ood_benign_eval|attack_eval|dev_heavy_query_after_active_labeling,False,False,False,False,False
44,32,id_fit_from_id_benign_train|ood_train_guard_from_ood_benign_val|base_attack_support_train|oracle_confirmed_active_labels_from_dev_active_stream,id_calib_from_id_benign_train|ood_val_calib_from_ood_benign_val|base_support_val,dev_active_stream_features_only|base_support_train_features|base_support_val_distance_quantiles,final_ood_benign_eval|attack_eval|dev_heavy_query_after_active_labeling,False,False,False,False,False
45,0,id_fit_from_id_benign_train|ood_train_guard_from_ood_benign_val|base_attack_support_train|oracle_confirmed_active_labels_from_dev_active_stream,id_calib_from_id_benign_train|ood_val_calib_from_ood_benign_val|base_support_val,dev_active_stream_features_only|base_support_train_features|base_support_val_distance_quantiles,final_ood_benign_eval|attack_eval|dev_heavy_query_after_active_labeling,False,False,False,False,False
45,4,id_fit_from_id_benign_train|ood_train_guard_from_ood_benign_val|base_attack_support_train|oracle_confirmed_active_labels_from_dev_active_stream,id_calib_from_id_benign_train|ood_val_calib_from_ood_benign_val|base_support_val,dev_active_stream_features_only|base_support_train_features|base_support_val_distance_quantiles,final_ood_benign_eval|attack_eval|dev_heavy_query_after_active_labeling,False,False,False,False,False
45,8,id_fit_from_id_benign_train|ood_train_guard_from_ood_benign_val|base_attack_support_train|oracle_confirmed_active_labels_from_dev_active_stream,id_calib_from_id_benign_train|ood_val_calib_from_ood_benign_val|base_support_val,dev_active_stream_features_only|base_support_train_features|base_support_val_distance_quantiles,final_ood_benign_eval|attack_eval|dev_heavy_query_after_active_labeling,False,False,False,False,False
45,16,id_fit_from_id_benign_train|ood_train_guard_from_ood_benign_val|base_attack_support_train|oracle_confirmed_active_labels_from_dev_active_stream,id_calib_from_id_benign_train|ood_val_calib_from_ood_benign_val|base_support_val,dev_active_stream_features_only|base_support_train_features|base_support_val_distance_quantiles,final_ood_benign_eval|attack_eval|dev_heavy_query_after_active_labeling,False,False,False,False,False
45,32,id_fit_from_id_benign_train|ood_train_guard_from_ood_benign_val|base_attack_support_train|oracle_confirmed_active_labels_from_dev_active_stream,id_calib_from_id_benign_train|ood_val_calib_from_ood_benign_val|base_support_val,dev_active_stream_features_only|base_support_train_features|base_support_val_distance_quantiles,final_ood_benign_eval|attack_eval|dev_heavy_query_after_active_labeling,False,False,False,False,False
46,0,id_fit_from_id_benign_train|ood_train_guard_from_ood_benign_val|base_attack_support_train|oracle_confirmed_active_labels_from_dev_active_stream,id_calib_from_id_benign_train|ood_val_calib_from_ood_benign_val|base_support_val,dev_active_stream_features_only|base_support_train_features|base_support_val_distance_quantiles,final_ood_benign_eval|attack_eval|dev_heavy_query_after_active_labeling,False,False,False,False,False
46,4,id_fit_from_id_benign_train|ood_train_guard_from_ood_benign_val|base_attack_support_train|oracle_confirmed_active_labels_from_dev_active_stream,id_calib_from_id_benign_train|ood_val_calib_from_ood_benign_val|base_support_val,dev_active_stream_features_only|base_support_train_features|base_support_val_distance_quantiles,final_ood_benign_eval|attack_eval|dev_heavy_query_after_active_labeling,False,False,False,False,False
46,8,id_fit_from_id_benign_train|ood_train_guard_from_ood_benign_val|base_attack_support_train|oracle_confirmed_active_labels_from_dev_active_stream,id_calib_from_id_benign_train|ood_val_calib_from_ood_benign_val|base_support_val,dev_active_stream_features_only|base_support_train_features|base_support_val_distance_quantiles,final_ood_benign_eval|attack_eval|dev_heavy_query_after_active_labeling,False,False,False,False,False
46,16,id_fit_from_id_benign_train|ood_train_guard_from_ood_benign_val|base_attack_support_train|oracle_confirmed_active_labels_from_dev_active_stream,id_calib_from_id_benign_train|ood_val_calib_from_ood_benign_val|base_support_val,dev_active_stream_features_only|base_support_train_features|base_support_val_distance_quantiles,final_ood_benign_eval|attack_eval|dev_heavy_query_after_active_labeling,False,False,False,False,False
46,32,id_fit_from_id_benign_train|ood_train_guard_from_ood_benign_val|base_attack_support_train|oracle_confirmed_active_labels_from_dev_active_stream,id_calib_from_id_benign_train|ood_val_calib_from_ood_benign_val|base_support_val,dev_active_stream_features_only|base_support_train_features|base_support_val_distance_quantiles,final_ood_benign_eval|attack_eval|dev_heavy_query_after_active_labeling,False,False,False,False,False
