phase,method,input_representation,base_detector_role,adapter_role,setting,budget,seed_group,detection_mean,detection_min,ood_alarm_mean,ood_alarm_max,feasible_rate,main_conclusion,paper_role,claim_strength,source_run_path
Phase 0: cold-start ordinary setting,dA ordinary sanity,clean115,classic cold-start normal-only detector,not active; no attack supports required,ordinary normal-vs-attack; no OOD benign,NA,single dA reference,0.8641977423388547,0.8641977423388547,0.01074478381789,0.01074478381789,,dA is strong in the ordinary normal-vs-attack setting; later collapse should not be framed as dA being intrinsically weak.,appendix sanity / deployment timeline motivation,A-level ordinary-setting sanity for dA,D:\study\paper\anomaly_detection\paper04\worktrees\kitnet-exp-mainline\runs\issue02_original_da_normal_attack_sanity_run_2026-05-08
Phase 0: cold-start ordinary setting,Transformer ordinary same-subset sanity,clean115,plausible modern contextual base detector candidate,not active; no attack supports required,ordinary normal-vs-attack large-subset sanity; no OOD benign,NA,large-subset seed 20260508,0.8634,0.8634,0.0085,0.0085,,"Transformer is close to dA on the same normal-vs-attack subset, but not clearly superior.",appendix sanity / base detector candidate evidence,B-level same-subset sanity evidence,D:\study\paper\anomaly_detection\paper04\worktrees\kitnet-exp-mainline\runs\issue06b_transformer_normal_attack_sanity_run_2026-05-08
Phase 1: open-world low-OOD before adaptation,dA-only guarded low-OOD baseline,dA RMSE score,low-OOD collapse diagnostic baseline,not active,current low-OOD guarded protocol,NA,fixed baseline,0.0029090909090909,0.0029090909090909,0.0108,0.0108,0.0,dA shows near-zero attack detection at the guarded low-OOD working point.,main collapse reference / timeline Phase 1,A-level current-protocol baseline,D:\study\paper\anomaly_detection\paper04\worktrees\kitnet-exp-mainline\runs\issue07a_da_assisted_adapter_lowood_repair_2026-05-14
Phase 1: open-world low-OOD before adaptation,Transformer-only guarded low-OOD baseline,Transformer scalar anomaly score,modern base detector low-OOD diagnostic baseline,not active,current low-OOD guarded protocol,NA,fixed baseline,0.0029090909090909,0.0029090909090909,0.0109,0.0109,0.0,Transformer scalar score also collapses at the guarded low-OOD working point.,timeline Phase 1 / modern base detector diagnostic,B-level current-protocol scalar baseline,D:\study\paper\anomaly_detection\paper04\worktrees\kitnet-exp-mainline\runs\issue07b_transformer_assisted_adapter_lowood_repair_2026-05-14_rerun_with_recovered_scores
Phase 2: score-level adaptation attempt,dA score-only few-shot LR,dA scalar score,scalar score provider only,minimal few-shot LR adapter,current low-OOD guarded protocol,16,main seeds 42-46,0.0,0.0,0.0,0.0,1.0,Scalar dA score is insufficient for few-shot repair.,negative mechanism evidence / timeline Phase 2,C-level / negative score-fusion evidence,D:\study\paper\anomaly_detection\paper04\worktrees\kitnet-exp-mainline\runs\issue07a_da_assisted_adapter_lowood_repair_2026-05-14
Phase 2: score-level adaptation attempt,dA score-only few-shot LR,dA scalar score,scalar score provider only,minimal few-shot LR adapter,current low-OOD guarded protocol,32,main seeds 42-46,0.0,0.0,0.0,0.0,1.0,Scalar dA score is insufficient for few-shot repair.,negative mechanism evidence / timeline Phase 2,C-level / negative score-fusion evidence,D:\study\paper\anomaly_detection\paper04\worktrees\kitnet-exp-mainline\runs\issue07a_da_assisted_adapter_lowood_repair_2026-05-14
Phase 2: score-level adaptation attempt,original100 + dA score few-shot LR,original100 + dA scalar score,scalar score provider only,minimal few-shot LR adapter,current low-OOD guarded protocol,16,main seeds 42-46,0.9675636363636364,0.9141818181818182,0.00448,0.0092,1.0,Adding dA scalar score does not materially improve over original100-only LR.,negative mechanism evidence / timeline Phase 2,B-level negative fusion evidence,D:\study\paper\anomaly_detection\paper04\worktrees\kitnet-exp-mainline\runs\issue07a_da_assisted_adapter_lowood_repair_2026-05-14
Phase 2: score-level adaptation attempt,original100 + dA score few-shot LR,original100 + dA scalar score,scalar score provider only,minimal few-shot LR adapter,current low-OOD guarded protocol,32,main seeds 42-46,0.9406545454545456,0.9207272727272728,0.0065599999999999,0.0099,1.0,Adding dA scalar score does not materially improve over original100-only LR.,negative mechanism evidence / timeline Phase 2,B-level negative fusion evidence,D:\study\paper\anomaly_detection\paper04\worktrees\kitnet-exp-mainline\runs\issue07a_da_assisted_adapter_lowood_repair_2026-05-14
Phase 2: score-level adaptation attempt,Transformer score-only few-shot LR,Transformer scalar score,scalar score provider only,minimal few-shot LR adapter,current low-OOD guarded protocol,16,main seeds 42-46,0.0,0.0,0.0,0.0,1.0,Scalar Transformer score is insufficient for few-shot repair.,negative mechanism evidence / timeline Phase 2,C-level / negative score-fusion evidence,D:\study\paper\anomaly_detection\paper04\worktrees\kitnet-exp-mainline\runs\issue07b_transformer_assisted_adapter_lowood_repair_2026-05-14_rerun_with_recovered_scores
Phase 2: score-level adaptation attempt,Transformer score-only few-shot LR,Transformer scalar score,scalar score provider only,minimal few-shot LR adapter,current low-OOD guarded protocol,32,main seeds 42-46,0.0,0.0,0.0,0.0,1.0,Scalar Transformer score is insufficient for few-shot repair.,negative mechanism evidence / timeline Phase 2,C-level / negative score-fusion evidence,D:\study\paper\anomaly_detection\paper04\worktrees\kitnet-exp-mainline\runs\issue07b_transformer_assisted_adapter_lowood_repair_2026-05-14_rerun_with_recovered_scores
Phase 2: score-level adaptation attempt,original100 + Transformer score few-shot LR,original100 + Transformer scalar score,scalar score provider only,minimal few-shot LR adapter,current low-OOD guarded protocol,16,main seeds 42-46,0.9675636363636364,0.9141818181818182,0.00448,0.0092,1.0,Adding Transformer scalar score does not materially improve over original100-only LR.,negative mechanism evidence / timeline Phase 2,B-level negative fusion evidence,D:\study\paper\anomaly_detection\paper04\worktrees\kitnet-exp-mainline\runs\issue07b_transformer_assisted_adapter_lowood_repair_2026-05-14_rerun_with_recovered_scores
Phase 2: score-level adaptation attempt,original100 + Transformer score few-shot LR,original100 + Transformer scalar score,scalar score provider only,minimal few-shot LR adapter,current low-OOD guarded protocol,32,main seeds 42-46,0.9406545454545456,0.9207272727272728,0.0065599999999999,0.0099,1.0,Adding Transformer scalar score does not materially improve over original100-only LR.,negative mechanism evidence / timeline Phase 2,B-level negative fusion evidence,D:\study\paper\anomaly_detection\paper04\worktrees\kitnet-exp-mainline\runs\issue07b_transformer_assisted_adapter_lowood_repair_2026-05-14_rerun_with_recovered_scores
Phase 3: few-shot minimal adaptation,original100 plain few-shot LR,original100,base detector remains parallel monitor; not replaced,minimal target-alignment adapter,current low-OOD guarded protocol,16,main_paired_42_46,0.9675636363636364,0.9141818181818182,0.0044399999999999,0.0092,1.0,original100-only LR is the minimal repair baseline; it is not the final GDA.,timeline Phase 3/4 evidence,A-level for fixed guard mechanism; bounded for representation superiority,D:\study\paper\anomaly_detection\paper04\worktrees\kitnet-exp-mainline\runs\issue11_fixed_config_ood_guard_lr_ablation_2026-05-14
Phase 3: few-shot minimal adaptation,original100 plain few-shot LR,original100,base detector remains parallel monitor; not replaced,minimal target-alignment adapter,current low-OOD guarded protocol,32,main_paired_42_46,0.9406545454545456,0.9207272727272728,0.00652,0.0098,1.0,original100-only LR is the minimal repair baseline; it is not the final GDA.,timeline Phase 3/4 evidence,A-level for fixed guard mechanism; bounded for representation superiority,D:\study\paper\anomaly_detection\paper04\worktrees\kitnet-exp-mainline\runs\issue11_fixed_config_ood_guard_lr_ablation_2026-05-14
Phase 3: few-shot minimal adaptation,original100 plain few-shot LR,original100,base detector remains parallel monitor; not replaced,minimal target-alignment adapter,current low-OOD guarded protocol,16,heldout_support_47_51,0.9842909090909092,0.9301818181818182,0.0032199999999999,0.0053,1.0,original100-only LR is the minimal repair baseline; it is not the final GDA.,timeline Phase 3/4 evidence,A-level for fixed guard mechanism; bounded for representation superiority,D:\study\paper\anomaly_detection\paper04\worktrees\kitnet-exp-mainline\runs\issue11_fixed_config_ood_guard_lr_ablation_2026-05-14
