dataset,asset_path,asset_kind,exists,size_bytes,sha256,notes
full_mirai,D:\study\paper\anomaly_detection\paper04\KitNET-py-master\KitNET-py-master\Mirai_dataset.csv,feature_csv_dirty116,True,1368241307,skipped_large_1368241307_bytes,Full Mirai feature table only; paired raw missing confirmed by issue27s/user.
full_mirai,D:\study\paper\anomaly_detection\paper04\KitNET-py-master\KitNET-py-master\mirai_labels.csv,label_sidecar,True,2292409,190d5cc70c35e11000f98f5e508d0d5e50eed82c0ea3acd1abefda8d18a95817,Labels only; no timestamp/capture/source.
official_mirai_100k,D:\study\paper\anomaly_detection\paper04\KitNET-py-master\KitNET-py-master\mirai3.csv,feature_csv_115d,True,75596476,skipped_large_75596476_bytes,Related smaller Mirai feature path.
official_mirai_100k,D:\study\paper\anomaly_detection\paper04\KitNET-py-master\KitNET-py-master\mirai3_ts.csv,timestamp_sidecar,True,2500000,5108d218b06afb05e95393ee63f087bd9645780386c248a639b89ed2b984afe7,"Timestamp sidecar for 100k path only, not full 764k."
local_iot23_or_ciciot_public_data,D:\study\paper\anomaly_detection\paper04\KitNET-py-master\KitNET-py-master\public_data\raw\CICIoT2023_2.csv,csv,True,20802442,59a45607fb16835d209b138900c9f2300fae7759dc7b7f32269463beb1a0e4dc,Local public_data asset; useful for intake precheck but not paired with full Mirai.
local_iot23_or_ciciot_public_data,D:\study\paper\anomaly_detection\paper04\KitNET-py-master\KitNET-py-master\public_data\raw\CICIoT2023_BenignTraffic3.csv,csv,True,26851364,861063adfc622eed3e3d84b17a2a9e19f89800a56ef575dc26fc0bd7e05a5d8e,Local public_data asset; useful for intake precheck but not paired with full Mirai.
local_iot23_or_ciciot_public_data,D:\study\paper\anomaly_detection\paper04\KitNET-py-master\KitNET-py-master\public_data\raw\iot23_34_1_malicious.pcap,pcap,True,126317980,skipped_large_126317980_bytes,Local public_data asset; useful for intake precheck but not paired with full Mirai.
local_iot23_or_ciciot_public_data,D:\study\paper\anomaly_detection\paper04\KitNET-py-master\KitNET-py-master\public_data\raw\iot23_4_1.pcap,pcap,True,4594492,f770897e6cc3fa45857aee25ef7d3ab39dba39127b5bb813e0e0d48d3b905347,Local public_data asset; useful for intake precheck but not paired with full Mirai.
local_iot23_or_ciciot_public_data,D:\study\paper\anomaly_detection\paper04\KitNET-py-master\KitNET-py-master\public_data\raw\iot23_7_6.pcap,pcap,True,32964494,c2ff3ec3b1c6865b225479de3aeb6017af273ce65160664bcd61a149c301534c,Local public_data asset; useful for intake precheck but not paired with full Mirai.
local_iot23_or_ciciot_public_data,D:\study\paper\anomaly_detection\paper04\KitNET-py-master\KitNET-py-master\public_data\raw\iot23_benign_7_6.log.labeled,labeled,True,6901,07fac1509cd4d1c4626e9b113084ad7287564621adb1788b1ba4be47800f7f61,Local public_data asset; useful for intake precheck but not paired with full Mirai.
local_iot23_or_ciciot_public_data,D:\study\paper\anomaly_detection\paper04\KitNET-py-master\KitNET-py-master\public_data\raw\iot23_mirai_34_1.log.labeled,labeled,True,3019311,7d1d052835439d77dae246b588d7628813bbdef21fdf3b323f4b3eb2c61ef146,Local public_data asset; useful for intake precheck but not paired with full Mirai.
local_ton_iot_train_test_network,D:\study\paper\anomaly_detection\paper04\worktrees\data\Train_Test_Network_dataset\train_test_network.csv,flow_csv,True,29902775,26ddc513552de36de6428b2e578efaed2b57504c716dfba847cc0109a64e1974,"Local ToN-IoT style network CSV; labels present, timestamp not obvious in header."
local_botiot_5pc_all_features,D:\study\paper\anomaly_detection\paper04\worktrees\data\5%\All features\UNSW_2018_IoT_Botnet_Full5pc_1.csv,flow_csv,True,272335105,skipped_large_272335105_bytes,"Local BoT-IoT 5% all-feature CSV; timestamp and labels present, benign count reported tiny in issue27l."
local_botiot_5pc_all_features,D:\study\paper\anomaly_detection\paper04\worktrees\data\5%\All features\UNSW_2018_IoT_Botnet_Full5pc_2.csv,flow_csv,True,273082424,skipped_large_273082424_bytes,"Local BoT-IoT 5% all-feature CSV; timestamp and labels present, benign count reported tiny in issue27l."
local_botiot_5pc_all_features,D:\study\paper\anomaly_detection\paper04\worktrees\data\5%\All features\UNSW_2018_IoT_Botnet_Full5pc_3.csv,flow_csv,True,282131555,skipped_large_282131555_bytes,"Local BoT-IoT 5% all-feature CSV; timestamp and labels present, benign count reported tiny in issue27l."
local_botiot_5pc_all_features,D:\study\paper\anomaly_detection\paper04\worktrees\data\5%\All features\UNSW_2018_IoT_Botnet_Full5pc_4.csv,flow_csv,True,189577740,skipped_large_189577740_bytes,"Local BoT-IoT 5% all-feature CSV; timestamp and labels present, benign count reported tiny in issue27l."
local_botiot_archive,D:\study\paper\anomaly_detection\paper04\worktrees\data\5% (1).zip,zip,True,1995284138,skipped_large_1995284138_bytes,Archive present; do not stage or unpack blindly.
local_ton_iot_archive,D:\study\paper\anomaly_detection\paper04\worktrees\data\Train_Test_Network_dataset.zip,zip,True,29902987,4a7edbc724038e5e44de2b8ff146e60817656a67c754ecf562a3ab7b11a6c031,Archive present; do not stage or unpack blindly.
