held,role,rows,phase
iotsim-stream-consumer,support_train,58,fit
iotsim-stream-consumer,id_calib,4000,fit
iotsim-stream-consumer,ood_val,4000,fit
iotsim-stream-consumer,ood_stress,0,fit
iotsim-hydraulic-system,support_train,58,fit
iotsim-hydraulic-system,id_calib,4000,fit
iotsim-hydraulic-system,ood_val,2604,fit
iotsim-hydraulic-system,ood_stress,4000,fit
domotic-monitor,support_train,58,fit
domotic-monitor,id_calib,4000,fit
domotic-monitor,ood_val,4000,fit
domotic-monitor,ood_stress,4000,fit
combined-cycle,support_train,25,fit
combined-cycle,id_calib,4000,fit
combined-cycle,ood_val,4000,fit
combined-cycle,ood_stress,4000,fit
iotsim-ip-camera-street,support_train,58,fit
iotsim-ip-camera-street,id_calib,4000,fit
iotsim-ip-camera-street,ood_val,4000,fit
iotsim-ip-camera-street,ood_stress,4000,fit
