attack_family,source_group,device_family,rows_before,contexts_before,cross_rows,cross_contexts,rows_after,contexts_after
File Download,processed/iotsim-combined-cycle-10.csv,combined-cycle,15,3,12,1,3,2
Ingress Tool Transfer,processed/iotsim-combined-cycle-10.csv,combined-cycle,18,2,15,1,3,1
Merlin C&C Communication,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,30,6,25,3,5,3
Merlin ICMP Flooding,processed/iotsim-city-power-1.csv,city-power,13,9,3,1,10,8
Merlin ICMP Flooding,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,30,8,15,3,15,5
Merlin TCP Flooding,processed/iotsim-city-power-1.csv,city-power,24,21,1,1,23,20
Merlin TCP Flooding,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,36,29,1,1,35,28
Merlin UDP Flooding,processed/iotsim-city-power-1.csv,city-power,12,12,0,0,12,12
Merlin UDP Flooding,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,18,18,0,0,18,18
Mirai C&C Communication,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,9,3,3,1,6,2
Mirai GRE Flooding,processed/iotsim-city-power-1.csv,city-power,30,6,3,1,27,5
Mirai GRE Flooding,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,30,8,25,3,5,5
Mirai TCP Flooding,processed/iotsim-city-power-1.csv,city-power,33,27,0,0,33,27
Mirai TCP Flooding,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,27,24,0,0,27,24
Mirai UDP Flooding,processed/iotsim-city-power-1.csv,city-power,25,6,15,1,10,5
Mirai UDP Flooding,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,35,18,14,2,21,16
ToN-credential_bruteforce,password_normal1.pcap,ton-iot-external,2000,1998,0,0,2000,1998
ToN-reconnaissance_scan,normal_scanning1.pcap,ton-iot-external,2000,2000,0,0,2000,2000
