uid,semantic_context_key,phase,owner,label_kind,role,source_group,device_family,attack_family,context_tier,context_event_count,cross_phase_context,legal_fit
support_train:fit:67,raw/malicious/merlin/iotsim-city-power-1_0-0_to_OpenvSwitch-26_1-0.pcapac64f4f32f429e05ab43d5b692847c3da6a664eca9052fedca20f5a5526a81020,fit,B,attack,support_train,processed/iotsim-city-power-1.csv,city-power,Merlin ICMP Flooding,H2,1,True,False
support_train:fit:75,raw/malicious/merlin/iotsim-city-power-1_0-0_to_OpenvSwitch-26_1-0.pcapac64f4f32f429e05ab43d5b692847c3da6a664eca9052fedca20f5a5526a81020,fit,B,attack,support_train,processed/iotsim-city-power-1.csv,city-power,Merlin ICMP Flooding,H2,219,True,False
support_train:fit:83,raw/malicious/merlin/iotsim-city-power-1_0-0_to_OpenvSwitch-26_1-0.pcapac64f4f32f429e05ab43d5b692847c3da6a664eca9052fedca20f5a5526a81020,fit,B,attack,support_train,processed/iotsim-city-power-1.csv,city-power,Merlin ICMP Flooding,H2,87,True,False
support_val:select:29,raw/malicious/merlin/iotsim-city-power-1_0-0_to_OpenvSwitch-26_1-0.pcapac64f4f32f429e05ab43d5b692847c3da6a664eca9052fedca20f5a5526a81020,select,B,attack,support_val,processed/iotsim-city-power-1.csv,city-power,Merlin ICMP Flooding,H2,3,True,False
support_train:fit:147,raw/malicious/merlin/iotsim-city-power-1_0-0_to_OpenvSwitch-26_1-0.pcapf4cc28a491fe6fe48352f43f6d6c6bb75f3d48b87fad454460f7078429f031c60,fit,A,attack,support_train,processed/iotsim-city-power-1.csv,city-power,Merlin TCP Flooding,H1,1,True,False
support_val:select:50,raw/malicious/merlin/iotsim-city-power-1_0-0_to_OpenvSwitch-26_1-0.pcapf4cc28a491fe6fe48352f43f6d6c6bb75f3d48b87fad454460f7078429f031c60,select,A,attack,support_val,processed/iotsim-city-power-1.csv,city-power,Merlin TCP Flooding,H1,2,True,False
support_train:fit:34,raw/malicious/merlin/iotsim-ip-camera-museum-1_0-0_to_OpenvSwitch-29_1-0.pcap0a630a829ffa41941ca839ac61ba8d5ab5b545797f2063945835b9ee462943b10,fit,B,attack,support_train,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,Merlin C&C Communication,H1,102,True,False
support_train:fit:36,raw/malicious/merlin/iotsim-ip-camera-museum-1_0-0_to_OpenvSwitch-29_1-0.pcap0a630a829ffa41941ca839ac61ba8d5ab5b545797f2063945835b9ee462943b10,fit,B,attack,support_train,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,Merlin C&C Communication,H1,118,True,False
support_train:fit:39,raw/malicious/merlin/iotsim-ip-camera-museum-1_0-0_to_OpenvSwitch-29_1-0.pcap0a630a829ffa41941ca839ac61ba8d5ab5b545797f2063945835b9ee462943b10,fit,B,attack,support_train,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,Merlin C&C Communication,H1,117,True,False
support_train:fit:40,raw/malicious/merlin/iotsim-ip-camera-museum-1_0-0_to_OpenvSwitch-29_1-0.pcap0a630a829ffa41941ca839ac61ba8d5ab5b545797f2063945835b9ee462943b10,fit,A,attack,support_train,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,Merlin C&C Communication,H1,28,True,False
support_train:fit:44,raw/malicious/merlin/iotsim-ip-camera-museum-1_0-0_to_OpenvSwitch-29_1-0.pcap0a630a829ffa41941ca839ac61ba8d5ab5b545797f2063945835b9ee462943b10,fit,B,attack,support_train,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,Merlin C&C Communication,H1,112,True,False
