phase,source_group,records,events_available,first_target_position,last_target_position,cold_records,reliable_records,window_length,current_event_inclusive,current_event_missing,future_events_used,forbidden_target_events_skipped,forbidden_target_events_used,target_scope_isolation_enforced,source_fresh_boundary,auxiliary_temporal_source,raw_label_column_read,held_value,seed
fit,iotsim-building-monitor-5_0-0_to_OpenvSwitch-28_5-0,600,1100,500,1099,0,600,32,True,0,0,0,0,True,True,True,False,GLOBAL_ATTACK_PRESERVATION,27
fit,iotsim-combined-cycle-3_0-0_to_OpenvSwitch-13_3-0,600,1100,500,1099,0,600,32,True,0,0,0,0,True,True,True,False,GLOBAL_ATTACK_PRESERVATION,27
fit,iotsim-combined-cycle-5_0-0_to_OpenvSwitch-13_5-0,600,1100,500,1099,0,600,32,True,0,0,0,0,True,True,True,False,GLOBAL_ATTACK_PRESERVATION,27
fit,iotsim-combined-cycle-6_0-0_to_OpenvSwitch-13_6-0,600,1100,500,1099,0,600,32,True,0,0,0,0,True,True,True,False,GLOBAL_ATTACK_PRESERVATION,27
fit,iotsim-combined-cycle-7_0-0_to_OpenvSwitch-13_7-0,600,1100,500,1099,0,600,32,True,0,0,0,0,True,True,True,False,GLOBAL_ATTACK_PRESERVATION,27
fit,iotsim-combined-cycle-8_0-0_to_OpenvSwitch-13_8-0,600,1100,500,1099,0,600,32,True,0,0,0,0,True,True,True,False,GLOBAL_ATTACK_PRESERVATION,27
fit,iotsim-combined-cycle-9_0-0_to_OpenvSwitch-13_9-0,600,1100,500,1099,0,600,32,True,0,0,0,0,True,True,True,False,GLOBAL_ATTACK_PRESERVATION,27
fit,iotsim-combined-cycle-tls-1_0-0_to_OpenvSwitch-14_1-0,600,1100,500,1099,0,600,32,True,0,0,0,0,True,True,True,False,GLOBAL_ATTACK_PRESERVATION,27
fit,iotsim-domotic-monitor-2_0-0_to_OpenvSwitch-23_2-0,600,1100,500,1099,0,600,32,True,0,0,0,0,True,True,True,False,GLOBAL_ATTACK_PRESERVATION,27
fit,iotsim-domotic-monitor-3_0-0_to_OpenvSwitch-23_3-0,600,1100,500,1099,0,600,32,True,0,0,0,0,True,True,True,False,GLOBAL_ATTACK_PRESERVATION,27
fit,iotsim-domotic-monitor-5_0-0_to_OpenvSwitch-23_5-0,600,1100,500,1099,0,600,32,True,0,0,0,0,True,True,True,False,GLOBAL_ATTACK_PRESERVATION,27
fit,processed/iotsim-building-monitor-2.csv,600,1740,50,1739,0,600,32,True,0,0,0,0,True,True,False,False,GLOBAL_ATTACK_PRESERVATION,27
fit,processed/iotsim-building-monitor-3.csv,600,1740,50,963,0,600,32,True,0,0,0,0,True,True,False,False,GLOBAL_ATTACK_PRESERVATION,27
fit,processed/iotsim-city-power-1.csv,137,1516431,1572,1148674,0,137,32,True,0,0,11,0,True,True,False,False,GLOBAL_ATTACK_PRESERVATION,27
fit,processed/iotsim-combined-cycle-10.csv,33,138509,17601,32741,0,33,32,True,0,0,239,0,True,True,False,False,GLOBAL_ATTACK_PRESERVATION,27
fit,processed/iotsim-combined-cycle-tls-3.csv,270,1944,50,1940,0,270,32,True,0,0,0,0,True,True,False,False,GLOBAL_ATTACK_PRESERVATION,27
fit,processed/iotsim-combined-cycle-tls-4.csv,270,1944,53,1943,0,270,32,True,0,0,0,0,True,True,False,False,GLOBAL_ATTACK_PRESERVATION,27
fit,processed/iotsim-combined-cycle-tls-5.csv,269,1944,56,1940,0,269,32,True,0,0,0,0,True,True,False,False,GLOBAL_ATTACK_PRESERVATION,27
fit,processed/iotsim-ip-camera-museum-1.csv,215,10447197,1589663,10138068,0,215,32,True,0,0,32,0,True,True,False,False,GLOBAL_ATTACK_PRESERVATION,27
select,iotsim-building-monitor-4_0-0_to_OpenvSwitch-28_4-0,600,1100,500,1099,0,600,32,True,0,0,0,0,True,True,True,False,GLOBAL_ATTACK_PRESERVATION,27
select,iotsim-combined-cycle-2_0-0_to_OpenvSwitch-13_2-0,600,1100,500,1099,0,600,32,True,0,0,0,0,True,True,True,False,GLOBAL_ATTACK_PRESERVATION,27
select,iotsim-combined-cycle-4_0-0_to_OpenvSwitch-13_4-0,600,1100,500,1099,0,600,32,True,0,0,0,0,True,True,True,False,GLOBAL_ATTACK_PRESERVATION,27
select,iotsim-combined-cycle-tls-2_0-0_to_OpenvSwitch-14_2-0,600,1100,500,1099,0,600,32,True,0,0,0,0,True,True,True,False,GLOBAL_ATTACK_PRESERVATION,27
select,iotsim-domotic-monitor-4_0-0_to_OpenvSwitch-23_4-0,600,1100,500,1099,0,600,32,True,0,0,0,0,True,True,True,False,GLOBAL_ATTACK_PRESERVATION,27
select,processed/iotsim-city-power-1.csv,23,1516431,1574,1142111,0,23,32,True,0,0,0,0,True,True,False,False,GLOBAL_ATTACK_PRESERVATION,27
