source_group,device_family,role,raw_source_path,events,target_offset,target_rows,packets_scanned_on_build,parse_errors_on_build,raw_label_column_read,source_identity_as_feature,current_event_inclusive,future_event_used,event_schema,raw_msg_sha256,target_event_positions_sha256,cache_file,cache_sha256
iotsim-building-monitor-4_0-0_to_OpenvSwitch-28_4-0,iotsim-building-monitor,aux_select,raw/benign/iotsim-building-monitor-4_0-0_to_OpenvSwitch-28_4-0.pcap,1100,500,600,1100,0,False,False,True,False,CKBE portable raw_msg9,554178f65efbe53e582d2bb6c8c6d867f507fe98ffc8947237c83567ac85dbc9,914f2ef31009a6f4f52167296cc60cbb1397332e99c5559281d733f01466482f,542a807bf8c156bb30af.npz,cfbf38fba250261f0f478d8b53272072e78178db495547297cecc09bbc1844df
iotsim-building-monitor-5_0-0_to_OpenvSwitch-28_5-0,iotsim-building-monitor,aux_fit,raw/benign/iotsim-building-monitor-5_0-0_to_OpenvSwitch-28_5-0.pcap,1100,500,600,1100,0,False,False,True,False,CKBE portable raw_msg9,5321d69b599dce13c1327b1f96c91649dcb199303ab7bcefc189292a5189a263,914f2ef31009a6f4f52167296cc60cbb1397332e99c5559281d733f01466482f,91f4a5d9223956fe2b6c.npz,ad061520ee405856b9d6adc9d3019aeb907afd0f0e54968373ec9c71e52bf0a7
iotsim-combined-cycle-2_0-0_to_OpenvSwitch-13_2-0,iotsim-combined-cycle,aux_select,raw/benign/iotsim-combined-cycle-2_0-0_to_OpenvSwitch-13_2-0.pcap,1100,500,600,1100,0,False,False,True,False,CKBE portable raw_msg9,7b4d4bbe3f9032a7506dba1d5adc1a3b9f1e52a1d54876d2dab120073932bbf6,914f2ef31009a6f4f52167296cc60cbb1397332e99c5559281d733f01466482f,61c7f90701a9e3c1cd3f.npz,ed8a8e814ee7a3ddd05410e6e5ed26b2cea4170851653155634e91c54a84bd16
iotsim-combined-cycle-3_0-0_to_OpenvSwitch-13_3-0,iotsim-combined-cycle,aux_fit,raw/benign/iotsim-combined-cycle-3_0-0_to_OpenvSwitch-13_3-0.pcap,1100,500,600,1100,0,False,False,True,False,CKBE portable raw_msg9,d3b443bb76fedf4a270947794551cc188a465d1012b3ae1af6585414460e9228,914f2ef31009a6f4f52167296cc60cbb1397332e99c5559281d733f01466482f,12beef37830357a30a7a.npz,c00f5c9825aa2045e44c9c3efffaa76c0323828f47da7e1b996c4997d1ca42c6
iotsim-combined-cycle-4_0-0_to_OpenvSwitch-13_4-0,iotsim-combined-cycle,aux_select,raw/benign/iotsim-combined-cycle-4_0-0_to_OpenvSwitch-13_4-0.pcap,1100,500,600,1100,0,False,False,True,False,CKBE portable raw_msg9,f7fef9e0f95ea447fa74a5b411f05b3fbd8f51d4738a5a49a5a40da760e7d386,914f2ef31009a6f4f52167296cc60cbb1397332e99c5559281d733f01466482f,456ef637ffd833a62dca.npz,49fcbf957e5cea6191145d5fb39a42cb13d703e57aefafdcc5fa0c443de9501a
iotsim-combined-cycle-5_0-0_to_OpenvSwitch-13_5-0,iotsim-combined-cycle,aux_fit,raw/benign/iotsim-combined-cycle-5_0-0_to_OpenvSwitch-13_5-0.pcap,1100,500,600,1100,0,False,False,True,False,CKBE portable raw_msg9,d2c4502ff3584695ae98895b6b9a3cf14b3bd854df13591ea695f279c49103ca,914f2ef31009a6f4f52167296cc60cbb1397332e99c5559281d733f01466482f,2979bf90626da0c1523e.npz,8572f091bdc3af295c789cac73035fe49b01d4fc2248b8e9aa5a48d84d011051
iotsim-combined-cycle-6_0-0_to_OpenvSwitch-13_6-0,iotsim-combined-cycle,aux_fit,raw/benign/iotsim-combined-cycle-6_0-0_to_OpenvSwitch-13_6-0.pcap,1100,500,600,1100,0,False,False,True,False,CKBE portable raw_msg9,6b8c3af8fe5a66a881a16056fd104eff2cd93fad51f68348f1c2c412f0cde32c,914f2ef31009a6f4f52167296cc60cbb1397332e99c5559281d733f01466482f,48c1da0d4ef7b9d56ab3.npz,a8b3b35aad0cd9c3591ef249cb20643b1b68c39a867f665deb662d2ce2802a16
iotsim-combined-cycle-7_0-0_to_OpenvSwitch-13_7-0,iotsim-combined-cycle,aux_fit,raw/benign/iotsim-combined-cycle-7_0-0_to_OpenvSwitch-13_7-0.pcap,1100,500,600,1100,0,False,False,True,False,CKBE portable raw_msg9,bb343b79144af7118bb30676677168c7f3cebfdb8f8610d7c93746e177386357,914f2ef31009a6f4f52167296cc60cbb1397332e99c5559281d733f01466482f,091ebefd1d679d3a8cd3.npz,c8a001ba42f43e7be50049c820a12f2750912247ef8083d3f46d5e76068ff6e9
iotsim-combined-cycle-8_0-0_to_OpenvSwitch-13_8-0,iotsim-combined-cycle,aux_fit,raw/benign/iotsim-combined-cycle-8_0-0_to_OpenvSwitch-13_8-0.pcap,1100,500,600,1100,0,False,False,True,False,CKBE portable raw_msg9,0412ca0d5a9b31459908f21c26050f9424b52f97f23caf94a284a321ae6ec09c,914f2ef31009a6f4f52167296cc60cbb1397332e99c5559281d733f01466482f,be9ce24b029dbb6b0918.npz,d839464c4f3ca9b824de5e4472650379364d2f748ece464464821bd23060d2e6
iotsim-combined-cycle-9_0-0_to_OpenvSwitch-13_9-0,iotsim-combined-cycle,aux_fit,raw/benign/iotsim-combined-cycle-9_0-0_to_OpenvSwitch-13_9-0.pcap,1100,500,600,1100,0,False,False,True,False,CKBE portable raw_msg9,ccf44fa9e63da88349fa28c0c29c02a570c23afcf6fd4e44c95c23ff4d5efdd8,914f2ef31009a6f4f52167296cc60cbb1397332e99c5559281d733f01466482f,209c4d13878ab1ee6b25.npz,c241ca5df05a3343d47cf09fcc6119c5acea75b2165dd7720d481315e497fe09
iotsim-combined-cycle-tls-1_0-0_to_OpenvSwitch-14_1-0,iotsim-combined-cycle-tls,aux_fit,raw/benign/iotsim-combined-cycle-tls-1_0-0_to_OpenvSwitch-14_1-0.pcap,1100,500,600,1100,0,False,False,True,False,CKBE portable raw_msg9,69dffb955628789a15befe490f0374db13ed94d47c19e3aa1684d1f016853374,914f2ef31009a6f4f52167296cc60cbb1397332e99c5559281d733f01466482f,b1fe2cbba0c415408bb1.npz,aaa3b608c9edb7761011c1e30e5d343be4f553a51880f6fc68a2eec29b67b79c
