chunk_id,certified_subset,status,role,source_csv,source_pcap,attack_label,phase,device,segment_count,pcap_pairing_confidence,requires_pcap_pairing_verification,expected_rows,emitted_rows,missing_rows,certification_rule,future_status
1,certified_attack_subset_v1,complete,attack_support_candidate_pool_targeted,processed/iotsim-city-power-1.csv,raw/malicious/merlin/iotsim-city-power-1_0-0_to_OpenvSwitch-26_1-0.pcap,Merlin ICMP Flooding,tail_gt_10000,city-power,1,medium_scenario_token_match,false,2393,2393,0,status_complete_only,active_under_role_access
2,certified_attack_subset_v1,complete,attack_support_candidate_pool_targeted,processed/iotsim-city-power-1.csv,raw/malicious/merlin/iotsim-city-power-1_0-0_to_OpenvSwitch-26_1-0.pcap,Merlin TCP Flooding,tail_gt_10000,city-power,1,medium_scenario_token_match,false,5000,5000,0,status_complete_only,active_under_role_access
3,certified_attack_subset_v1,complete,attack_support_candidate_pool_targeted,processed/iotsim-city-power-1.csv,raw/malicious/merlin/iotsim-city-power-1_0-0_to_OpenvSwitch-26_1-0.pcap,Merlin UDP Flooding,tail_gt_10000,city-power,5,medium_scenario_token_match,false,1250,1250,0,status_complete_only,active_under_role_access
4,certified_attack_subset_v1,complete,attack_support_candidate_pool_targeted,processed/iotsim-city-power-1.csv,raw/malicious/mirai-dos/iotsim-city-power-1_0-0_to_OpenvSwitch-26_1-0.pcap,Mirai GRE Flooding,tail_gt_10000,city-power,2,medium_scenario_token_match,false,8000,8000,0,status_complete_only,active_under_role_access
5,certified_attack_subset_v1,complete,attack_support_candidate_pool_targeted,processed/iotsim-city-power-1.csv,raw/malicious/mirai-dos/iotsim-city-power-1_0-0_to_OpenvSwitch-26_1-0.pcap,Mirai TCP Flooding,tail_gt_10000,city-power,1,medium_scenario_token_match,false,8000,8000,0,status_complete_only,active_under_role_access
6,certified_attack_subset_v1,complete,attack_support_candidate_pool_targeted,processed/iotsim-city-power-1.csv,raw/malicious/mirai-dos/iotsim-city-power-1_0-0_to_OpenvSwitch-26_1-0.pcap,Mirai UDP Flooding,tail_gt_10000,city-power,1,medium_scenario_token_match,false,8000,8000,0,status_complete_only,active_under_role_access
7,certified_attack_subset_v1,complete,attack_support_candidate_pool_targeted,processed/iotsim-combined-cycle-10.csv,raw/malicious/mirai-infection/iotsim-combined-cycle-10_0-0_to_OpenvSwitch-13_10-0.pcap,File Download,tail_gt_10000,combined-cycle,4,medium_multiple_scenario_candidates,true,605,605,0,status_complete_only,active_under_role_access
8,certified_attack_subset_v1,complete,attack_support_candidate_pool_targeted,processed/iotsim-combined-cycle-10.csv,raw/malicious/mirai-infection/iotsim-combined-cycle-10_0-0_to_OpenvSwitch-13_10-0.pcap,Ingress Tool Transfer,tail_gt_10000,combined-cycle,467,medium_multiple_scenario_candidates,true,801,801,0,status_complete_only,active_under_role_access
9,certified_attack_subset_v1,complete,attack_support_candidate_pool_targeted,processed/iotsim-ip-camera-museum-1.csv,raw/malicious/merlin/iotsim-ip-camera-museum-1_0-0_to_OpenvSwitch-29_1-0.pcap,Merlin C&C Communication,tail_gt_10000,ip-camera-museum,127,medium_scenario_token_match,false,2441,2441,0,status_complete_only,active_under_role_access
10,certified_attack_subset_v1,complete,attack_support_candidate_pool_targeted,processed/iotsim-ip-camera-museum-1.csv,raw/malicious/merlin/iotsim-ip-camera-museum-1_0-0_to_OpenvSwitch-29_1-0.pcap,Merlin ICMP Flooding,tail_gt_10000,ip-camera-museum,42,medium_scenario_token_match,false,2502,2502,0,status_complete_only,active_under_role_access
11,certified_attack_subset_v1,complete,attack_support_candidate_pool_targeted,processed/iotsim-ip-camera-museum-1.csv,raw/malicious/merlin/iotsim-ip-camera-museum-1_0-0_to_OpenvSwitch-29_1-0.pcap,Merlin TCP Flooding,tail_gt_10000,ip-camera-museum,82,medium_scenario_token_match,false,5000,5000,0,status_complete_only,active_under_role_access
