attack_label,semantic_group,certified_rows_total,attack_support_candidate_pool_targeted_rows,same_file_time_forward_dev_query_exact_rows,dev_future_attack_query_exact_rows,sealed_final_attack_exact_realign_rows
C&C Communication,tooling,346,0,0,256,90
CoAP Amplification,tooling,12000,0,0,12000,0
File Download,tooling,4319,605,105,2378,1231
Ingress Tool Transfer,tooling,14638,801,2381,7754,3702
Merlin C&C Communication,merlin,28858,2441,6827,19590,0
Merlin ICMP Flooding,merlin,56609,4895,13718,27985,10011
Merlin TCP Flooding,merlin,85000,10000,24000,36000,15000
Merlin UDP Flooding,merlin,29038,2500,6542,15000,4996
Mirai C&C Communication,mirai,1072,250,106,716,0
Mirai GRE Flooding,mirai,91000,16000,24000,36000,15000
Mirai TCP Flooding,mirai,91000,16000,24000,36000,15000
Mirai UDP Flooding,mirai,91000,16000,24000,36000,15000
Reporting,tooling,298,0,0,224,74
TCP Scan,tooling,87000,0,0,72000,15000
Telnet Brute Force,tooling,87000,0,0,72000,15000
UDP Scan,tooling,4242,0,0,4242,0
