global_candidate_id,exact_attack_label,selection_rank_within_label,included_e64,included_e128,device_or_source_group,pcap_path,source_file,timestamp,time_bin,selection_allowed,report_only,sealed_final
cand_00032724,File Download,0,True,True,combined-cycle,raw/malicious/mirai-infection/iotsim-combined-cycle-10_0-0_to_OpenvSwitch-13_10-0.pcap,processed/iotsim-combined-cycle-10.csv,1737236339.441657,0,true,false,false
cand_00032868,File Download,1,True,True,combined-cycle,raw/malicious/mirai-infection/iotsim-combined-cycle-10_0-0_to_OpenvSwitch-13_10-0.pcap,processed/iotsim-combined-cycle-10.csv,1737236339.454587,1,true,false,false
cand_00033004,File Download,2,True,True,combined-cycle,raw/malicious/mirai-infection/iotsim-combined-cycle-10_0-0_to_OpenvSwitch-13_10-0.pcap,processed/iotsim-combined-cycle-10.csv,1737236339.472013,2,true,false,false
cand_00033126,File Download,3,True,True,combined-cycle,raw/malicious/mirai-infection/iotsim-combined-cycle-10_0-0_to_OpenvSwitch-13_10-0.pcap,processed/iotsim-combined-cycle-10.csv,1737236339.486226,3,true,false,false
cand_00032806,File Download,4,False,True,combined-cycle,raw/malicious/mirai-infection/iotsim-combined-cycle-10_0-0_to_OpenvSwitch-13_10-0.pcap,processed/iotsim-combined-cycle-10.csv,1737236339.449690,0,true,false,false
cand_00032953,File Download,5,False,True,combined-cycle,raw/malicious/mirai-infection/iotsim-combined-cycle-10_0-0_to_OpenvSwitch-13_10-0.pcap,processed/iotsim-combined-cycle-10.csv,1737236339.463897,1,true,false,false
cand_00033084,File Download,6,False,True,combined-cycle,raw/malicious/mirai-infection/iotsim-combined-cycle-10_0-0_to_OpenvSwitch-13_10-0.pcap,processed/iotsim-combined-cycle-10.csv,1737236339.482663,2,true,false,false
cand_00033244,File Download,7,False,True,combined-cycle,raw/malicious/mirai-infection/iotsim-combined-cycle-10_0-0_to_OpenvSwitch-13_10-0.pcap,processed/iotsim-combined-cycle-10.csv,1737236339.502025,3,true,false,false
cand_00033271,Ingress Tool Transfer,0,True,True,combined-cycle,raw/malicious/mirai-infection/iotsim-combined-cycle-10_0-0_to_OpenvSwitch-13_10-0.pcap,processed/iotsim-combined-cycle-10.csv,1737236339.116226,0,true,false,false
cand_00033686,Ingress Tool Transfer,1,True,True,combined-cycle,raw/malicious/mirai-infection/iotsim-combined-cycle-10_0-0_to_OpenvSwitch-13_10-0.pcap,processed/iotsim-combined-cycle-10.csv,1737236403.839606,2,true,false,false
