exact_attack_label,unused_candidate_rows,base_support_train_rows,e64_rows,e128_rows,eligible_sources,source_gate_possible
File Download,585,15,4,8,1,False
Ingress Tool Transfer,778,18,4,8,1,False
Merlin C&C Communication,2401,30,6,12,1,False
Merlin ICMP Flooding,4838,43,8,16,2,True
Merlin TCP Flooding,9920,60,8,16,2,True
Merlin UDP Flooding,2460,30,6,12,2,True
Mirai C&C Communication,238,9,4,8,1,False
Mirai GRE Flooding,15920,60,8,16,2,True
Mirai TCP Flooding,15920,60,8,16,2,True
Mirai UDP Flooding,15920,60,8,16,2,True
