strategy,selector,rank_sorted_output,global_row_index,role,label,attack_type,source_file
reset_at_split_boundary,old_kcenter32,0,9720,attack_support,,,
reset_at_split_boundary,old_kcenter32,1,9722,attack_support,,,
reset_at_split_boundary,old_kcenter32,2,9723,attack_support,,,
reset_at_split_boundary,old_kcenter32,3,9724,attack_support,,,
reset_at_split_boundary,old_kcenter32,4,9725,attack_support,,,
reset_at_split_boundary,old_kcenter32,5,10219,attack_support,,,
reset_at_split_boundary,old_kcenter32,6,10221,attack_support,,,
reset_at_split_boundary,old_kcenter32,7,10223,attack_support,,,
reset_at_split_boundary,old_kcenter32,8,10232,attack_support,,,
reset_at_split_boundary,old_kcenter32,9,10311,attack_support,,,
reset_at_split_boundary,old_kcenter32,10,10538,attack_support,,,
reset_at_split_boundary,old_kcenter32,11,10547,attack_support,,,
reset_at_split_boundary,old_kcenter32,12,10747,attack_support,,,
reset_at_split_boundary,old_kcenter32,13,10751,attack_support,,,
reset_at_split_boundary,old_kcenter32,14,10752,attack_support,,,
reset_at_split_boundary,old_kcenter32,15,10753,attack_support,,,
reset_at_split_boundary,old_kcenter32,16,10767,attack_support,,,
reset_at_split_boundary,old_kcenter32,17,10873,attack_support,,,
reset_at_split_boundary,old_kcenter32,18,11022,attack_support,,,
reset_at_split_boundary,old_kcenter32,19,11058,attack_support,,,
reset_at_split_boundary,old_kcenter32,20,11370,attack_support,,,
reset_at_split_boundary,old_kcenter32,21,11372,attack_support,,,
reset_at_split_boundary,old_kcenter32,22,11380,attack_support,,,
reset_at_split_boundary,old_kcenter32,23,11403,attack_support,,,
reset_at_split_boundary,old_kcenter32,24,11404,attack_support,,,
reset_at_split_boundary,old_kcenter32,25,11502,attack_support,,,
reset_at_split_boundary,old_kcenter32,26,11607,attack_support,,,
reset_at_split_boundary,old_kcenter32,27,11609,attack_support,,,
reset_at_split_boundary,old_kcenter32,28,11611,attack_support,,,
reset_at_split_boundary,old_kcenter32,29,11709,attack_support,,,
reset_at_split_boundary,old_kcenter32,30,11977,attack_support,,,
reset_at_split_boundary,old_kcenter32,31,11978,attack_support,,,
train_state_then_eval_online,old_kcenter32,0,9720,attack_support,,,
train_state_then_eval_online,old_kcenter32,1,9722,attack_support,,,
train_state_then_eval_online,old_kcenter32,2,9723,attack_support,,,
train_state_then_eval_online,old_kcenter32,3,9724,attack_support,,,
train_state_then_eval_online,old_kcenter32,4,9725,attack_support,,,
train_state_then_eval_online,old_kcenter32,5,10219,attack_support,,,
train_state_then_eval_online,old_kcenter32,6,10221,attack_support,,,
train_state_then_eval_online,old_kcenter32,7,10223,attack_support,,,
train_state_then_eval_online,old_kcenter32,8,10232,attack_support,,,
train_state_then_eval_online,old_kcenter32,9,10311,attack_support,,,
train_state_then_eval_online,old_kcenter32,10,10538,attack_support,,,
train_state_then_eval_online,old_kcenter32,11,10547,attack_support,,,
train_state_then_eval_online,old_kcenter32,12,10747,attack_support,,,
train_state_then_eval_online,old_kcenter32,13,10751,attack_support,,,
train_state_then_eval_online,old_kcenter32,14,10752,attack_support,,,
train_state_then_eval_online,old_kcenter32,15,10753,attack_support,,,
train_state_then_eval_online,old_kcenter32,16,10767,attack_support,,,
train_state_then_eval_online,old_kcenter32,17,10873,attack_support,,,
train_state_then_eval_online,old_kcenter32,18,11022,attack_support,,,
train_state_then_eval_online,old_kcenter32,19,11058,attack_support,,,
train_state_then_eval_online,old_kcenter32,20,11370,attack_support,,,
train_state_then_eval_online,old_kcenter32,21,11372,attack_support,,,
train_state_then_eval_online,old_kcenter32,22,11380,attack_support,,,
train_state_then_eval_online,old_kcenter32,23,11403,attack_support,,,
train_state_then_eval_online,old_kcenter32,24,11404,attack_support,,,
train_state_then_eval_online,old_kcenter32,25,11502,attack_support,,,
train_state_then_eval_online,old_kcenter32,26,11607,attack_support,,,
train_state_then_eval_online,old_kcenter32,27,11609,attack_support,,,
train_state_then_eval_online,old_kcenter32,28,11611,attack_support,,,
train_state_then_eval_online,old_kcenter32,29,11709,attack_support,,,
train_state_then_eval_online,old_kcenter32,30,11977,attack_support,,,
train_state_then_eval_online,old_kcenter32,31,11978,attack_support,,,
