strategy,seed,old_support_budget,support_train_for_selection,support_val_for_selection,split_rng,support_train_hash,support_val_hash
reset_at_split_boundary,42,32,24,8,seed_plus_27027,b37283236cad25e84b0ee6cfa12be5ebeb3bedefd205d3871c63235b90df353b,62462b0c09d5a522e318a480cd829e94e3fa0af80c29dd581f7768ca726f277e
reset_at_split_boundary,43,32,24,8,seed_plus_27027,7cb7aca68661114545623288141e808153f57639eec293dcf6fbbb1369875f00,ec9627da6fb9e63ab34aabd0f2e73e87d446d537f2ea802a99db9c224d307686
reset_at_split_boundary,44,32,24,8,seed_plus_27027,e8621fce9db328c9ba02531b1c636eafbae45ff1df7131ec0f106cba979fb2ba,dccbe9cadaf4325ea8fcde1a695d340f82d8412c4c1038401b244a8d27188b33
reset_at_split_boundary,45,32,24,8,seed_plus_27027,16e75e78a781e484ed696035c7217e4ad7d73d794db95297a45ea1e577832f79,1a4ddb78a0be2203e3cd016f25f3f8beeab55213639ad6b769a89614bc99b496
reset_at_split_boundary,46,32,24,8,seed_plus_27027,ab00c7997ae16e927da55673e06762edefe9a51a3511b0adce94fa2a2d522910,eb0b7a1ccf179b4cf68a0caf6256b59dbd4f3a0a823615b5c93722b30d5c378a
train_state_then_eval_online,42,32,24,8,seed_plus_27027,b37283236cad25e84b0ee6cfa12be5ebeb3bedefd205d3871c63235b90df353b,62462b0c09d5a522e318a480cd829e94e3fa0af80c29dd581f7768ca726f277e
train_state_then_eval_online,43,32,24,8,seed_plus_27027,7cb7aca68661114545623288141e808153f57639eec293dcf6fbbb1369875f00,ec9627da6fb9e63ab34aabd0f2e73e87d446d537f2ea802a99db9c224d307686
train_state_then_eval_online,44,32,24,8,seed_plus_27027,e8621fce9db328c9ba02531b1c636eafbae45ff1df7131ec0f106cba979fb2ba,dccbe9cadaf4325ea8fcde1a695d340f82d8412c4c1038401b244a8d27188b33
train_state_then_eval_online,45,32,24,8,seed_plus_27027,16e75e78a781e484ed696035c7217e4ad7d73d794db95297a45ea1e577832f79,1a4ddb78a0be2203e3cd016f25f3f8beeab55213639ad6b769a89614bc99b496
train_state_then_eval_online,46,32,24,8,seed_plus_27027,ab00c7997ae16e927da55673e06762edefe9a51a3511b0adce94fa2a2d522910,eb0b7a1ccf179b4cf68a0caf6256b59dbd4f3a0a823615b5c93722b30d5c378a
