evidence_space,exact_attack_label,sample_id,source_file,device_or_source_group,phase
S0_raw_robust_global,File Download,support_000001,processed/iotsim-combined-cycle-10.csv,combined-cycle,tail_gt_10000
S0_raw_robust_global,Ingress Tool Transfer,support_000040,processed/iotsim-combined-cycle-10.csv,combined-cycle,tail_gt_10000
S0_raw_robust_global,Merlin C&C Communication,support_000053,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,tail_gt_10000
S0_raw_robust_global,Merlin ICMP Flooding,support_000119,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,tail_gt_10000
S0_raw_robust_global,Merlin TCP Flooding,support_000164,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,tail_gt_10000
S0_raw_robust_global,Merlin UDP Flooding,support_000244,processed/iotsim-city-power-1.csv,city-power,tail_gt_10000
S0_raw_robust_global,Mirai C&C Communication,support_000260,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,tail_gt_10000
S0_raw_robust_global,Mirai GRE Flooding,support_000314,processed/iotsim-city-power-1.csv,city-power,tail_gt_10000
S0_raw_robust_global,Mirai TCP Flooding,support_000384,processed/iotsim-city-power-1.csv,city-power,tail_gt_10000
S0_raw_robust_global,Mirai UDP Flooding,support_000444,processed/iotsim-city-power-1.csv,city-power,tail_gt_10000
S1_bounded_heavytail_global,File Download,support_000018,processed/iotsim-combined-cycle-10.csv,combined-cycle,tail_gt_10000
S1_bounded_heavytail_global,Ingress Tool Transfer,support_000020,processed/iotsim-combined-cycle-10.csv,combined-cycle,tail_gt_10000
S1_bounded_heavytail_global,Merlin C&C Communication,support_000077,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,tail_gt_10000
S1_bounded_heavytail_global,Merlin ICMP Flooding,support_000117,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,tail_gt_10000
S1_bounded_heavytail_global,Merlin TCP Flooding,support_000164,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,tail_gt_10000
S1_bounded_heavytail_global,Merlin UDP Flooding,support_000253,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,tail_gt_10000
S1_bounded_heavytail_global,Mirai C&C Communication,support_000268,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,tail_gt_10000
S1_bounded_heavytail_global,Mirai GRE Flooding,support_000280,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,tail_gt_10000
S1_bounded_heavytail_global,Mirai TCP Flooding,support_000372,processed/iotsim-city-power-1.csv,city-power,tail_gt_10000
S1_bounded_heavytail_global,Mirai UDP Flooding,support_000466,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,tail_gt_10000
S2_raw_family_balanced,File Download,support_000002,processed/iotsim-combined-cycle-10.csv,combined-cycle,tail_gt_10000
S2_raw_family_balanced,Ingress Tool Transfer,support_000024,processed/iotsim-combined-cycle-10.csv,combined-cycle,tail_gt_10000
S2_raw_family_balanced,Merlin C&C Communication,support_000079,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,tail_gt_10000
S2_raw_family_balanced,Merlin ICMP Flooding,support_000123,processed/iotsim-city-power-1.csv,city-power,tail_gt_10000
S2_raw_family_balanced,Merlin TCP Flooding,support_000156,processed/iotsim-city-power-1.csv,city-power,tail_gt_10000
S2_raw_family_balanced,Merlin UDP Flooding,support_000225,processed/iotsim-city-power-1.csv,city-power,tail_gt_10000
S2_raw_family_balanced,Mirai C&C Communication,support_000266,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,tail_gt_10000
S2_raw_family_balanced,Mirai GRE Flooding,support_000309,processed/iotsim-city-power-1.csv,city-power,tail_gt_10000
S2_raw_family_balanced,Mirai TCP Flooding,support_000370,processed/iotsim-city-power-1.csv,city-power,tail_gt_10000
S2_raw_family_balanced,Mirai UDP Flooding,support_000449,processed/iotsim-city-power-1.csv,city-power,tail_gt_10000
S3_bounded_heavytail_family_balanced,File Download,support_000017,processed/iotsim-combined-cycle-10.csv,combined-cycle,tail_gt_10000
S3_bounded_heavytail_family_balanced,Ingress Tool Transfer,support_000038,processed/iotsim-combined-cycle-10.csv,combined-cycle,tail_gt_10000
S3_bounded_heavytail_family_balanced,Merlin C&C Communication,support_000080,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,tail_gt_10000
S3_bounded_heavytail_family_balanced,Merlin ICMP Flooding,support_000125,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,tail_gt_10000
S3_bounded_heavytail_family_balanced,Merlin TCP Flooding,support_000149,processed/iotsim-city-power-1.csv,city-power,tail_gt_10000
S3_bounded_heavytail_family_balanced,Merlin UDP Flooding,support_000221,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,tail_gt_10000
S3_bounded_heavytail_family_balanced,Mirai C&C Communication,support_000266,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,tail_gt_10000
S3_bounded_heavytail_family_balanced,Mirai GRE Flooding,support_000333,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,tail_gt_10000
S3_bounded_heavytail_family_balanced,Mirai TCP Flooding,support_000352,processed/iotsim-city-power-1.csv,city-power,tail_gt_10000
S3_bounded_heavytail_family_balanced,Mirai UDP Flooding,support_000496,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,tail_gt_10000
