role,family,fit_select_rows_in_original,fit_select_rows_after_mask,model_use_count,preprocessing_use_count,gate_use_count,report_only,sealed_unopened
id_calib,iotsim-stream-consumer,0,0,0,0,0,True,False
id_calib,iotsim-hydraulic-system,0,0,0,0,0,True,False
id_calib,iotsim-cooler-motor,73918,0,0,0,0,False,True
ood_val,iotsim-stream-consumer,0,0,0,0,0,True,False
ood_val,iotsim-hydraulic-system,20896,0,0,0,0,True,False
ood_val,iotsim-cooler-motor,0,0,0,0,0,False,True
support_val,iotsim-stream-consumer,0,0,0,0,0,True,False
support_val,iotsim-hydraulic-system,0,0,0,0,0,True,False
support_val,iotsim-cooler-motor,0,0,0,0,0,False,True
ood_stress,iotsim-stream-consumer,229900,0,0,0,0,True,False
ood_stress,iotsim-hydraulic-system,0,0,0,0,0,True,False
ood_stress,iotsim-cooler-motor,0,0,0,0,0,False,True
same_file_query,iotsim-stream-consumer,0,0,0,0,0,True,False
same_file_query,iotsim-hydraulic-system,0,0,0,0,0,True,False
same_file_query,iotsim-cooler-motor,0,0,0,0,0,False,True
future_query,iotsim-stream-consumer,0,0,0,0,0,True,False
future_query,iotsim-hydraulic-system,0,0,0,0,0,True,False
future_query,iotsim-cooler-motor,0,0,0,0,0,False,True
sealed_final_ood,iotsim-stream-consumer,0,0,0,0,0,True,False
sealed_final_ood,iotsim-hydraulic-system,0,0,0,0,0,True,False
sealed_final_ood,iotsim-cooler-motor,0,0,0,0,0,False,True
sealed_final_attack,iotsim-stream-consumer,0,0,0,0,0,True,False
sealed_final_attack,iotsim-hydraulic-system,0,0,0,0,0,True,False
sealed_final_attack,iotsim-cooler-motor,0,0,0,0,0,False,True
support_train,iotsim-stream-consumer,0,0,0,0,0,True,False
support_train,iotsim-hydraulic-system,0,0,0,0,0,True,False
support_train,iotsim-cooler-motor,0,0,0,0,0,False,True
