role,frame_phase,m1_phase,held_value,eligible_role_rows,frozen_target_rows,outside_frozen_target_cohort,target_alignment_incomplete,requested_rows,cache_aligned_rows,unmapped_rows,label_for_metric_only,report,protocol_run,seed,held_family_rows_removed,held_family_rows_retained,fit_select_use_count
support_train,fit,fit,GLOBAL,385,385,0,0,385,385,0,1,False,GLOBAL_ATTACK_PRESERVATION,27,,,
id_calib,fit,fit,GLOBAL,809,809,0,0,809,809,0,0,False,GLOBAL_ATTACK_PRESERVATION,27,,,
ood_val,fit,fit,GLOBAL,2604,2604,0,0,2604,2604,0,0,False,GLOBAL_ATTACK_PRESERVATION,27,,,
ood_stress,fit,fit,GLOBAL,0,0,0,0,0,0,0,0,False,GLOBAL_ATTACK_PRESERVATION,27,,,
support_val,select,select,GLOBAL,69,69,0,0,69,69,0,1,False,GLOBAL_ATTACK_PRESERVATION,27,,,
id_calib,select,select,GLOBAL,0,0,0,0,0,0,0,0,False,GLOBAL_ATTACK_PRESERVATION,27,,,
ood_val,select,select,GLOBAL,0,0,0,0,0,0,0,0,False,GLOBAL_ATTACK_PRESERVATION,27,,,
ood_stress,select,select,GLOBAL,0,0,0,0,0,0,0,0,False,GLOBAL_ATTACK_PRESERVATION,27,,,
same_file_query,all,report,GLOBAL,125679,2486,123193,0,125679,2486,123193,1,True,GLOBAL_ATTACK_PRESERVATION,27,,,
future_query,all,report,GLOBAL,378145,131391,246754,0,378145,131391,246754,1,True,GLOBAL_ATTACK_PRESERVATION,27,,,
sealed_final_attack,report_only,report,GLOBAL,110104,110104,0,0,110104,110104,0,1,True,GLOBAL_ATTACK_PRESERVATION,27,,,
aux_fit,fit,fit,GLOBAL,6600,6600,0,0,6600,6600,0,0,False,GLOBAL_ATTACK_PRESERVATION,27,0.0,0.0,
aux_select,select,select,GLOBAL,3000,3000,0,0,3000,3000,0,0,False,GLOBAL_ATTACK_PRESERVATION,27,0.0,0.0,
support_train,fit,fit,iotsim-ip-camera-street,385,385,0,0,385,385,0,1,False,iotsim-ip-camera-street,27,,,
id_calib,fit,fit,iotsim-ip-camera-street,809,809,0,0,809,809,0,0,False,iotsim-ip-camera-street,27,,,
ood_val,fit,fit,iotsim-ip-camera-street,2604,2604,0,0,2604,2604,0,0,False,iotsim-ip-camera-street,27,,,
ood_stress,fit,fit,iotsim-ip-camera-street,0,0,0,0,0,0,0,0,False,iotsim-ip-camera-street,27,,,
support_val,select,select,iotsim-ip-camera-street,69,69,0,0,69,69,0,1,False,iotsim-ip-camera-street,27,,,
id_calib,select,select,iotsim-ip-camera-street,0,0,0,0,0,0,0,0,False,iotsim-ip-camera-street,27,,,
ood_val,select,select,iotsim-ip-camera-street,0,0,0,0,0,0,0,0,False,iotsim-ip-camera-street,27,,,
ood_stress,select,select,iotsim-ip-camera-street,0,0,0,0,0,0,0,0,False,iotsim-ip-camera-street,27,,,
id_calib,select,report,iotsim-ip-camera-street,0,0,0,0,0,0,0,0,True,iotsim-ip-camera-street,27,,,
ood_val,select,report,iotsim-ip-camera-street,0,0,0,0,0,0,0,0,True,iotsim-ip-camera-street,27,,,
ood_stress,select,report,iotsim-ip-camera-street,0,0,0,0,0,0,0,0,True,iotsim-ip-camera-street,27,,,
same_file_query,all,report,iotsim-ip-camera-street,0,0,0,0,0,0,0,1,True,iotsim-ip-camera-street,27,,,
future_query,all,report,iotsim-ip-camera-street,0,0,0,0,0,0,0,1,True,iotsim-ip-camera-street,27,,,
sealed_final_ood,report_only,report,iotsim-ip-camera-street,99950,3000,96950,0,99950,3000,96950,0,True,iotsim-ip-camera-street,27,,,
sealed_final_attack,report_only,report,iotsim-ip-camera-street,0,0,0,0,0,0,0,1,True,iotsim-ip-camera-street,27,,,
aux_fit,fit,fit,iotsim-ip-camera-street,6600,6600,0,0,6600,6600,0,0,False,iotsim-ip-camera-street,27,0.0,0.0,
aux_select,select,select,iotsim-ip-camera-street,3000,3000,0,0,3000,3000,0,0,False,iotsim-ip-camera-street,27,0.0,0.0,
support_train,fit,fit,iotsim-predictive-maintenance,385,385,0,0,385,385,0,1,False,iotsim-predictive-maintenance,27,,,
id_calib,fit,fit,iotsim-predictive-maintenance,809,809,0,0,809,809,0,0,False,iotsim-predictive-maintenance,27,,,
ood_val,fit,fit,iotsim-predictive-maintenance,2604,2604,0,0,2604,2604,0,0,False,iotsim-predictive-maintenance,27,,,
ood_stress,fit,fit,iotsim-predictive-maintenance,0,0,0,0,0,0,0,0,False,iotsim-predictive-maintenance,27,,,
support_val,select,select,iotsim-predictive-maintenance,69,69,0,0,69,69,0,1,False,iotsim-predictive-maintenance,27,,,
id_calib,select,select,iotsim-predictive-maintenance,0,0,0,0,0,0,0,0,False,iotsim-predictive-maintenance,27,,,
ood_val,select,select,iotsim-predictive-maintenance,0,0,0,0,0,0,0,0,False,iotsim-predictive-maintenance,27,,,
ood_stress,select,select,iotsim-predictive-maintenance,0,0,0,0,0,0,0,0,False,iotsim-predictive-maintenance,27,,,
id_calib,select,report,iotsim-predictive-maintenance,0,0,0,0,0,0,0,0,True,iotsim-predictive-maintenance,27,,,
ood_val,select,report,iotsim-predictive-maintenance,0,0,0,0,0,0,0,0,True,iotsim-predictive-maintenance,27,,,
ood_stress,select,report,iotsim-predictive-maintenance,0,0,0,0,0,0,0,0,True,iotsim-predictive-maintenance,27,,,
same_file_query,all,report,iotsim-predictive-maintenance,0,0,0,0,0,0,0,1,True,iotsim-predictive-maintenance,27,,,
future_query,all,report,iotsim-predictive-maintenance,0,0,0,0,0,0,0,1,True,iotsim-predictive-maintenance,27,,,
sealed_final_ood,report_only,report,iotsim-predictive-maintenance,0,0,0,0,0,0,0,0,True,iotsim-predictive-maintenance,27,,,
sealed_final_attack,report_only,report,iotsim-predictive-maintenance,0,0,0,0,0,0,0,1,True,iotsim-predictive-maintenance,27,,,
aux_report,report,report,iotsim-predictive-maintenance,9000,9000,0,0,9000,9000,0,0,True,iotsim-predictive-maintenance,27,,,0.0
aux_fit,fit,fit,iotsim-predictive-maintenance,6600,6600,0,0,6600,6600,0,0,False,iotsim-predictive-maintenance,27,0.0,0.0,
aux_select,select,select,iotsim-predictive-maintenance,3000,3000,0,0,3000,3000,0,0,False,iotsim-predictive-maintenance,27,0.0,0.0,
support_train,fit,fit,iotsim-stream-consumer,385,385,0,0,385,385,0,1,False,iotsim-stream-consumer,27,,,
id_calib,fit,fit,iotsim-stream-consumer,809,809,0,0,809,809,0,0,False,iotsim-stream-consumer,27,,,
ood_val,fit,fit,iotsim-stream-consumer,2604,2604,0,0,2604,2604,0,0,False,iotsim-stream-consumer,27,,,
ood_stress,fit,fit,iotsim-stream-consumer,0,0,0,0,0,0,0,0,False,iotsim-stream-consumer,27,,,
support_val,select,select,iotsim-stream-consumer,69,69,0,0,69,69,0,1,False,iotsim-stream-consumer,27,,,
id_calib,select,select,iotsim-stream-consumer,0,0,0,0,0,0,0,0,False,iotsim-stream-consumer,27,,,
ood_val,select,select,iotsim-stream-consumer,0,0,0,0,0,0,0,0,False,iotsim-stream-consumer,27,,,
