feature_row_index,extension_row_id,support_version,bank_partition,support_val_phase,source_contract_role,source_csv,source_group,exact_attack_label,mechanism_family,source_segment_id,csv_row_index,csv_timestamp_epoch,pcap_member,pcap_packet_index,packet_timestamp_epoch,timestamp_delta_us,timestamp_alignment_status,feature_dim,feature_vector_sha256,frontend,state_strategy,raw_label_column_read,raw_label_use,selection_allowed,report_only,sealed_final,forbidden_for_fit,forbidden_for_threshold,forbidden_for_model_selection,temporal_admissibility,same_capture_candidate_after_frozen_query,frozen_query_first_epoch,frozen_query_last_epoch,quarantine_reason
0,ckbr_91507dd0f91436933598,support_v2_candidate_quarantined_materialized_v1,support_train,not_applicable,quarantined_same_capture_future_order_diagnostic,processed/iotsim-city-power-1.csv,city-power,TCP Scan,reconnaissance_scan,2654,38470,1737236709.220403,raw/malicious/mirai-infection/iotsim-city-power-1_0-0_to_OpenvSwitch-26_1-0.pcap,102870,1737236709.220403,0.000000000,within_2us_epoch_match,115,4d33b3cc4a35a86c531aebd5873be9ed5e7e57c1a99ddf8fa8e270178c21033e,vendored_mature_Kitsune_AfterImage_RestoredNetStat115,frozen_id_train_state_then_source_local_online_current_packet_inclusive,True,offline_exact_support_materialization_only,False,False,False,True,True,True,False,True,1737236014.326398,1737236386.608933,same_capture_candidate_occurs_after_already_frozen_future_query
1,ckbr_ce840012bb0f87b1196d,support_v2_candidate_quarantined_materialized_v1,support_train,not_applicable,quarantined_same_capture_future_order_diagnostic,processed/iotsim-city-power-1.csv,city-power,TCP Scan,reconnaissance_scan,2656,38491,1737236709.305268,raw/malicious/mirai-infection/iotsim-city-power-1_0-0_to_OpenvSwitch-26_1-0.pcap,102891,1737236709.305268,0.000000000,within_2us_epoch_match,115,feac18976fd98c54b21177c4ae7e16567d2926e0d9326988f5d57fddb38eb2f4,vendored_mature_Kitsune_AfterImage_RestoredNetStat115,frozen_id_train_state_then_source_local_online_current_packet_inclusive,True,offline_exact_support_materialization_only,False,False,False,True,True,True,False,True,1737236014.326398,1737236386.608933,same_capture_candidate_occurs_after_already_frozen_future_query
2,ckbr_5f21abc78574f690274d,support_v2_candidate_quarantined_materialized_v1,support_train,not_applicable,quarantined_same_capture_future_order_diagnostic,processed/iotsim-city-power-1.csv,city-power,TCP Scan,reconnaissance_scan,2658,38499,1737236709.349498,raw/malicious/mirai-infection/iotsim-city-power-1_0-0_to_OpenvSwitch-26_1-0.pcap,102899,1737236709.349498,0.000000000,within_2us_epoch_match,115,6bca1ea9f539ef7dcd27f1dc78caeddfd90a372e846a93cbbfa5bace68e93c55,vendored_mature_Kitsune_AfterImage_RestoredNetStat115,frozen_id_train_state_then_source_local_online_current_packet_inclusive,True,offline_exact_support_materialization_only,False,False,False,True,True,True,False,True,1737236014.326398,1737236386.608933,same_capture_candidate_occurs_after_already_frozen_future_query
3,ckbr_23ec2de429de4bf2298a,support_v2_candidate_quarantined_materialized_v1,support_train,not_applicable,quarantined_same_capture_future_order_diagnostic,processed/iotsim-city-power-1.csv,city-power,TCP Scan,reconnaissance_scan,2660,38531,1737236710.409118,raw/malicious/mirai-infection/iotsim-city-power-1_0-0_to_OpenvSwitch-26_1-0.pcap,103005,1737236710.409118,0.000000000,within_2us_epoch_match,115,e960123bb814f04e9b585c847cf17d069b5e4b158e47f430b145bee4522c849f,vendored_mature_Kitsune_AfterImage_RestoredNetStat115,frozen_id_train_state_then_source_local_online_current_packet_inclusive,True,offline_exact_support_materialization_only,False,False,False,True,True,True,False,True,1737236014.326398,1737236386.608933,same_capture_candidate_occurs_after_already_frozen_future_query
4,ckbr_64a073abbeeab1f559e6,support_v2_candidate_quarantined_materialized_v1,support_train,not_applicable,quarantined_same_capture_future_order_diagnostic,processed/iotsim-city-power-1.csv,city-power,TCP Scan,reconnaissance_scan,2662,38612,1737236711.479293,raw/malicious/mirai-infection/iotsim-city-power-1_0-0_to_OpenvSwitch-26_1-0.pcap,103164,1737236711.479293,0.000000000,within_2us_epoch_match,115,4ebb8f08066a9fe07aedb6b9272f63810b5eeee628c5ae65c6561dcd1ebcb26b,vendored_mature_Kitsune_AfterImage_RestoredNetStat115,frozen_id_train_state_then_source_local_online_current_packet_inclusive,True,offline_exact_support_materialization_only,False,False,False,True,True,True,False,True,1737236014.326398,1737236386.608933,same_capture_candidate_occurs_after_already_frozen_future_query
5,ckbr_5e6fe0561fe10321789d,support_v2_candidate_quarantined_materialized_v1,support_train,not_applicable,quarantined_same_capture_future_order_diagnostic,processed/iotsim-city-power-1.csv,city-power,TCP Scan,reconnaissance_scan,2664,38742,1737236714.159324,raw/malicious/mirai-infection/iotsim-city-power-1_0-0_to_OpenvSwitch-26_1-0.pcap,103466,1737236714.159324,0.000000000,within_2us_epoch_match,115,938b8338fe5989c6b64cb5dfa05ed28ca0761e18bbcf99732ad0d00c66ebcfec,vendored_mature_Kitsune_AfterImage_RestoredNetStat115,frozen_id_train_state_then_source_local_online_current_packet_inclusive,True,offline_exact_support_materialization_only,False,False,False,True,True,True,False,True,1737236014.326398,1737236386.608933,same_capture_candidate_occurs_after_already_frozen_future_query
6,ckbr_6470aae0ecbcce46f2cc,support_v2_candidate_quarantined_materialized_v1,support_train,not_applicable,quarantined_same_capture_future_order_diagnostic,processed/iotsim-city-power-1.csv,city-power,TCP Scan,reconnaissance_scan,2666,38757,1737236714.25559,raw/malicious/mirai-infection/iotsim-city-power-1_0-0_to_OpenvSwitch-26_1-0.pcap,103481,1737236714.255590,0.000000000,within_2us_epoch_match,115,7ca8a34d6ab4a36f44daf6574e94612462d0362ff814f2585202d9798a871945,vendored_mature_Kitsune_AfterImage_RestoredNetStat115,frozen_id_train_state_then_source_local_online_current_packet_inclusive,True,offline_exact_support_materialization_only,False,False,False,True,True,True,False,True,1737236014.326398,1737236386.608933,same_capture_candidate_occurs_after_already_frozen_future_query
7,ckbr_9e4caf0965d0d1fa97f7,support_v2_candidate_quarantined_materialized_v1,support_train,not_applicable,quarantined_same_capture_future_order_diagnostic,processed/iotsim-city-power-1.csv,city-power,TCP Scan,reconnaissance_scan,2668,38762,1737236714.305587,raw/malicious/mirai-infection/iotsim-city-power-1_0-0_to_OpenvSwitch-26_1-0.pcap,103487,1737236714.305587,0.000000000,within_2us_epoch_match,115,572ae59ee512fd046e31a530b512b4fead2bf4d23c83145ef4eed8e172935a1b,vendored_mature_Kitsune_AfterImage_RestoredNetStat115,frozen_id_train_state_then_source_local_online_current_packet_inclusive,True,offline_exact_support_materialization_only,False,False,False,True,True,True,False,True,1737236014.326398,1737236386.608933,same_capture_candidate_occurs_after_already_frozen_future_query
8,ckbr_1eaa85eec4201422664b,support_v2_candidate_quarantined_materialized_v1,support_train,not_applicable,quarantined_same_capture_future_order_diagnostic,processed/iotsim-city-power-1.csv,city-power,TCP Scan,reconnaissance_scan,2670,38805,1737236715.237059,raw/malicious/mirai-infection/iotsim-city-power-1_0-0_to_OpenvSwitch-26_1-0.pcap,103620,1737236715.237059,0.000000000,within_2us_epoch_match,115,fe26ee24fcea08719a42f8bd34b8a498b644fdf70dcbe2b6abd3fcf13fb9e945,vendored_mature_Kitsune_AfterImage_RestoredNetStat115,frozen_id_train_state_then_source_local_online_current_packet_inclusive,True,offline_exact_support_materialization_only,False,False,False,True,True,True,False,True,1737236014.326398,1737236386.608933,same_capture_candidate_occurs_after_already_frozen_future_query
9,ckbr_7d828741d9ba51fa8d3f,support_v2_candidate_quarantined_materialized_v1,support_train,not_applicable,quarantined_same_capture_future_order_diagnostic,processed/iotsim-city-power-1.csv,city-power,TCP Scan,reconnaissance_scan,2672,38899,1737236717.423909,raw/malicious/mirai-infection/iotsim-city-power-1_0-0_to_OpenvSwitch-26_1-0.pcap,103865,1737236717.423909,0.000000000,within_2us_epoch_match,115,ccff724b68d0c4d2560a57a523d1eac00ca3186974ea5ae9239f39f026236e62,vendored_mature_Kitsune_AfterImage_RestoredNetStat115,frozen_id_train_state_then_source_local_online_current_packet_inclusive,True,offline_exact_support_materialization_only,False,False,False,True,True,True,False,True,1737236014.326398,1737236386.608933,same_capture_candidate_occurs_after_already_frozen_future_query
