seed,role,rows,file_count,device_hint_count,attack_type_count,phase_count,top_files,top_device_hints,top_attack_types,phase_distribution,packet_index_min,packet_index_max,recorded_index_min,recorded_index_max,timestamp_min,timestamp_max,role_hash
42,medium_support_train,75,2,2,1,2,processed/iotsim-city-power-1.csv:52|processed/iotsim-combined-cycle-10.csv:23,city-power:52|combined-cycle:23,mirai-infection:75,early_50_499:48|mid_500_1999:27,1001,1750,50,784,1737235782.515852,1737235810.080901,15056d2c134a965f753d62468f3f250ec54332216036fec54cc2aee0e2bcab4d
42,medium_support_val,25,2,2,1,2,processed/iotsim-city-power-1.csv:14|processed/iotsim-combined-cycle-10.csv:11,city-power:14|combined-cycle:11,mirai-infection:25,early_50_499:16|mid_500_1999:9,1000,1744,51,778,1737235782.519669,1737235809.371799,bdb699049c8cb4b0e66dbc5b6b4afbdc2e4778a2414a098106f42944ffd76e9e
42,medium_pseudo_query_dev,28,1,1,1,2,processed/iotsim-air-quality-1.csv:28,air-quality:28,mirai-infection:28,mid_500_1999:20|early_50_499:8,2150,2829,118,797,1737235797.57439,1737235824.155908,a9adc52ddbd75db5abf8b6e96cb3f31a3c947d3d6ec2fabfb81b3e207181853a
42,medium_attack_eval_report_only,2250,3,3,1,2,processed/iotsim-building-monitor-1.csv:750|processed/iotsim-combined-cycle-1.csv:750|processed/iotsim-domotic-monitor-1.csv:750,building-monitor:750|combined-cycle:750|domotic-monitor:750,mirai-infection:2250,early_50_499:1350|mid_500_1999:900,1092,2815,50,799,1737235765.292268,1737235819.547685,f0cbd95585704bc4f57192a291562f9981808313fe13ec3d21b4e0be5b2d8d39
42,heavy_active_candidate_stream,2000,2,2,1,3,processed/iotsim-ip-camera-museum-1.csv:1000|processed/iotsim-ip-camera-street-1.csv:1000,ip-camera-museum:1000|ip-camera-street:1000,mirai-infection:2000,mid_500_1999:1000|early_50_499:900|warmup_edge_0_49:100,413113,645552,0,999,1737235770.488062,1737235806.429164,288e27a4dee22b578ec82c5d7d947aabc4d51f86342322178a8222e046050596
42,heavy_support_train,24,1,1,1,3,processed/iotsim-ip-camera-street-1.csv:24,ip-camera-street:24,mirai-infection:24,early_50_499:12|mid_500_1999:11|warmup_edge_0_49:1,413120,414089,7,976,1737235801.028257,1737235806.298238,9beea8f2bce730af01722af4decf811e4257d0e80f0220e9dfc487530bd50088
42,heavy_support_val,8,1,1,1,1,processed/iotsim-ip-camera-street-1.csv:8,ip-camera-street:8,mirai-infection:8,mid_500_1999:8,413682,413874,569,761,1737235804.276031,1737235805.296717,46e80ba3a4bd71a26356c3c1b4d942252d87c65f0d580ea4ee387b1519b403dd
42,heavy_pseudo_query_dev,32,1,1,1,3,processed/iotsim-ip-camera-museum-1.csv:32,ip-camera-museum:32,mirai-infection:32,early_50_499:14|mid_500_1999:13|warmup_edge_0_49:5,644554,645472,1,919,1737235770.48812,1737235774.815525,f138ed2f7f043856296db81c64db908a860a7e71b016d868aced9bde7de6352a
42,dev_heavy_query_report_only,4000,2,2,1,2,processed/iotsim-ip-camera-museum-1.csv:2000|processed/iotsim-ip-camera-street-1.csv:2000,ip-camera-museum:2000|ip-camera-street:2000,mirai-infection:4000,mid_500_1999:2000|late_2000_9999:2000,414113,647552,1000,2999,1737235775.169319,1737235824.563408,18927197593e154054437fe1291e8c4b467c0171815dc5a6005bea5618e3ff5f
43,medium_support_train,46,2,2,1,2,processed/iotsim-air-quality-1.csv:24|processed/iotsim-combined-cycle-10.csv:22,air-quality:24|combined-cycle:22,mirai-infection:46,early_50_499:24|mid_500_1999:22,1061,2829,95,797,1737235784.572821,1737235824.155908,1d8d8b5968fcedba0d0688adfc2a9b3055197ce8acdb9e4615edf9b3aef2e859
