role,csv_member,pcap_member,device,protocol,csv_total_rows,csv_benign_rows,csv_attack_rows,pcap_uncompressed_size,observed_in_issue27bx,observed_target_rows,observed_emitted_rows,observed_packets_scanned,verified_available_lower_bound_rows,planning_capacity_rows,estimate_source,issue27bx_shortfall_rows,completed_issue27bx_target,report_only_role,sealed_final_role,allowed_as_same_role_fallback,notes
id_benign_train,processed/iotsim-cooler-motor-1.csv,raw/benign/iotsim-cooler-motor-13_0-0_to_OpenvSwitch-20_3-0.pcap,cooler-motor,mqtt,157310,157310,0,3259762,true,32466,23217,23217,23217,23217,verified_issue27bx_shortfall_available_exact_or_lower_bound,9249,false,false,false,true,same_role_only_fallback_candidate
id_benign_train,processed/iotsim-cooler-motor-10.csv,raw/benign/iotsim-cooler-motor-10_0-0_to_OpenvSwitch-18_10-0.pcap,cooler-motor,mqtt,22476,22476,0,2943004,true,4638,4638,4639,4638,22476,issue27bx_completed_target_plus_file_manifest_upper_bound,0,true,false,false,true,same_role_only_fallback_candidate
id_benign_train,processed/iotsim-cooler-motor-11.csv,raw/benign/iotsim-cooler-motor-11_0-0_to_OpenvSwitch-20_1-0.pcap,cooler-motor,tls,22472,22472,0,3260784,true,4637,4637,4638,4637,22472,issue27bx_completed_target_plus_file_manifest_upper_bound,0,true,false,false,true,same_role_only_fallback_candidate
id_benign_train,processed/iotsim-cooler-motor-12.csv,raw/benign/iotsim-cooler-motor-12_0-0_to_OpenvSwitch-20_2-0.pcap,cooler-motor,tls,22469,22469,0,3258536,true,4636,4636,4637,4636,22469,issue27bx_completed_target_plus_file_manifest_upper_bound,0,true,false,false,true,same_role_only_fallback_candidate
id_benign_train,processed/iotsim-cooler-motor-13.csv,raw/benign/iotsim-cooler-motor-13_0-0_to_OpenvSwitch-20_3-0.pcap,cooler-motor,tls,22471,22471,0,3259762,true,4636,4636,4637,4636,22471,issue27bx_completed_target_plus_file_manifest_upper_bound,0,true,false,false,true,same_role_only_fallback_candidate
id_benign_train,processed/iotsim-cooler-motor-14.csv,raw/benign/iotsim-cooler-motor-14_0-0_to_OpenvSwitch-20_4-0.pcap,cooler-motor,tls,22475,22475,0,3260822,true,4637,4637,4638,4637,22475,issue27bx_completed_target_plus_file_manifest_upper_bound,0,true,false,false,true,same_role_only_fallback_candidate
id_benign_train,processed/iotsim-cooler-motor-15.csv,raw/benign/iotsim-cooler-motor-15_0-0_to_OpenvSwitch-20_5-0.pcap,cooler-motor,tls,22468,22468,0,3260054,true,4636,4636,4637,4636,22468,issue27bx_completed_target_plus_file_manifest_upper_bound,0,true,false,false,true,same_role_only_fallback_candidate
id_benign_train,processed/iotsim-cooler-motor-2.csv,raw/benign/iotsim-cooler-motor-2_0-0_to_OpenvSwitch-18_2-0.pcap,cooler-motor,mqtt,22468,22468,0,2931490,true,4636,4636,4637,4636,22468,issue27bx_completed_target_plus_file_manifest_upper_bound,0,true,false,false,true,same_role_only_fallback_candidate
id_benign_train,processed/iotsim-cooler-motor-3.csv,raw/benign/iotsim-cooler-motor-3_0-0_to_OpenvSwitch-18_3-0.pcap,cooler-motor,mqtt,22478,22478,0,2931914,true,4638,4638,4639,4638,22478,issue27bx_completed_target_plus_file_manifest_upper_bound,0,true,false,false,true,same_role_only_fallback_candidate
id_benign_train,processed/iotsim-cooler-motor-4.csv,raw/benign/iotsim-cooler-motor-4_0-0_to_OpenvSwitch-18_4-0.pcap,cooler-motor,mqtt,22478,22478,0,2932722,true,4638,4638,4639,4638,22478,issue27bx_completed_target_plus_file_manifest_upper_bound,0,true,false,false,true,same_role_only_fallback_candidate
id_benign_train,processed/iotsim-predictive-maintenance-1.csv,raw/benign/iotsim-predictive-maintenance-10_0-0_to_OpenvSwitch-19_10-0.pcap,predictive-maintenance,mqtt,137502,137502,0,1817317,false,0,0,0,0,137502,file_manifest_upper_bound_unverified_by_115d,0,,false,false,true,same_role_only_fallback_candidate
id_benign_train,processed/iotsim-predictive-maintenance-10.csv,raw/benign/iotsim-predictive-maintenance-10_0-0_to_OpenvSwitch-19_10-0.pcap,predictive-maintenance,mqtt,13720,13720,0,1817317,false,0,0,0,0,13720,file_manifest_upper_bound_unverified_by_115d,0,,false,false,true,same_role_only_fallback_candidate
id_benign_train,processed/iotsim-predictive-maintenance-11.csv,raw/benign/iotsim-predictive-maintenance-11_0-0_to_OpenvSwitch-21_1-0.pcap,predictive-maintenance,tls,22001,22001,0,5205993,false,0,0,0,0,22001,file_manifest_upper_bound_unverified_by_115d,0,,false,false,true,same_role_only_fallback_candidate
id_benign_train,processed/iotsim-predictive-maintenance-12.csv,raw/benign/iotsim-predictive-maintenance-12_0-0_to_OpenvSwitch-21_2-0.pcap,predictive-maintenance,tls,22016,22016,0,5208658,false,0,0,0,0,22016,file_manifest_upper_bound_unverified_by_115d,0,,false,false,true,same_role_only_fallback_candidate
id_benign_train,processed/iotsim-predictive-maintenance-13.csv,raw/benign/iotsim-predictive-maintenance-13_0-0_to_OpenvSwitch-21_3-0.pcap,predictive-maintenance,tls,22011,22011,0,5203154,false,0,0,0,0,22011,file_manifest_upper_bound_unverified_by_115d,0,,false,false,true,same_role_only_fallback_candidate
id_benign_train,processed/iotsim-predictive-maintenance-14.csv,raw/benign/iotsim-predictive-maintenance-14_0-0_to_OpenvSwitch-21_4-0.pcap,predictive-maintenance,tls,21997,21997,0,5202643,false,0,0,0,0,21997,file_manifest_upper_bound_unverified_by_115d,0,,false,false,true,same_role_only_fallback_candidate
id_benign_train,processed/iotsim-predictive-maintenance-15.csv,raw/benign/iotsim-predictive-maintenance-15_0-0_to_OpenvSwitch-21_5-0.pcap,predictive-maintenance,tls,22021,22021,0,5208509,false,0,0,0,0,22021,file_manifest_upper_bound_unverified_by_115d,0,,false,false,true,same_role_only_fallback_candidate
id_benign_train,processed/iotsim-predictive-maintenance-2.csv,raw/benign/iotsim-predictive-maintenance-2_0-0_to_OpenvSwitch-19_2-0.pcap,predictive-maintenance,mqtt,13722,13722,0,1816965,false,0,0,0,0,13722,file_manifest_upper_bound_unverified_by_115d,0,,false,false,true,same_role_only_fallback_candidate
id_benign_train,processed/iotsim-predictive-maintenance-3.csv,raw/benign/iotsim-predictive-maintenance-3_0-0_to_OpenvSwitch-19_3-0.pcap,predictive-maintenance,mqtt,13726,13726,0,1817205,false,0,0,0,0,13726,file_manifest_upper_bound_unverified_by_115d,0,,false,false,true,same_role_only_fallback_candidate
id_benign_train,processed/iotsim-predictive-maintenance-4.csv,raw/benign/iotsim-predictive-maintenance-4_0-0_to_OpenvSwitch-19_4-0.pcap,predictive-maintenance,mqtt,13726,13726,0,1817493,false,0,0,0,0,13726,file_manifest_upper_bound_unverified_by_115d,0,,false,false,true,same_role_only_fallback_candidate
id_benign_train,processed/iotsim-combined-cycle-tls-1.csv,raw/benign/iotsim-combined-cycle-tls-1_0-0_to_OpenvSwitch-14_1-0.pcap,combined-cycle-tls,coap,1944,1944,0,270551,true,401,401,402,401,1944,issue27bx_completed_target_plus_file_manifest_upper_bound,0,true,false,false,true,same_role_only_fallback_candidate
id_benign_train,processed/iotsim-combined-cycle-tls-2.csv,raw/benign/iotsim-combined-cycle-tls-2_0-0_to_OpenvSwitch-14_2-0.pcap,combined-cycle-tls,coap,1944,1944,0,270738,true,401,401,402,401,1944,issue27bx_completed_target_plus_file_manifest_upper_bound,0,true,false,false,true,same_role_only_fallback_candidate
id_benign_calib,processed/iotsim-cooler-motor-5.csv,raw/benign/iotsim-cooler-motor-5_0-0_to_OpenvSwitch-18_5-0.pcap,cooler-motor,mqtt,22471,22471,0,2930704,false,0,0,0,0,22471,file_manifest_upper_bound_unverified_by_115d,0,,false,false,true,same_role_only_fallback_candidate
id_benign_calib,processed/iotsim-cooler-motor-6.csv,raw/benign/iotsim-cooler-motor-6_0-0_to_OpenvSwitch-18_6-0.pcap,cooler-motor,mqtt,22468,22468,0,2930996,false,0,0,0,0,22468,file_manifest_upper_bound_unverified_by_115d,0,,false,false,true,same_role_only_fallback_candidate
id_benign_calib,processed/iotsim-cooler-motor-7.csv,raw/benign/iotsim-cooler-motor-7_0-0_to_OpenvSwitch-18_7-0.pcap,cooler-motor,mqtt,22475,22475,0,2933084,false,0,0,0,0,22475,file_manifest_upper_bound_unverified_by_115d,0,,false,false,true,same_role_only_fallback_candidate
id_benign_calib,processed/iotsim-cooler-motor-8.csv,raw/benign/iotsim-cooler-motor-8_0-0_to_OpenvSwitch-18_8-0.pcap,cooler-motor,mqtt,22466,22466,0,2930024,false,0,0,0,0,22466,file_manifest_upper_bound_unverified_by_115d,0,,false,false,true,same_role_only_fallback_candidate
id_benign_calib,processed/iotsim-cooler-motor-9.csv,raw/benign/iotsim-cooler-motor-9_0-0_to_OpenvSwitch-18_9-0.pcap,cooler-motor,mqtt,22472,22472,0,2931258,false,0,0,0,0,22472,file_manifest_upper_bound_unverified_by_115d,0,,false,false,true,same_role_only_fallback_candidate
id_benign_calib,processed/iotsim-predictive-maintenance-5.csv,raw/benign/iotsim-predictive-maintenance-5_0-0_to_OpenvSwitch-19_5-0.pcap,predictive-maintenance,mqtt,13710,13710,0,1815411,false,0,0,0,0,13710,file_manifest_upper_bound_unverified_by_115d,0,,false,false,true,same_role_only_fallback_candidate
