role,csv_member,pcap_member,target_rows,emitted_rows,shortfall_rows,completed_target,packets_scanned,pre_record_packets,parse_errors,elapsed_seconds,rows_per_second,shortfall_class
id_benign_train,processed/iotsim-cooler-motor-1.csv,raw/benign/iotsim-cooler-motor-13_0-0_to_OpenvSwitch-20_3-0.pcap,32466,23217,9249,False,23217,0,0,7.637,3040.0681,pcap_available_rows_below_quota
id_benign_train,processed/iotsim-cooler-motor-10.csv,raw/benign/iotsim-cooler-motor-10_0-0_to_OpenvSwitch-18_10-0.pcap,4638,4638,0,True,4639,0,0,1.54,3011.6883,none
id_benign_train,processed/iotsim-cooler-motor-11.csv,raw/benign/iotsim-cooler-motor-11_0-0_to_OpenvSwitch-20_1-0.pcap,4637,4637,0,True,4638,0,0,1.513,3064.772,none
id_benign_train,processed/iotsim-cooler-motor-12.csv,raw/benign/iotsim-cooler-motor-12_0-0_to_OpenvSwitch-20_2-0.pcap,4636,4636,0,True,4637,0,0,1.491,3109.3226,none
id_benign_train,processed/iotsim-cooler-motor-13.csv,raw/benign/iotsim-cooler-motor-13_0-0_to_OpenvSwitch-20_3-0.pcap,4636,4636,0,True,4637,0,0,1.728,2682.8704,none
id_benign_train,processed/iotsim-cooler-motor-14.csv,raw/benign/iotsim-cooler-motor-14_0-0_to_OpenvSwitch-20_4-0.pcap,4637,4637,0,True,4638,0,0,3.138,1477.6928,none
id_benign_train,processed/iotsim-cooler-motor-15.csv,raw/benign/iotsim-cooler-motor-15_0-0_to_OpenvSwitch-20_5-0.pcap,4636,4636,0,True,4637,0,0,1.939,2390.9232,none
id_benign_train,processed/iotsim-cooler-motor-2.csv,raw/benign/iotsim-cooler-motor-2_0-0_to_OpenvSwitch-18_2-0.pcap,4636,4636,0,True,4637,0,0,1.88,2465.9574,none
id_benign_train,processed/iotsim-cooler-motor-3.csv,raw/benign/iotsim-cooler-motor-3_0-0_to_OpenvSwitch-18_3-0.pcap,4638,4638,0,True,4639,0,0,1.578,2939.1635,none
id_benign_train,processed/iotsim-cooler-motor-4.csv,raw/benign/iotsim-cooler-motor-4_0-0_to_OpenvSwitch-18_4-0.pcap,4638,4638,0,True,4639,0,0,1.713,2707.5306,none
id_benign_train,processed/iotsim-combined-cycle-tls-1.csv,raw/benign/iotsim-combined-cycle-tls-1_0-0_to_OpenvSwitch-14_1-0.pcap,401,401,0,True,402,0,0,0.216,1856.4815,none
id_benign_train,processed/iotsim-combined-cycle-tls-2.csv,raw/benign/iotsim-combined-cycle-tls-2_0-0_to_OpenvSwitch-14_2-0.pcap,401,401,0,True,402,0,0,0.179,2240.2235,none
id_benign_calib,processed/iotsim-combined-cycle-tls-3.csv,raw/benign/iotsim-combined-cycle-tls-3_0-0_to_OpenvSwitch-14_3-0.pcap,1944,1944,0,True,1945,0,0,1.13,1720.354,none
id_benign_calib,processed/iotsim-combined-cycle-tls-4.csv,raw/benign/iotsim-combined-cycle-tls-4_0-0_to_OpenvSwitch-14_4-0.pcap,1944,1944,0,True,1945,0,0,1.048,1854.9618,none
id_benign_calib,processed/iotsim-combined-cycle-tls-5.csv,raw/benign/iotsim-combined-cycle-tls-5_0-0_to_OpenvSwitch-14_5-0.pcap,1944,1944,0,True,1945,0,0,1.085,1791.7051,none
ood_benign_val,processed/iotsim-hydraulic-system-1.csv,raw/benign/iotsim-hydraulic-system-15_0-0_to_OpenvSwitch-16_5-0.pcap,9097,3869,5228,False,3869,0,0,3.126,1237.6839,pcap_available_rows_below_quota
ood_benign_val,processed/iotsim-hydraulic-system-10.csv,raw/benign/iotsim-hydraulic-system-10_0-0_to_OpenvSwitch-15_10-0.pcap,1307,1307,0,True,1308,0,0,1.158,1128.6701,none
ood_benign_val,processed/iotsim-hydraulic-system-11.csv,raw/benign/iotsim-hydraulic-system-11_0-0_to_OpenvSwitch-16_1-0.pcap,1286,1286,0,True,1287,0,0,1.24,1037.0968,none
ood_benign_val,processed/iotsim-hydraulic-system-12.csv,raw/benign/iotsim-hydraulic-system-12_0-0_to_OpenvSwitch-16_2-0.pcap,1302,1302,0,True,1303,0,0,1.092,1192.3077,none
ood_benign_val,processed/iotsim-hydraulic-system-13.csv,raw/benign/iotsim-hydraulic-system-13_0-0_to_OpenvSwitch-16_3-0.pcap,1294,1294,0,True,1295,0,0,0.926,1397.4082,none
ood_benign_val,processed/iotsim-hydraulic-system-14.csv,raw/benign/iotsim-hydraulic-system-14_0-0_to_OpenvSwitch-16_4-0.pcap,1294,1294,0,True,1295,0,0,1.041,1243.0355,none
ood_benign_val,processed/iotsim-hydraulic-system-15.csv,raw/benign/iotsim-hydraulic-system-15_0-0_to_OpenvSwitch-16_5-0.pcap,1302,1302,0,True,1303,0,0,1.256,1036.6242,none
ood_benign_val,processed/iotsim-hydraulic-system-2.csv,raw/benign/iotsim-hydraulic-system-2_0-0_to_OpenvSwitch-15_2-0.pcap,1304,1304,0,True,1305,0,0,0.952,1369.7479,none
ood_benign_val,processed/iotsim-building-monitor-2.csv,raw/benign/iotsim-building-monitor-2_0-0_to_OpenvSwitch-28_2-0.pcap,907,907,0,True,908,0,0,1.712,529.7897,none
ood_benign_val,processed/iotsim-building-monitor-3.csv,raw/benign/iotsim-building-monitor-3_0-0_to_OpenvSwitch-28_3-0.pcap,907,907,0,True,908,0,0,1.754,517.1038,none
ood_benign_stress,processed/iotsim-hydraulic-system-3.csv,raw/benign/iotsim-hydraulic-system-3_0-0_to_OpenvSwitch-15_3-0.pcap,91,91,0,True,92,0,0,0.235,387.234,none
ood_benign_stress,processed/iotsim-hydraulic-system-4.csv,raw/benign/iotsim-hydraulic-system-4_0-0_to_OpenvSwitch-15_4-0.pcap,92,92,0,True,93,0,0,0.275,334.5455,none
ood_benign_stress,processed/iotsim-hydraulic-system-5.csv,raw/benign/iotsim-hydraulic-system-5_0-0_to_OpenvSwitch-15_5-0.pcap,91,91,0,True,92,0,0,0.191,476.4398,none
ood_benign_stress,processed/iotsim-hydraulic-system-6.csv,raw/benign/iotsim-hydraulic-system-6_0-0_to_OpenvSwitch-15_6-0.pcap,91,91,0,True,92,0,0,0.279,326.1649,none
ood_benign_stress,processed/iotsim-hydraulic-system-7.csv,raw/benign/iotsim-hydraulic-system-7_0-0_to_OpenvSwitch-15_7-0.pcap,91,91,0,True,92,0,0,0.263,346.0076,none
ood_benign_stress,processed/iotsim-hydraulic-system-8.csv,raw/benign/iotsim-hydraulic-system-8_0-0_to_OpenvSwitch-15_8-0.pcap,92,92,0,True,93,0,0,0.333,276.2763,none
ood_benign_stress,processed/iotsim-hydraulic-system-9.csv,raw/benign/iotsim-hydraulic-system-9_0-0_to_OpenvSwitch-15_9-0.pcap,91,91,0,True,92,0,0,0.211,431.2796,none
ood_benign_stress,processed/iotsim-stream-consumer-1.csv,raw/benign/iotsim-stream-consumer-1_0-0_to_OpenvSwitch-30_1-0.pcap,17049,17049,0,True,17050,0,0,5.685,2998.9446,none
ood_benign_stress,processed/iotsim-stream-consumer-2.csv,raw/benign/iotsim-stream-consumer-2_0-0_to_OpenvSwitch-30_2-0.pcap,17065,17065,0,True,17066,0,0,5.581,3057.6958,none
ood_benign_stress,processed/iotsim-domotic-monitor-2.csv,raw/benign/iotsim-domotic-monitor-2_0-0_to_OpenvSwitch-23_2-0.pcap,60,60,0,True,61,0,0,0.26,230.7692,none
ood_benign_stress,processed/iotsim-domotic-monitor-3.csv,raw/benign/iotsim-domotic-monitor-3_0-0_to_OpenvSwitch-23_3-0.pcap,61,61,0,True,62,0,0,0.281,217.0819,none
ood_benign_stress,processed/iotsim-building-monitor-4.csv,raw/benign/iotsim-building-monitor-4_0-0_to_OpenvSwitch-28_4-0.pcap,63,63,0,True,64,0,0,0.236,266.9492,none
ood_benign_stress,processed/iotsim-building-monitor-5.csv,raw/benign/iotsim-building-monitor-5_0-0_to_OpenvSwitch-28_5-0.pcap,63,63,0,True,64,0,0,0.279,225.8065,none
sealed_final_ood,processed/iotsim-ip-camera-museum-2.csv,raw/benign/iotsim-ip-camera-museum-2_0-0_to_OpenvSwitch-29_2-0.pcap,21402,21402,0,True,21403,0,0,7.014,3051.3259,none
sealed_final_ood,processed/iotsim-ip-camera-street-2.csv,raw/benign/iotsim-ip-camera-street-2_0-0_to_OpenvSwitch-24_2-0.pcap,13598,13598,0,True,13599,0,0,4.123,3298.0839,none
attack_support_candidate_pool,processed/iotsim-air-quality-1.csv,raw/malicious/mirai-infection/iotsim-air-quality-1_0-0_to_OpenvSwitch-25_1-0.pcap,601,601,0,True,2634,2032,0,5.722,105.0332,none
attack_support_candidate_pool,processed/iotsim-city-power-1.csv,raw/malicious/mirai-infection/iotsim-city-power-1_0-0_to_OpenvSwitch-26_1-0.pcap,19399,19399,0,True,20263,863,0,60.57,320.2741,none
dev_future_attack_query,processed/iotsim-ip-camera-museum-1.csv,raw/malicious/mirai-infection/iotsim-ip-camera-museum-1_0-0_to_OpenvSwitch-29_1-0.pcap,25389,25389,0,True,669943,644553,0,185.82,136.6322,none
dev_future_attack_query,processed/iotsim-domotic-monitor-1.csv,raw/malicious/mirai-infection/iotsim-domotic-monitor-1_0-0_to_OpenvSwitch-23_1-0.pcap,9026,9026,0,True,11043,2016,0,31.692,284.8037,none
dev_future_attack_query,processed/iotsim-combined-cycle-10.csv,raw/malicious/mirai-infection/iotsim-combined-cycle-10_0-0_to_OpenvSwitch-13_10-0.pcap,585,585,0,True,1552,966,0,2.373,246.5234,none
sealed_final_attack,processed/iotsim-ip-camera-street-1.csv,raw/malicious/mirai-infection/iotsim-ip-camera-street-1_0-0_to_OpenvSwitch-24_1-0.pcap,15000,15000,0,True,428114,413113,0,111.037,135.0901,none
