candidate,held_field,held_value,role,phase,label,rows_before_exclude,rows_after_exclude,held_rows_removed,feature_dim,train_classes,train_rows_total
G1_graph_interaction_only_histgb,device_family,iotsim-stream-consumer,support_train,fit,3,58,58,0,82,0|1|3,8058
G1_graph_interaction_only_histgb,device_family,iotsim-stream-consumer,id_calib,fit,0,4000,4000,0,82,0|1|3,8058
G1_graph_interaction_only_histgb,device_family,iotsim-stream-consumer,ood_val,fit,1,4000,4000,0,82,0|1|3,8058
G1_graph_interaction_only_histgb,device_family,iotsim-stream-consumer,ood_stress,fit,2,4000,0,4000,82,0|1|3,8058
Z1_zeek_semantic_only_histgb,device_family,iotsim-stream-consumer,support_train,fit,3,58,58,0,115,0|1|3,8058
Z1_zeek_semantic_only_histgb,device_family,iotsim-stream-consumer,id_calib,fit,0,4000,4000,0,115,0|1|3,8058
Z1_zeek_semantic_only_histgb,device_family,iotsim-stream-consumer,ood_val,fit,1,4000,4000,0,115,0|1|3,8058
Z1_zeek_semantic_only_histgb,device_family,iotsim-stream-consumer,ood_stress,fit,2,4000,0,4000,115,0|1|3,8058
N1_netflow_style_only_histgb,device_family,iotsim-stream-consumer,support_train,fit,3,58,58,0,193,0|1|3,8058
N1_netflow_style_only_histgb,device_family,iotsim-stream-consumer,id_calib,fit,0,4000,4000,0,193,0|1|3,8058
N1_netflow_style_only_histgb,device_family,iotsim-stream-consumer,ood_val,fit,1,4000,4000,0,193,0|1|3,8058
N1_netflow_style_only_histgb,device_family,iotsim-stream-consumer,ood_stress,fit,2,4000,0,4000,193,0|1|3,8058
C1_cicflow_style_only_histgb,device_family,iotsim-stream-consumer,support_train,fit,3,58,58,0,207,0|1|3,8058
C1_cicflow_style_only_histgb,device_family,iotsim-stream-consumer,id_calib,fit,0,4000,4000,0,207,0|1|3,8058
C1_cicflow_style_only_histgb,device_family,iotsim-stream-consumer,ood_val,fit,1,4000,4000,0,207,0|1|3,8058
C1_cicflow_style_only_histgb,device_family,iotsim-stream-consumer,ood_stress,fit,2,4000,0,4000,207,0|1|3,8058
