csv_member,segment_id,label,segment_start_row,segment_end_row,segment_rows,phase_at_start,materialization_allowed_role,notes
processed/iotsim-air-quality-1.csv,1,Telnet Brute Force,2636,2637,2,late_2000_10000,attack_support_candidate_pool,support_candidate_file_only
processed/iotsim-air-quality-1.csv,3,Telnet Brute Force,2646,2858,213,late_2000_10000,attack_support_candidate_pool,support_candidate_file_only
processed/iotsim-air-quality-1.csv,5,Telnet Brute Force,2863,2903,41,late_2000_10000,attack_support_candidate_pool,support_candidate_file_only
processed/iotsim-air-quality-1.csv,7,Telnet Brute Force,2912,3319,408,late_2000_10000,attack_support_candidate_pool,support_candidate_file_only
processed/iotsim-air-quality-1.csv,9,Telnet Brute Force,3324,3560,237,late_2000_10000,attack_support_candidate_pool,support_candidate_file_only
processed/iotsim-air-quality-1.csv,11,Telnet Brute Force,3569,3967,399,late_2000_10000,attack_support_candidate_pool,support_candidate_file_only
processed/iotsim-air-quality-1.csv,13,Telnet Brute Force,3972,3995,24,late_2000_10000,attack_support_candidate_pool,support_candidate_file_only
processed/iotsim-air-quality-1.csv,15,Telnet Brute Force,4004,4349,346,late_2000_10000,attack_support_candidate_pool,support_candidate_file_only
processed/iotsim-air-quality-1.csv,16,TCP Scan,4350,4351,2,late_2000_10000,attack_support_candidate_pool,support_candidate_file_only
processed/iotsim-air-quality-1.csv,17,Telnet Brute Force,4352,4382,31,late_2000_10000,attack_support_candidate_pool,support_candidate_file_only
processed/iotsim-air-quality-1.csv,18,TCP Scan,4383,4452,70,late_2000_10000,attack_support_candidate_pool,support_candidate_file_only
processed/iotsim-air-quality-1.csv,19,Telnet Brute Force,4453,4476,24,late_2000_10000,attack_support_candidate_pool,support_candidate_file_only
processed/iotsim-air-quality-1.csv,21,Telnet Brute Force,4481,4827,347,late_2000_10000,attack_support_candidate_pool,support_candidate_file_only
processed/iotsim-air-quality-1.csv,22,TCP Scan,4828,4877,50,late_2000_10000,attack_support_candidate_pool,support_candidate_file_only
processed/iotsim-air-quality-1.csv,24,Telnet Brute Force,4886,4893,8,late_2000_10000,attack_support_candidate_pool,support_candidate_file_only
processed/iotsim-air-quality-1.csv,25,TCP Scan,4894,4895,2,late_2000_10000,attack_support_candidate_pool,support_candidate_file_only
processed/iotsim-air-quality-1.csv,26,Telnet Brute Force,4896,4896,1,late_2000_10000,attack_support_candidate_pool,support_candidate_file_only
processed/iotsim-air-quality-1.csv,27,TCP Scan,4897,4908,12,late_2000_10000,attack_support_candidate_pool,support_candidate_file_only
processed/iotsim-air-quality-1.csv,28,Telnet Brute Force,4909,4909,1,late_2000_10000,attack_support_candidate_pool,support_candidate_file_only
processed/iotsim-air-quality-1.csv,29,TCP Scan,4910,4913,4,late_2000_10000,attack_support_candidate_pool,support_candidate_file_only
processed/iotsim-air-quality-1.csv,30,Telnet Brute Force,4914,4918,5,late_2000_10000,attack_support_candidate_pool,support_candidate_file_only
processed/iotsim-air-quality-1.csv,31,TCP Scan,4919,4955,37,late_2000_10000,attack_support_candidate_pool,support_candidate_file_only
processed/iotsim-air-quality-1.csv,32,Telnet Brute Force,4956,4963,8,late_2000_10000,attack_support_candidate_pool,support_candidate_file_only
processed/iotsim-air-quality-1.csv,33,TCP Scan,4964,4971,8,late_2000_10000,attack_support_candidate_pool,support_candidate_file_only
processed/iotsim-air-quality-1.csv,34,Telnet Brute Force,4972,4974,3,late_2000_10000,attack_support_candidate_pool,support_candidate_file_only
processed/iotsim-air-quality-1.csv,35,TCP Scan,4975,4978,4,late_2000_10000,attack_support_candidate_pool,support_candidate_file_only
processed/iotsim-air-quality-1.csv,36,Telnet Brute Force,4979,4979,1,late_2000_10000,attack_support_candidate_pool,support_candidate_file_only
processed/iotsim-air-quality-1.csv,37,TCP Scan,4980,4983,4,late_2000_10000,attack_support_candidate_pool,support_candidate_file_only
processed/iotsim-air-quality-1.csv,38,Telnet Brute Force,4984,4987,4,late_2000_10000,attack_support_candidate_pool,support_candidate_file_only
processed/iotsim-air-quality-1.csv,39,TCP Scan,4988,4988,1,late_2000_10000,attack_support_candidate_pool,support_candidate_file_only
processed/iotsim-air-quality-1.csv,40,Telnet Brute Force,4989,5025,37,late_2000_10000,attack_support_candidate_pool,support_candidate_file_only
processed/iotsim-air-quality-1.csv,41,TCP Scan,5026,5028,3,late_2000_10000,attack_support_candidate_pool,support_candidate_file_only
processed/iotsim-air-quality-1.csv,42,Telnet Brute Force,5029,5030,2,late_2000_10000,attack_support_candidate_pool,support_candidate_file_only
processed/iotsim-air-quality-1.csv,43,TCP Scan,5031,5033,3,late_2000_10000,attack_support_candidate_pool,support_candidate_file_only
processed/iotsim-air-quality-1.csv,44,Telnet Brute Force,5034,5041,8,late_2000_10000,attack_support_candidate_pool,support_candidate_file_only
processed/iotsim-air-quality-1.csv,45,TCP Scan,5042,5045,4,late_2000_10000,attack_support_candidate_pool,support_candidate_file_only
processed/iotsim-air-quality-1.csv,46,Telnet Brute Force,5046,5047,2,late_2000_10000,attack_support_candidate_pool,support_candidate_file_only
processed/iotsim-air-quality-1.csv,47,TCP Scan,5048,5074,27,late_2000_10000,attack_support_candidate_pool,support_candidate_file_only
processed/iotsim-air-quality-1.csv,48,Telnet Brute Force,5075,5076,2,late_2000_10000,attack_support_candidate_pool,support_candidate_file_only
processed/iotsim-air-quality-1.csv,49,TCP Scan,5077,5085,9,late_2000_10000,attack_support_candidate_pool,support_candidate_file_only
processed/iotsim-air-quality-1.csv,50,Telnet Brute Force,5086,5089,4,late_2000_10000,attack_support_candidate_pool,support_candidate_file_only
processed/iotsim-air-quality-1.csv,51,TCP Scan,5090,5090,1,late_2000_10000,attack_support_candidate_pool,support_candidate_file_only
processed/iotsim-air-quality-1.csv,52,Telnet Brute Force,5091,5099,9,late_2000_10000,attack_support_candidate_pool,support_candidate_file_only
